cycle,fe,popSize,popND,archSize,popMinCmax,popMaxCmax,popRngCmax,popMinTEC,popMaxTEC,popRngTEC,popMinTWC,popMaxTWC,popRngTWC,archMinCmax,archMaxCmax,archRngCmax,archMinTEC,archMaxTEC,archRngTEC,archMinTWC,archMaxTWC,archRngTWC,rescTotal,rescCmax,rescTec,rescTwc,displaced,teacherSel,cfvfGbestLearn
1,6767,100,11,28,837.8162713280806,1302.5324253857502,464.71615405766966,57418.99866718556,63055.87860984838,5636.879942662825,121969.75269290883,155228.00430561276,33258.25161270393,837.8162713280806,1124.6714938635616,286.85522253548106,56096.7909941953,61015.31542622804,4918.52443203274,116347.6100651621,143783.17218357086,27435.562118408765,0,0,0,0,0,0,0
2,13435,100,28,34,806.1317102603336,1139.2169133352352,333.08520307490153,54905.89873965764,61015.31542622804,6109.4166865703955,114280.07112174877,131963.34842203127,17683.277300282498,806.1317102603336,1139.2169133352352,333.08520307490153,54905.89873965764,58866.8484549476,3960.9497152899567,109248.42505993301,131963.34842203127,22714.923362098256,0,0,0,0,0,0,0
3,20106,100,30,78,757.2117019970997,1010.9093831892416,253.69768119214189,53541.08419120428,58866.8484549476,5325.764263743316,106526.349424632,124346.88044625075,17820.53102161875,757.2117019970997,1120.8423089050746,363.6306069079749,53541.08419120428,58659.44541820781,5118.36122700353,103985.86281580603,123140.60398427749,19154.74116847146,0,0,0,0,0,0,0
4,26781,100,39,71,757.2117019970997,1048.757783011751,291.54608101465124,53174.65339839176,58659.44541820781,5484.79201981605,106526.349424632,121619.17945726812,15092.83003263612,757.2117019970997,979.2236556830152,222.0119536859155,52880.701173613445,58659.44541820781,5778.744244594367,103985.86281580603,120660.81179891745,16674.94898311142,0,0,0,0,0,0,0
5,33462,100,62,99,757.2117019970997,1032.9968891180822,275.7851871209825,52894.688548815626,58659.44541820781,5764.756869392186,102051.06851545206,120349.44529582173,18298.37678036967,757.2117019970997,1028.683438091507,271.47173609440733,52542.69822333116,58659.44541820781,6116.747194876654,100366.98701313301,123490.15337128544,23123.166358152434,0,0,0,0,0,0,0
6,40149,100,62,98,727.8104742631433,1048.1386644951986,320.32819023205525,52326.85144285049,58195.02158722142,5868.170144370924,100253.83142935389,116680.43510520308,16426.603675849197,727.8104742631433,1048.1386644951986,320.32819023205525,52262.9482088427,58195.02158722142,5932.073378378715,98674.77953918485,127762.30742121446,29087.527882029608,0,0,0,0,0,0,0
7,46844,100,82,136,726.4095766465073,1122.5160847643108,396.1065081178035,52326.85144285049,57630.834021929244,5303.982579078751,96928.30093872827,116680.43510520308,19752.134166474818,726.4095766465073,1098.7916520030694,372.38207535656215,52005.52671817679,57630.834021929244,5625.307303752452,96928.30093872827,116343.13264888184,19414.83171015358,0,0,0,0,0,0,0
8,53549,100,97,146,726.4095766465073,1131.1023269454975,404.6927502989902,51846.53328307914,57630.834021929244,5784.300738850106,96928.30093872827,119027.65673133268,22099.355792604416,726.4095766465073,1083.0269275755545,356.61735092904723,51610.80355499021,57749.46749980845,6138.6639448182395,96780.02986544376,119500.7074415689,22720.677576125134,0,0,0,0,0,0,0
9,60264,100,85,152,726.4095766465073,1061.9249404614243,335.515363814917,51358.391470394105,57630.834021929244,6272.4425515351395,96928.30093872827,123260.43945652823,26332.138517799962,726.4095766465073,1044.2426481035748,317.8330714570675,51073.23998942223,57749.46749980845,6676.227510386219,96780.02986544376,121100.40533870671,24320.375473262946,0,0,0,0,0,0,0
10,66991,100,66,159,726.4095766465073,1032.3027420014,305.89316535489274,51358.391470394105,57630.834021929244,6272.4425515351395,96928.30093872827,123260.43945652823,26332.138517799962,726.4095766465073,1044.2426481035748,317.8330714570675,51073.23998942223,57749.46749980845,6676.227510386219,96780.02986544376,121100.40533870671,24320.375473262946,0,0,0,0,0,0,0
