cycle,fe,popSize,popND,archSize,popMinCmax,popMaxCmax,popRngCmax,popMinTEC,popMaxTEC,popRngTEC,popMinTWC,popMaxTWC,popRngTWC,archMinCmax,archMaxCmax,archRngCmax,archMinTEC,archMaxTEC,archRngTEC,archMinTWC,archMaxTWC,archRngTWC,rescTotal,rescCmax,rescTec,rescTwc,displaced,teacherSel,cfvfGbestLearn
1,6767,100,10,30,822.6531355047626,1282.7972394392548,460.14410393449214,57487.162550762594,63069.26596505927,5582.103414296675,121287.95745990328,161414.38172112184,40126.42426121856,822.6531355047626,1168.188716805558,345.53558130079534,56827.39228694975,61441.46720478758,4614.074917837832,118828.30031044192,141895.87706454445,23067.576754102527,0,0,0,0,0,0,0
2,13435,100,28,54,822.6531355047626,1106.9071701638507,284.254034659088,54809.24700676413,61441.46720478758,6632.220198023446,118788.79696032134,143274.62825441398,24485.83129409264,822.6531355047626,1112.6539337029164,290.0007981981538,54032.54805206612,61441.46720478758,7408.919152721457,115993.92082124963,135128.67686533052,19134.75604408089,0,0,0,0,0,0,0
3,20106,100,14,34,744.6981384627477,1058.8992405802367,314.201102117489,53395.97720844794,61441.46720478758,8045.489996339638,109357.48183808815,136815.21908403956,27457.737245951415,744.6981384627477,979.7605635901141,235.0624251273664,53096.103775322714,58471.616166083935,5375.5123907612215,107532.96683695004,126011.44258786687,18478.475750916827,0,0,0,0,0,0,0
4,26781,100,25,58,744.6981384627477,1035.3944793167245,290.69634085397684,52365.504827291195,58471.616166083935,6106.11133879274,105855.88543193284,130846.97445861413,24991.089026681293,744.6981384627477,1002.8685144996284,258.1703760368807,52365.504827291195,58471.616166083935,6106.11133879274,104564.48038640953,127525.46706194174,22960.986675532215,0,0,0,0,0,0,0
5,33462,100,48,69,744.6981384627477,1059.2176205098929,314.5194820471452,51299.63552836581,58471.616166083935,7171.980637718123,100445.3410291876,122403.5771413208,21958.236112133192,744.6981384627477,984.2778353284106,239.57969686566287,51071.9009144665,58471.616166083935,7399.715251617432,100445.3410291876,129869.71697508456,29424.375945896958,0,0,0,0,0,0,0
6,40149,100,49,92,744.6981384627477,1059.387023378396,314.68888491564826,50923.094186251394,58471.616166083935,7548.521979832542,100445.3410291876,126055.33364378152,25609.99261459391,744.6981384627477,1016.4320733433275,271.7339348805798,50780.95894096144,58471.616166083935,7690.657225122493,99126.20995223834,126426.3049372098,27300.094984971467,0,0,0,0,0,0,0
7,46844,100,50,65,744.6981384627477,999.8547436611535,255.15660519840583,50640.57132041421,58471.616166083935,7831.044845669727,99185.05627451217,121707.08826677206,22522.031992259886,744.6981384627477,1005.2601758129036,260.56203735015595,50361.01661625895,58471.616166083935,8110.599549824983,98440.21529640842,120835.53690625448,22395.321609846054,0,0,0,0,0,0,0
8,53549,100,73,116,744.6981384627477,991.5374899573302,246.8393514945825,50459.48110464981,58471.616166083935,8012.135061434128,97885.51436661539,119994.31366417304,22108.79929755765,744.6981384627477,1005.2601758129036,260.56203735015595,50262.76675234094,58471.616166083935,8208.849413742995,95913.37143500218,121931.59363547526,26018.222200473087,0,0,0,0,0,0,0
9,60264,100,75,122,744.6981384627477,1007.8244336763236,263.1262952135759,50262.19775686327,58471.616166083935,8209.418409220663,95820.83023822741,119994.31366417304,24173.483425945626,744.6981384627477,1040.8603685744288,296.1622301116811,50001.22406224348,58471.616166083935,8470.392103840459,94819.22149706831,123344.97954375108,28525.758046682764,0,0,0,0,0,0,0
10,66991,100,44,126,744.6981384627477,1042.1697316248324,297.4715931620847,50208.18563083071,58471.616166083935,8263.430535253225,95513.8214464527,121189.84155745758,25676.02011100488,744.6981384627477,1002.9172318959917,258.219093433244,50001.22406224348,58471.616166083935,8470.392103840459,94819.22149706831,121986.56674431174,27167.34524724343,0,0,0,0,0,0,0
