cycle,fe,popSize,popND,archSize,popMinCmax,popMaxCmax,popRngCmax,popMinTEC,popMaxTEC,popRngTEC,popMinTWC,popMaxTWC,popRngTWC,archMinCmax,archMaxCmax,archRngCmax,archMinTEC,archMaxTEC,archRngTEC,archMinTWC,archMaxTWC,archRngTWC,rescTotal,rescCmax,rescTec,rescTwc,displaced,teacherSel,cfvfGbestLearn
1,6767,100,10,30,822.6531355047626,1282.7972394392548,460.14410393449214,57487.162550762594,63069.26596505927,5582.103414296675,121287.95745990328,161414.38172112184,40126.42426121856,822.6531355047626,1168.188716805558,345.53558130079534,56827.39228694975,61441.46720478758,4614.074917837832,118828.30031044192,141895.87706454445,23067.576754102527,0,0,0,0,0,0,0
2,13435,100,12,27,783.6749216999862,1110.0726617247728,326.3977400247867,55301.01906529053,61441.46720478758,6140.44813949705,112844.76330833683,144468.42925077898,31623.665942442152,783.6749216999862,1094.3852243228105,310.7103026228243,54779.46628686071,57673.10426272888,2893.637975868165,112844.76330833683,141060.98382134913,28216.220513012304,0,0,0,0,0,0,0
3,20106,100,15,51,771.4927146438754,1024.783174792979,253.29046014910364,53875.38388283432,59447.99616974752,5572.612286913201,111647.62075951323,144675.63586565416,33028.01510614093,771.4927146438754,1045.7243811320975,274.2316664882221,53730.99672113955,58530.438394571305,4799.4416734317565,106704.29806567566,130784.19662617624,24079.898560500587,0,0,0,0,0,0,0
4,26781,100,37,92,771.4927146438754,1037.20370028084,265.71098563696455,53033.39845370581,58530.438394571305,5497.039940865492,103002.25149255479,124517.4577508715,21515.206258316714,771.4927146438754,1070.826177578978,299.3334629351027,52345.18151816522,58530.438394571305,6185.256876406085,102165.22291280684,124367.9719027779,22202.748989971064,0,0,0,0,0,0,0
5,33462,100,19,99,759.5100389943842,1018.8812028886823,259.3711638942981,52604.54318418189,58530.438394571305,5925.895210389412,99742.32811664257,119754.96281113112,20012.634694488544,759.5100389943842,1059.5241450185451,300.0141060241609,52345.18151816522,56087.37741682363,3742.195898658407,99742.32811664257,124367.9719027779,24625.643786135333,0,0,0,0,0,0,0
6,40149,100,38,107,758.1995501154606,998.7015434676865,240.5019933522259,52222.701360313775,58530.438394571305,6307.7370342575305,97920.12052156673,119754.96281113112,21834.84228956439,758.1995501154606,1011.6827582513771,253.48320813591647,51936.51867379561,55544.16091637454,3607.642242578928,96929.98630037621,120907.35720234533,23977.370901969116,0,0,0,0,0,0,0
7,46844,100,51,124,758.1995501154606,989.565381313264,231.36583119780335,51518.754337694634,56087.37741682363,4568.623079128993,95483.69015876851,116385.57490116067,20901.884742392154,758.1995501154606,1059.3505043566488,301.1509542411882,51498.98172051593,55303.67143161944,3804.689711103514,94814.60856333312,116861.95529610134,22047.346732768216,0,0,0,0,0,0,0
8,53549,100,80,128,754.3019575103357,1006.3876617874544,252.08570427711868,51250.15089743068,56347.39007439839,5097.239176967712,95260.48730770279,117412.62711232452,22152.139804621736,754.3019575103357,1050.8518761884163,296.54991867808064,51014.59726457267,56347.39007439839,5332.792809825718,93549.43773403534,116816.6254890641,23267.18775502876,0,0,0,0,0,0,0
9,60264,100,60,153,751.0680211263498,1021.2838822752469,270.21586114889715,50919.60858123237,55516.744680502285,4597.136099269912,94025.07222934914,120262.10301736605,26237.030788016913,751.0680211263498,1057.0503255003223,305.9823043739725,50836.612975058895,55524.69871521439,4688.085740155497,93337.84222218898,116795.86389863014,23458.02167644116,0,0,0,0,0,0,0
10,66991,100,72,124,751.0680211263498,1021.2838822752469,270.21586114889715,50919.60858123237,55516.744680502285,4597.136099269912,94025.07222934914,120262.10301736605,26237.030788016913,751.0680211263498,1037.7041771439854,286.6361560176356,50722.39292691397,55516.744680502285,4794.351753588315,93337.84222218898,115096.03087087498,21758.188648686002,0,0,0,0,0,0,0
11,73732,100,75,150,751.0680211263498,1035.6843002152802,284.61627908893047,50681.41178013667,55516.744680502285,4835.332900365618,94025.07222934914,115225.53612678914,21200.46389744,751.0680211263498,1027.4825365695,276.4145154431503,50464.97695473723,55516.744680502285,5051.767725765058,92827.18975353151,114080.58544592158,21253.39569239007,0,0,0,0,0,0,0
12,80488,100,73,181,751.0680211263498,985.3937495088397,234.32572838248996,50681.41178013667,55614.30256597779,4932.890785841126,93575.64242192949,113127.01992899808,19551.377507068595,751.0680211263498,1097.4199355665412,346.3519144401914,50258.31702977267,55614.30256597779,5355.985536205124,92827.18975353151,115551.47415570478,22724.284402173274,0,0,0,0,0,0,0
13,87260,100,92,194,751.0680211263498,998.8587031787667,247.79068205241697,50672.99314797188,55614.30256597779,4941.309418005912,93510.89108184853,112861.43580671746,19350.54472486893,751.0680211263498,1020.732043929599,269.66402280324917,50066.18921251189,55516.744680502285,5450.555467990394,92827.18975353151,114863.17498802117,22035.985234489664,0,0,0,0,0,0,0
14,94049,100,92,192,745.1241669577944,998.8587031787667,253.73453622097236,50672.99314797188,55962.37412612974,5289.38097815786,92985.31249217538,112861.43580671746,19876.123314542085,745.1241669577944,961.8574725786073,216.73330562081287,49919.83539886822,55962.37412612974,6042.538727261519,91840.97990005402,114373.43708767946,22532.457187625434,0,0,0,0,0,0,0
15,100858,100,98,181,745.1241669577944,1032.3545420902674,287.230375132473,49937.223223869834,55962.37412612974,6025.150902259906,92682.97263243722,112748.50731056754,20065.534678130323,745.1241669577944,961.8574725786073,216.73330562081287,49888.238390734965,55962.37412612974,6074.135735394775,91840.97990005402,111147.19150488013,19306.21160482611,0,0,0,0,0,0,0
16,107687,100,94,222,745.1241669577944,964.2231757118908,219.09900875409642,49892.78921997946,55962.37412612974,6069.584906150281,91985.87111038904,114563.47870039607,22577.60759000703,745.1241669577944,1056.2552285755492,311.13106161775477,49767.62115248696,55962.37412612974,6194.752973642782,91734.81843286875,114563.47870039607,22828.660267527317,0,0,0,0,0,0,0
17,114539,100,84,223,745.1241669577944,964.2231757118908,219.09900875409642,49892.78921997946,57189.978249361135,7297.189029381676,91261.22704893188,114563.47870039607,23302.25165146419,745.1241669577944,1007.1720367352401,262.0478697774457,49747.964023246226,57189.978249361135,7442.0142261149085,91103.79764312509,114563.47870039607,23459.68105727098,0,0,0,0,0,0,0
18,121415,100,91,216,744.3230436005883,964.2231757118908,219.90013211130247,49861.89670525922,57189.978249361135,7328.081544101915,91261.22704893188,114563.47870039607,23302.25165146419,744.3230436005883,1029.3128638069832,284.9898202063948,49712.21115994054,57189.978249361135,7477.767089420595,90552.13930143906,115335.13549267431,24782.996191235245,0,0,0,0,0,0,0
