cycle,fe,popSize,popND,archSize,popMinCmax,popMaxCmax,popRngCmax,popMinTEC,popMaxTEC,popRngTEC,popMinTWC,popMaxTWC,popRngTWC,archMinCmax,archMaxCmax,archRngCmax,archMinTEC,archMaxTEC,archRngTEC,archMinTWC,archMaxTWC,archRngTWC,rescTotal,rescCmax,rescTec,rescTwc,displaced,teacherSel,cfvfGbestLearn
1,6767,100,16,43,848.9682019664308,1377.3459338166472,528.3777318502164,57966.4571672437,62992.68092093618,5026.22375369248,115019.29799248005,157451.98461083707,42432.686618357024,848.9682019664308,1269.7559824409611,420.78778047453034,57071.46066108085,62399.45855393737,5327.997892856525,115019.29799248005,144516.2912030413,29496.993210561253,0,0,0,0,0,0,0
2,13435,100,34,75,848.9682019664308,1240.2993170259942,391.33111505956344,55532.03421156398,62399.45855393737,6867.424342373393,114102.87692203454,136602.60443037283,22499.727508338285,848.9682019664308,1154.7709489631745,305.80274699674374,55532.03421156398,61018.14496556751,5486.11075400353,104233.02864397815,128599.8852645904,24366.85662061225,0,0,0,0,0,0,0
3,20106,100,42,89,772.5420037460904,1240.2993170259942,467.7573132799039,53776.901015471405,59951.65306422807,6174.752048756665,113159.92996326671,127138.84767897864,13978.917715711927,772.5420037460904,1088.3594932334715,315.8174894873812,53776.901015471405,60317.534130817694,6540.633115346289,104233.02864397815,124505.40681272393,20272.37816874578,0,0,0,0,0,0,0
4,26781,100,57,129,770.5910646441235,1153.4354153672202,382.8443507230967,52792.57751323702,59126.18191401483,6333.604400777811,109960.99803379318,130883.18679797756,20922.18876418438,770.5910646441235,1117.0192741317367,346.4282094876131,52604.34313722789,59962.6542717666,7358.311134538715,104233.02864397815,128426.7140007366,24193.685356758448,0,0,0,0,0,0,0
5,33462,100,49,136,748.9196779525911,1159.641327775831,410.72164982324,52220.209857374524,59305.154775381205,7084.94491800668,105501.31249813642,133282.0454268399,27780.73292870348,748.9196779525911,1128.189039787451,379.26936183486,52130.633062277164,59962.6542717666,7832.021209489438,104233.02864397815,134947.7683311553,30714.73968717715,0,0,0,0,0,0,0
6,40149,100,42,123,735.4424529956962,1105.3712459045498,369.92879290885367,52026.20060703718,59442.07199614927,7415.871389112093,102984.75361139802,129199.8943183888,26215.140706990787,735.4424529956962,1178.8976454424876,443.45519244679144,51550.98177775765,59442.07199614927,7891.090218391619,102984.75361139802,127984.58690013224,24999.833288734226,0,0,0,0,0,0,0
7,46844,100,70,133,735.4424529956962,1079.48129325284,344.0388402571439,51672.71609549931,59442.07199614927,7769.355900649964,101362.35823988714,124111.760298493,22749.40205860586,735.4424529956962,1122.2526137515106,386.8101607558144,51523.89408778286,59442.07199614927,7918.177908366415,99934.96860132205,123828.45675867147,23893.48815734942,0,0,0,0,0,0,0
8,53549,100,63,119,717.8033628229042,1056.0235848045675,338.22022198166326,51672.71609549931,58247.15417245979,6574.438076960483,97097.88140086195,125777.21502805519,28679.333627193235,717.8033628229042,1068.9672222402123,351.1638594173081,51408.189371835244,58247.15417245979,6838.964800624548,96293.29448715594,122417.92679083189,26124.632303675942,0,0,0,0,0,0,0
9,60264,100,62,131,717.0232051466451,1094.7716513038802,377.7484461572351,51655.43882364148,58263.683238719415,6608.244415077934,94945.94324897029,126729.21171786037,31783.268468890077,715.2039578856575,1097.0786583505787,381.87470046492126,51313.23790156904,57971.629006534735,6658.391104965696,93525.24787993942,122417.92679083189,28892.67891089247,0,0,0,0,0,0,0
10,66991,100,45,124,715.3059252137263,1080.5162995769042,365.21037436317795,51311.32883886503,58505.35758065456,7194.028741789531,94747.815350517,123028.89289204805,28281.07754153105,709.0113201055834,1085.5829964611194,376.57167635553594,51029.95066278048,58947.464026261645,7917.513363481165,93525.24787993942,120839.10560912197,27313.85772918255,0,0,0,0,0,0,0
