cycle,fe,popSize,popND,archSize,popMinCmax,popMaxCmax,popRngCmax,popMinTEC,popMaxTEC,popRngTEC,popMinTWC,popMaxTWC,popRngTWC,archMinCmax,archMaxCmax,archRngCmax,archMinTEC,archMaxTEC,archRngTEC,archMinTWC,archMaxTWC,archRngTWC,rescTotal,rescCmax,rescTec,rescTwc,displaced,teacherSel,cfvfGbestLearn
1,6767,100,16,43,848.9682019664308,1377.3459338166472,528.3777318502164,57966.4571672437,62992.68092093618,5026.22375369248,115019.29799248005,157451.98461083707,42432.686618357024,848.9682019664308,1269.7559824409611,420.78778047453034,57071.46066108085,62399.45855393737,5327.997892856525,115019.29799248005,144516.2912030413,29496.993210561253,0,0,0,0,0,0,0
2,13435,100,34,75,848.9682019664308,1240.2993170259942,391.33111505956344,55532.03421156398,62399.45855393737,6867.424342373393,114102.87692203454,136602.60443037283,22499.727508338285,848.9682019664308,1154.7709489631745,305.80274699674374,55532.03421156398,61018.14496556751,5486.11075400353,104233.02864397815,128599.8852645904,24366.85662061225,0,0,0,0,0,0,0
3,20106,100,52,106,768.7606324276951,1208.6962910136074,439.9356585859123,54983.206621842306,60052.33869337713,5069.1320715348265,106033.98696029183,129620.98077936705,23586.993819075215,768.7606324276951,1254.6582552573293,485.8976228296342,54272.04076108333,59962.6542717666,5690.6135106832735,104233.02864397815,127368.12183131775,23135.093187339604,0,0,0,0,0,0,0
4,26781,100,49,127,759.6463453158037,1185.7879613370299,426.1416160212261,53809.86301616293,59377.17938669579,5567.316370532855,102285.56614330871,124385.71843428464,22100.152290975937,759.6463453158037,1192.7170504389806,433.0707051231768,53809.86301616293,59377.17938669579,5567.316370532855,102285.56614330871,126448.6009048454,24163.03476153669,0,0,0,0,0,0,0
5,33462,100,63,116,755.1581110858062,1185.7879613370299,430.6298502512236,53622.34209386815,59377.17938669579,5754.837292827637,101057.36421836686,129671.55427281627,28614.190054449413,755.1581110858062,1192.9800783824198,437.8219672966136,53396.82419007607,58870.601774935196,5473.777584859126,101053.32390508379,131680.91094672988,30627.587041646097,0,0,0,0,0,0,0
6,40149,100,53,123,732.010803670666,1185.7879613370299,453.7771576663639,53111.66109394004,59606.41671984132,6494.755625901278,97935.79262825265,125111.78734698593,27175.994718733287,732.010803670666,1192.7170504389806,460.7062467683146,52517.171142804684,58563.482713026824,6046.31157022214,97935.79262825265,125330.16314510498,27394.37051685233,0,0,0,0,0,0,0
7,46844,100,49,110,732.010803670666,1185.7879613370299,453.7771576663639,52852.12089649631,58644.96118836679,5792.840291870481,97935.79262825265,129066.61617612228,31130.82354786963,732.010803670666,1052.7836205066444,320.77281683597846,51918.55600975394,58563.482713026824,6644.926703272882,97935.79262825265,123924.32037444651,25988.527746193868,0,0,0,0,0,0,0
8,53549,100,67,122,724.6346906044536,1088.9757363649824,364.3410457605288,51762.09697609699,58563.482713026824,6801.385736929835,97935.79262825265,125547.14613720424,27611.353508951594,722.6024625370444,1120.938951485109,398.3364889480647,51762.09697609699,58624.72874089517,6862.631764798178,96607.13449393491,125547.14613720424,28940.011643269332,0,0,0,0,0,0,0
9,60264,100,73,141,723.3589702680409,1068.3220955950244,344.96312532698346,51762.09697609699,58563.482713026824,6801.385736929835,96644.71460011003,125547.14613720424,28902.431537094206,722.6024625370444,1188.1984267573177,465.59596422027334,51067.50058814648,58624.72874089517,7557.228152748685,96607.13449393491,134054.58351184247,37447.449017907566,0,0,0,0,0,0,0
10,66991,100,79,149,723.3589702680409,1044.8692174655334,321.5102471974925,51146.07520672947,58563.482713026824,7417.407506297357,96644.71460011003,127006.63116738456,30361.91656727453,722.6024625370444,1077.6483741961415,355.0459116590971,50856.13674404349,58624.72874089517,7768.5919968516755,96607.13449393491,121541.31654339924,24934.182049464333,0,0,0,0,0,0,0
