arm,status,FE,frontSize,minCmax,minTEC,minTWC,cfvfOffspring,caTaLiteFE,archiveInsertions,dscrTeacherUses,dscrDominatedTeacherUses,formalQgRounds,algorithmRunSeconds
A0-baseline,COMPLETED,500000,219,190.733148,8555.322865,12405.640379,0,0,0,-1,-1,900,18.230
A1-dscr,COMPLETED,500000,261,184.179447,8483.134128,12474.127963,0,0,0,3600,0,900,26.404
A2-cfvf,COMPLETED,500000,236,192.854189,8374.060920,12621.651485,90000,0,0,3600,0,900,31.915
A3-qp,COMPLETED,500000,418,176.527849,8466.050245,12500.699474,90000,0,1800,3600,0,900,45.263
A4-catalite,COMPLETED,500000,503,177.642151,8410.712250,12542.793866,90000,3991,1800,3600,0,900,49.197
A5-full,COMPLETED,500000,376,173.299871,8375.526656,12622.806958,90000,3388,1800,3600,0,900,45.330
