seed,phase,FE_CATA,FE_inherited,bestCmax_CATA,bestCmax_inherited,enteredPddr_CATA,enteredPddr_inherited,pddrSelected_CATA,pddrSelected_inherited
20260822,REGION_GLOBAL,10969,178931,717.2678042971888,710.0817731890213,2567,686,343,82
20260822,REGION_AWARE,10874,179026,766.5695478442099,713.8005650920553,3297,690,370,139
20260823,REGION_GLOBAL,10986,178914,720.1413569093412,701.9269445084548,2540,687,268,83
20260823,REGION_AWARE,10928,178972,736.7531952388177,721.7772318876522,2582,689,299,168
20260824,REGION_GLOBAL,11052,178848,730.2085649963958,704.19535855492,2665,685,330,104
20260824,REGION_AWARE,10907,178993,763.8250819754599,734.776957679649,3282,687,330,140
