field,off,on,verdict
actualFE,48269,48269,EQUAL
decoderCalls,48269,48269,EQUAL
qPhaseFE,5000,5000,EQUAL
remainingFE,1731,1731,EQUAL
illegalSolutions,0,0,EQUAL
initialPopulationHash,179a82a3825566380ab6798aa898002d31565dad9d65802e57b295c2a4294c2d,179a82a3825566380ab6798aa898002d31565dad9d65802e57b295c2a4294c2d,EQUAL
evaluationTraceHash,ce5b71de0e68ff62fbe7b2493031be6ea33725b1cb650fd2272387761c6cf1c0,ce5b71de0e68ff62fbe7b2493031be6ea33725b1cb650fd2272387761c6cf1c0,EQUAL
qgTableHash,1DF64581A9C9B0D91A9A439CA25833F673A17DC6A3B4788E7CA7048EC7FC1DAF,1DF64581A9C9B0D91A9A439CA25833F673A17DC6A3B4788E7CA7048EC7FC1DAF,EQUAL
qpTableHash,A0A47027817F1F822F1A812D456A29C3D8EB8569829362AF50B7D8FC6A6BF533,A0A47027817F1F822F1A812D456A29C3D8EB8569829362AF50B7D8FC6A6BF533,EQUAL
qgEventStreamHash,6f5fcb908557cbe1ee561c6a4955fb2ad6e05bcc1e5c0cd8a0a161d11f937829,6f5fcb908557cbe1ee561c6a4955fb2ad6e05bcc1e5c0cd8a0a161d11f937829,EQUAL
qpEventStreamHash,c65c3de9c53b0fd49a4c56e3b5f84ef69fed0998dbed94517ea6a0a890843c37,c65c3de9c53b0fd49a4c56e3b5f84ef69fed0998dbed94517ea6a0a890843c37,EQUAL
pddrEventStreamHash,972bef9b24eb41ce2c7b74f7494cb4bbc8d16bb0439e24e2a75476b211565b4f,972bef9b24eb41ce2c7b74f7494cb4bbc8d16bb0439e24e2a75476b211565b4f,EQUAL
canonicalFrontHash,4eba5da16a21a36f97284a3f5b06a6612d7f5e6c69855658b758fde83682fd3a,4eba5da16a21a36f97284a3f5b06a6612d7f5e6c69855658b758fde83682fd3a,EQUAL
frontSize,262,262,EQUAL
formalOuterCycles,6,6,EQUAL
formalQgRounds,300,300,EQUAL
caTaTestCalls,1015,1015,EQUAL
caTaEventCount,18780,18780,EQUAL
stopReason,BUDGET_OR_NORMAL_STOP,BUDGET_OR_NORMAL_STOP,EQUAL
checkpointBoundary,COMPLETE_QG_QP_GLOBAL_OFFSPRING_CATA_INHERITED_LS_PDDR_POST_SAMPLE,COMPLETE_QG_QP_GLOBAL_OFFSPRING_CATA_INHERITED_LS_PDDR_POST_SAMPLE,EQUAL
formalBudgetSemantics,PHASE_CONSISTENT_BUDGET_TERMINATION,PHASE_CONSISTENT_BUDGET_TERMINATION,EQUAL
terminalCheckpointPass,true,true,EQUAL
actualFEEqualsLastCompletedAtomicBoundary,true,true,EQUAL
terminalSnapshotIsRealAtomicBoundary,true,true,EQUAL
cataLifecycleSchemaValidated,true,true,EQUAL
cataLongRunLifecycleValidated,true,true,EQUAL
cataAllShortGateSourceCoverageValidated,false,false,EQUAL
cataFullLifecycleValidated,false,false,EQUAL
generatedCandidateSourceCounts,N/A,"INITIAL_POPULATION=100,GLOBAL_CFVF=30000,CATA_TEST=1015,CATA_APPLY=379,INTER_FACTORY_LS=132,INTRA_FACTORY_VNS=16643",OFF_NOT_APPLICABLE
