source,hard_nEvaluated,normal_nEvaluated,hard_MERGE_POOL,normal_MERGE_POOL,hard_PDDR_SELECTED,normal_PDDR_SELECTED,hard_WORKING_POPULATION,normal_WORKING_POPULATION,hard_QG_TEACHER,normal_QG_TEACHER,hard_PERSONAL_ARCHIVE,normal_PERSONAL_ARCHIVE,hard_IMPROVING_DESCENDANT,normal_IMPROVING_DESCENDANT,hard_mergeToPddrRate,normal_mergeToPddrRate,hard_pddrToWorkingRate,normal_pddrToWorkingRate,hard_generatedToPddrRate,normal_generatedToPddrRate,hard_teacherEventsPerGenerated,normal_teacherEventsPerGenerated,PA_QP_attribution
GLOBAL_CFVF,,,10229,11062,4060,5003,4060,5003,10303,11136,0,0,46654,100159,0.3969107439632418,0.4522690291086603,1.0,1.0,0.013096774193548388,0.016138709677419354,0.03323548387096774,0.03592258064516129,"NOT_ATTRIBUTABLE_BY_FINGERPRINT_JOIN for PERSONAL_ARCHIVE/QP_TEACHER/QP_ACTION (registered, never guessed)"
CATA,,,3669,2627,1125,541,1125,541,11,52,0,0,1570,2882,0.30662305805396567,0.20593833269889608,1.0,1.0,0.07402289774970391,0.04844631503537208,0.0007237794446637715,0.004656577415599534,"NOT_ATTRIBUTABLE_BY_FINGERPRINT_JOIN for PERSONAL_ARCHIVE/QP_TEACHER/QP_ACTION (registered, never guessed)"
INHERITED_LS,,,1664,1359,979,608,979,608,2032,920,0,0,25650,30464,0.5883413461538461,0.44738778513612953,1.0,1.0,0.005603828233219997,0.0034017221218241734,0.011631234902863162,0.0051473426843392095,"NOT_ATTRIBUTABLE_BY_FINGERPRINT_JOIN for PERSONAL_ARCHIVE/QP_TEACHER/QP_ACTION (registered, never guessed)"
PARENT_CARRYOVER,,,100,100,3,0,3,0,6,5,0,0,0,0,0.03,0.0,1.0,0.0,0.03,0.0,0.06,0.05,"NOT_ATTRIBUTABLE_BY_FINGERPRINT_JOIN for PERSONAL_ARCHIVE/QP_TEACHER/QP_ACTION (registered, never guessed)"
