source,GENERATED,DESCENDANT,IMPROVING_DESCENDANT,MERGE_POOL,PDDR_SELECTED,WORKING_POPULATION,PERSONAL_ARCHIVE,QG_TEACHER,QP_TEACHER,QP_ACTION,mergeToPddrRate,pddrToWorkingRate,generatedToPddrRate,improvingDescendantRate,teacherEventsPerGenerated
GLOBAL_CFVF,310000,305000,100159,11062,5003,5003,0,11136,0,0,0.4522690291086603,1.0,0.016138709677419354,0.3283901639344262,0.03592258064516129
CATA,11167,10991,2882,2627,541,541,0,52,0,0,0.20593833269889608,1.0,0.04844631503537208,0.26221453916841053,0.004656577415599534
INHERITED_LS,178733,177242,30464,1359,608,608,0,920,0,0,0.44738778513612953,1.0,0.0034017221218241734,0.17187799731440628,0.0051473426843392095
PARENT_CARRYOVER,100,0,0,100,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.05
