window,role,nEvaluated,minCmax,minTEC,minTWC
1,G1_CMAX,8567,799.9850784971712,53151.40792581125,107560.6231070726
1,G2_TEC,4084,850.0318044167352,51933.84219304857,113547.65972647197
1,G3_TWC,4078,808.487655003537,53373.85607667289,104752.7073583709
1,G4_BALANCED,8171,806.3137905651275,52139.04070334443,105677.66140975023
1,UNASSIGNED,100,1080.3576898539623,63962.909710131375,146505.93656963907
2,G1_CMAX,9806,746.4402780744483,52280.47387877561,97138.81832969109
2,G2_TEC,3798,890.177665732359,50422.63568391166,111302.57072264723
2,G3_TWC,3794,787.3372572056942,52206.95076796661,97226.43245407302
2,G4_BALANCED,7602,782.6908008358902,51040.87862337518,97693.16650510799
3,G1_CMAX,9930,769.9118335957829,51772.487837527515,95084.15442729717
3,G2_TEC,3775,915.7746580339398,49991.177339235,108819.69022383136
3,G3_TWC,3772,780.9042092806345,51920.85223837693,95960.67155385335
3,G4_BALANCED,7523,780.9042092806345,50169.73142164734,95801.72907444682
4,G1_CMAX,9426,743.5329540951648,51753.63621991817,94598.42920355525
4,G2_TEC,3892,885.3051603009908,49361.228957420964,108392.26399133686
4,G3_TWC,3916,777.2364607532313,51971.868930532684,94199.94984721985
4,G4_BALANCED,7766,778.9167132623592,49650.46097608246,94525.32732666703
5,G1_CMAX,9712,744.4853823128703,52141.88446443717,93534.79246473347
5,G2_TEC,3823,935.0959449221272,48970.458485853014,105129.13955316658
5,G3_TWC,3821,775.7456317873366,52560.61104905699,93443.1516822351
5,G4_BALANCED,7644,760.0847916731501,49115.67041104312,93824.83500324373
6,G1_CMAX,10645,746.8733537645217,50956.419495486916,93858.64456683297
6,G2_TEC,3583,909.8335623036197,48603.621396676695,109466.94758405111
6,G3_TWC,3607,762.7735779904174,50727.70407166748,93579.78731003137
6,G4_BALANCED,7165,764.3533869014944,48778.80266325259,93273.1472715115
7,G1_CMAX,9505,750.0458614064298,50490.68667430298,92612.9924316893
7,G2_TEC,3875,928.1587468983812,48506.975154791035,109604.92556726657
7,G3_TWC,3872,768.1654884242998,51026.75166324225,92002.41943120517
7,G4_BALANCED,7748,761.6858213478449,48632.49349259395,92838.2697017305
8,G1_CMAX,11477,749.0569897226891,52698.18008352321,92357.50432842727
8,G2_TEC,3384,819.8613323436808,48401.084465728825,97505.71949795545
8,G3_TWC,3388,766.5937566771057,52811.61348114867,92003.3748207484
8,G4_BALANCED,6751,762.9818307441525,48572.066580717066,92011.3725598179
9,G1_CMAX,10260,733.9152569024151,52684.12241430395,91603.86412481312
9,G2_TEC,3692,823.6569657911084,48373.94805151046,108783.79813073456
9,G3_TWC,3695,771.7423255281734,51514.28633027403,91096.60267960517
9,G4_BALANCED,7353,761.7816346089193,48641.99700000442,91468.75329713045
10,G1_CMAX,11383,738.7056800620286,51279.05183923268,91412.19449963
10,G2_TEC,3421,932.0024099691659,48396.01328378538,104278.64213444776
10,G3_TWC,3408,762.8625749736847,53699.12194228048,90660.30790636015
10,G4_BALANCED,6788,748.218941655111,48461.27617417377,91096.60267960517
11,G1_CMAX,12567,733.3244430906979,52265.82441696957,91215.5618292853
11,G2_TEC,3111,811.2509855137539,48177.74321965384,102671.23585659152
11,G3_TWC,3115,766.0322355291214,52935.48864773007,91284.04614566138
11,G4_BALANCED,6207,756.7437321274966,48458.467886979844,91324.86401975313
12,G1_CMAX,12090,740.3800634810309,52068.23898693552,91327.83964778624
12,G2_TEC,3242,836.9481310465442,48052.82053030916,95487.56268992469
12,G3_TWC,3218,760.2676002064048,53406.5738467411,90916.88804039056
12,G4_BALANCED,6450,758.5662503981596,48169.503303176316,91462.15711726669
13,G1_CMAX,12804,739.2717425305102,51386.63330504595,90798.1451352859
13,G2_TEC,3050,897.237921890421,48039.23848352604,102038.30039286765
13,G3_TWC,3066,760.5890175246167,53636.53049821091,91163.71071420202
13,G4_BALANCED,6080,759.6605583325968,48066.65984920577,91517.993827165
14,G1_CMAX,12810,742.2111493946214,51296.86764819623,90931.68573850668
14,G2_TEC,3048,927.5355504756026,47870.15147976916,109535.89357290232
14,G3_TWC,3048,766.139994653803,52621.6312772912,90931.68573850668
14,G4_BALANCED,6094,763.6110417687136,47907.093461290395,91052.0533971979
15,G1_CMAX,12573,743.0645942312522,50491.16347571397,90929.81783140745
15,G2_TEC,3108,930.177713187604,47829.413909432784,110999.36800700153
15,G3_TWC,3112,757.9430831329075,52623.13654484159,89964.53067418498
15,G4_BALANCED,6207,757.1348727023216,47942.119318466015,91052.0533971979
16,G1_CMAX,15788,722.326068061474,51400.821604008226,91170.49848913489
16,G2_TEC,2304,934.3850811278226,47653.51232751977,109468.03674327196
16,G3_TWC,2292,766.2726955240519,51960.97866852425,90052.20087806949
16,G4_BALANCED,4616,769.7296689806914,47805.62005528955,90567.45977547251
17,G1_CMAX,13500,744.900479986121,51506.16892317715,90052.20087806949
17,G2_TEC,2892,929.744256461495,47617.42230704597,111734.9333959237
17,G3_TWC,2888,759.2853084823345,52127.53156227193,89707.25714986409
17,G4_BALANCED,5720,764.7887484960764,47704.599757258,90285.00035218538
18,G1_CMAX,15935,736.4552389182629,52002.43080274317,90302.65280047726
18,G2_TEC,2068,896.2206438425237,47343.71018978547,111465.49180177871
18,G3_TWC,2072,772.8083101745069,53175.848714471525,89455.31055007847
18,G4_BALANCED,4925,761.8366827866212,47406.98684411503,90289.44105266198
19,G1_CMAX,14277,733.1999357719892,52337.040748863685,90020.99763242337
19,G2_TEC,2068,953.6037884230925,47311.60499681216,112581.64720939017
19,G3_TWC,2076,766.617503511584,51980.10572828804,89707.25714986409
19,G4_BALANCED,6579,770.4296335977265,47612.196129495904,89848.19014574375
20,G1_CMAX,12057,722.5834158362643,51668.85370966781,89704.29629490405
20,G2_TEC,2071,938.2891577048301,47165.22158185457,110316.29242928943
20,G3_TWC,2076,764.8666843839725,53014.31217085049,89599.74259900306
20,G4_BALANCED,8796,766.847458447871,47465.04722044774,89764.18682914156
