checkpointIndex,nominalFE,hardHV,hardIGD,normalHV,normalIGD,hardHvProgressPct,hardIgdRelImpPct,normalHvProgressPct,normalIgdRelImpPct,deficitHvProgressPp,deficitIgdRelImpPp,lagConditionMet,t_div_note
0,0,0.0,1.3404940470829423,0.0,1.883174932487751,,,,,,,baseline,
1,25000,0.2678641192300949,0.41437091125316944,0.22072817129843728,0.5245524364318396,26786411923009.49,69.08819459848519,22072817129843.727,72.14531547853156,-4713594793165.762,3.0571208800463694,False,t_div=NOT_REACHED (earliest i with lag(i)&lag(i+1))
2,50000,0.35031703381501667,0.3096668719292234,0.3742692988315136,0.35605893249364606,30.781619733882618,25.26819245281789,69.56118316473516,32.121384295597984,38.779563430852534,6.853191842780095,False,
3,75000,0.40707838125258816,0.25663218435313695,0.4200009270914951,0.3236355263456083,16.20285112014966,17.12636784350891,12.218909860562382,9.106190910858931,-3.9839412595872776,-8.020176932649978,False,
4,100000,0.4262738333867726,0.25134616151519273,0.45138192082548373,0.2945325623838747,4.715419196450487,2.05976614011531,7.471648682135509,8.992512129417692,2.7562294856850222,6.932745989302383,False,
5,125000,0.44891352831461534,0.23772742566435387,0.48395306970835134,0.2691394155000581,5.311068415335026,5.41831861236348,7.215873605061927,8.62150747553706,1.9048051897269014,3.2031888631735796,False,
6,150000,0.4712432771555104,0.23187234433149453,0.4966548762568922,0.2637944534139832,4.974175967636587,2.462938937944036,2.624594685636658,1.9859454907947975,-2.3495812819999284,-0.4769934471492385,False,
7,175000,0.48334974475867,0.21885672580438442,0.5202315942788521,0.2515851042329933,2.5690483429781534,5.613269044497359,4.747102897619593,4.628357049581063,2.1780545546414394,-0.9849119949162963,False,
8,200000,0.48833439763378855,0.20717894060711292,0.5292033221120687,0.24593358193260523,1.0312724748840691,5.335812803719444,1.7245642002295525,2.246366022987667,0.6932917253454833,-3.0894467807317767,False,
9,225000,0.4945028204557833,0.20353538509953534,0.549048486674697,0.22637242561374787,1.2631555040733742,1.7586514811305547,3.7500075553996086,7.953837034024017,2.4868520513262347,6.195185552893463,False,
10,250000,0.49896981212412583,0.19668468368326042,0.5647705072231011,0.22058364170633654,0.9033298665971807,3.365852779321249,2.863503120393658,2.5571948048516084,1.960173253796477,-0.8086579744696407,False,
11,275000,0.5039964487806158,0.1975663931190829,0.5723776408702257,0.2168950105608768,1.0074029599288663,-0.44828576344173715,1.3469424394216067,1.6722142752409697,0.33953947949274044,2.1205000386827066,False,
12,300000,0.5130880201554926,0.18887391744150722,0.5807054259619961,0.2170517748735204,1.8038959196782516,4.399774445614487,1.454945912825865,-0.07227658775470515,-0.34895000685238653,-4.472051033369192,False,
13,325000,0.5164427959934843,0.18449368111108208,0.584645386106688,0.21442332623893762,0.6538402196517928,2.319132461358338,0.6784782728979938,1.2109777199999496,0.02463805324620094,-1.1081547413583883,False,
14,350000,0.5367576265639326,0.17143602361883625,0.5875564316459827,0.21229226061114603,3.9336071154537997,7.077563531503241,0.4979164478967509,0.9938590475072105,-3.435690667557049,-6.083704483996031,False,
15,375000,0.542404950241105,0.16488166670974402,0.6019890994530226,0.20870143849654774,1.052118013361813,3.8232086645131917,2.456388361983914,1.6914522009709885,1.4042703486221009,-2.131756463542203,False,
16,400000,0.5445090829066321,0.16375808063604172,0.6044757964499574,0.20598820591367975,0.38792652327229016,0.6814499732588544,0.4130800705850451,1.300054567143229,0.02515354731275493,0.6186045938843747,False,
17,425000,0.5477156592597461,0.16273982139556936,0.6096369579495957,0.20388865477387116,0.5888930880632859,0.6218070195482298,0.8538243433317642,1.0192579378493216,0.26493125526847827,0.3974509183010918,False,
18,450000,0.5485929805131492,0.1624197918928478,0.6137995942761867,0.20057040192466313,0.16017823090704472,0.19665101016896605,0.6828057702720735,1.6274828302184048,0.5226275393650287,1.4308318200494388,False,
19,475000,0.549703536470294,0.16230912131946626,0.6152829859238713,0.20030615557555523,0.20243714312677066,0.06813860065438075,0.24167361163441212,0.1317474296168382,0.03923646850764145,0.06360882896245744,False,
20,500000,0.5545772540415207,0.15898065502479636,0.6173682314632705,0.19910024655631323,0.8866083712179378,2.0506957758206457,0.33890837014907416,0.6020329309286426,-0.5477000010688636,-1.4486628448920031,False,
