window,source,hard_nEvaluated,normal_nEvaluated,hard_nUniqueObjectives,normal_nUniqueObjectives,hard_nTuplesExclusive,normal_nTuplesExclusive,hard_nexclND,normal_nexclND,hard_exclusiveNDSharePct,normal_exclusiveNDSharePct,deficit_exclusiveNDSharePp,hard_WHVGSharePct,normal_WHVGSharePct,deficit_WHVGSharePp,qualify_WHVGShare,qualify_ExclusiveNDShare
13,CATA,720,534,703,534,644,532,8,1,3.6363636363636362,0.3597122302158273,-3.276651406147809,0.023069208708483443,0.0015582780051530641,-0.021510930703330378,False,False
13,INHERITED_LS,9560,9746,4633,5097,4632,5096,32,39,14.545454545454545,14.028776978417266,-0.516677567037279,0.6341324048051497,1.3392233441935066,0.705090939388357,False,False
13,PARENT_CARRYOVER,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
14,GLOBAL_CFVF,14694,14694,14085,13852,14024,13849,151,223,78.23834196891191,87.79527559055119,9.556933621639274,17.859676919581073,11.82594557233532,-6.033731347245753,False,False
14,CATA,656,538,647,537,589,534,1,1,0.5181347150259067,0.3937007874015748,-0.12443392762433186,0.00032518310782977467,0.0001894392947560108,-0.00013574381307376388,False,False
14,INHERITED_LS,9650,9768,4508,5406,4505,5406,40,30,20.72538860103627,11.811023622047244,-8.914364978989024,0.3271852570423979,0.8552780587689486,0.5280928017265507,False,False
14,PARENT_CARRYOVER,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
15,GLOBAL_CFVF,15000,15000,14170,14112,14099,14110,148,238,81.76795580110497,87.82287822878229,6.054922427677312,16.217083340097762,16.530959367572155,0.313876027474393,False,False
15,CATA,722,535,701,535,630,533,2,1,1.1049723756906078,0.36900369003690037,-0.7359686856537074,0.00796012962163772,0.0004376906756223743,-0.007522438946015346,False,False
15,INHERITED_LS,9278,9465,4595,5152,4595,5152,30,32,16.574585635359117,11.808118081180812,-4.7664675541783055,1.5676601359413374,1.463654815904764,-0.10400532003657337,False,False
15,PARENT_CARRYOVER,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
16,GLOBAL_CFVF,11164,11164,10406,10933,10362,10930,149,213,78.01047120418848,81.29770992366412,3.2872387194756385,16.508454297675137,13.690777325913077,-2.81767697176206,False,False
