observedFE,source,candidateFingerprint,Cmax,TEC,TWC,parentLineageId
33,INITIAL_POPULATION,32d626e4434012f19a3916f94580237849792f9fec8486f03c4b50e7bc49754e,1091.3995095106272,136057.7770233657,469650.00883566565,-1
34,INITIAL_POPULATION,5d375dbb7766b757c667d6be51e9d0025a0e4d8f836f6203154410fd3de55921,1063.8158348577463,134404.86870907125,427530.4900709719,-1
35,INITIAL_POPULATION,14fc9bf0ea8cc9523c96df39ebd99445a28626c2e7bc9d4a802a2f9bfb0402cc,977.7300166276276,135815.6935607923,422525.64211530297,-1
36,INITIAL_POPULATION,f51b370add4c4b0e06993eadd04aebebc2c0e48d73135cde121873506fb0b897,1139.1460040857764,135522.51733468412,453373.2514832643,-1
37,INITIAL_POPULATION,c7abb313376eba30ca6175fafb7a88f2d77b45e0587d8012f5a6a15b112a4ec5,1114.623384207284,134836.39011921984,460404.5326182956,-1
38,INITIAL_POPULATION,6b31c5e195dd343e639d8a2b816198993dc0021bf43d99123808babb10c23cdd,987.3052773046402,133265.72748839646,436743.83130788925,-1
39,INITIAL_POPULATION,3bde78cada7422f32ca1f8c4e43425e570cec9b14ffcd651ec4b8d43252058d6,1116.7011802973907,133211.54854411242,413216.9875908971,-1
40,INITIAL_POPULATION,c097f15bdec9dcbe2a3ad71646b99f8ca9c2a9cc53989862f8f6fb2fddd7d49c,973.0380561271884,132619.51602165308,411846.40913016495,-1
41,INITIAL_POPULATION,8b60c0a656bd3878a9abb5d2d14eebc885a0ab0e83df0aaa443bc856be951130,1183.0624142964828,137266.0068604005,484954.5060185686,-1
42,INITIAL_POPULATION,20101ae978949c20be664c070bdff48c9956dfbb9ee0752823f87d9842097027,991.6140239182228,133419.93234230828,435699.5873714651,-1
43,INITIAL_POPULATION,486e9dcc361d958573d43fee47b580dde9919af60d44d8ceb0e58e4a263c2eca,1112.8334480204528,135826.97128041415,472420.1707224628,-1
44,INITIAL_POPULATION,e6b9cbc3ffdba8f5145dbfbf510b4e612a5ea60e4f9347f50636561600f7cd9c,1124.8090379459302,134949.00016793638,448374.847105805,-1
45,INITIAL_POPULATION,ce423eac21b624377d098e85f54d8d1e9da84b801d0cb0cef520bd217696f100,987.2980612710592,135657.2552432054,445262.16870130744,-1
46,INITIAL_POPULATION,f167ebb509ebaebb4aef685a5804fab156edc1d16019b833e149e91b395cbeec,1399.7905291353884,135911.99972801877,473647.97801448166,-1
47,INITIAL_POPULATION,1514307290c7955e7070ce2ef692a7f2633e6fd4b44a59507b8f800979977d22,1023.6259512218232,133415.4697394508,417151.4647214231,-1
48,INITIAL_POPULATION,c607f9cd30c5378cb140faf0b6f2aa55f48473ea4e191637e037763a14e9b5c5,1057.8750061492472,131678.8770572111,434641.1742924828,-1
49,INITIAL_POPULATION,28d582204af3abd89eaa758ca7b14223a8583eed879ebb9c2f75c3c524c94a52,1018.2531485313041,135974.9600295333,416535.9425250023,-1
50,INITIAL_POPULATION,73b86c73af7e22ba2da1ea81c71ec857200b7bedf8aa1c361f1781234b5d0fea,1098.5692495981864,136549.35970872242,473369.8566120635,-1
51,INITIAL_POPULATION,f911780689930da6499ee94d630cba002fc1f7a610dd807d056d30378c10ff4b,1083.8495056764486,133707.37921646066,426141.18815950095,-1
52,INITIAL_POPULATION,477a8b724a1c19e5993f33c568d4b24740377a35406c442adff0dc3c154fe45f,1206.0136706237429,131098.2937871251,465311.3273545065,-1
53,INITIAL_POPULATION,18d03a3615c5506c921d586b141950436c5ec8f4142bab8e488afa8cb38149a8,1195.5398828580421,134477.0597149188,453070.5776332378,-1
54,INITIAL_POPULATION,2e5572717cab1e60c59e6ba9662a138d8a24fcfac566a609d2b3438701c149d1,1007.8577165088321,135490.543329088,446855.07806098537,-1
55,INITIAL_POPULATION,0279033491614a65bd6e74d30716b78cc7ea5a648f48b9c22ccab601b1c51ef2,1443.026060505048,139028.9204550609,515239.3106676132,-1
56,INITIAL_POPULATION,f00f11a5650e7db0537de417928eb94cc684c735782ee46092f57adb812fb711,1073.649692695844,135665.28619546045,443407.89107727096,-1
57,INITIAL_POPULATION,c53d96c6855f072a1afa0395d5aebc291a27ef10a376869a4161afdefb3a1c9e,946.1502792751792,131305.63892695145,408240.9969083206,-1
58,INITIAL_POPULATION,d292e06580f51a27396de85592c287693cd53227f4d107d36b478784507faf61,1019.3212986760551,136829.63313764823,421335.4046820676,-1
59,INITIAL_POPULATION,6f95eec2484f9403a5c2be3e1e8c8522ede691179fc1794b51673e6ebad3d5b5,1031.0163855862568,134895.06735275,441318.1915160461,-1
60,INITIAL_POPULATION,6a6a5a6c05bb0a47aced84a8e551ea5882b5c124e6092b2cbcae13ec3c60cf9f,1177.3758596127893,136656.34702630044,441120.95310564653,-1
61,INITIAL_POPULATION,55455be74e3eb0dc5b14cea5d30cdd93d26337fde74694e09c754eb6139f7f7f,1345.0811144148672,131994.06840864738,454580.23705875076,-1
62,INITIAL_POPULATION,d901c948bc2b75b2e0506b59afcde290085435373aa39979cf22fbd915fac247,1095.696363191869,136232.17879590782,471513.27264759154,-1
63,INITIAL_POPULATION,d3f9e612b8657beacc839306889a8db38735b991a467473c1c6c82f1d248fccc,1033.0361402078095,132813.97772298587,423152.054722617,-1
64,INITIAL_POPULATION,ef6171c00000458b522931266f6c09ee2692c641bb2b4572b27a94ee30b9c20f,1128.8600596165313,135375.9553544494,479632.5464305641,-1
65,INITIAL_POPULATION,6689ad60205a5a8b6be9a7e2f6f26704ffe6e690121178b43c71ed621084e989,1054.9506163984033,136751.09882091358,456833.13829948264,-1
66,INITIAL_POPULATION,a4dfeb53d6a633e31f9e931a5f035af64f6021590a6c3f8821a1d7941ca6c5ee,1022.264478718364,134951.69890760744,433688.75252360414,-1
67,INITIAL_POPULATION,1ef30963dfca285914f9c94ceea87264fda1b9d2e5305d60acea7916cd6a730e,952.0452015294763,129936.62411234184,400193.5575867803,-1
68,INITIAL_POPULATION,01477e76613d85e85d6a440b8f8c10ecaa44ca7195faa3fb6f8c392bc72819c3,1118.6266376323542,135557.5900517886,472918.54683893465,-1
69,INITIAL_POPULATION,56a4b14b24076177cbb968b6e6a62e6c14b46cba95d5f6c6ca62429caf86d2d9,1121.2382728054022,133163.11675174793,468241.1068206764,-1
70,INITIAL_POPULATION,db5fdc8c73ee2d1e2c96e670f92b55a3a700e5ac4f7eceaa1aea9123a9fa5f28,972.9217380605535,133568.741065118,413143.2875611726,-1
71,INITIAL_POPULATION,5bc7f75bfffbfa035210ab7912225fbf934484359beefafc0fcab723342ef792,1489.5955831993688,134620.7663039071,476241.6008145558,-1
72,INITIAL_POPULATION,6065d22f9652cecc1f07061c797e994fb2090c6745d610a82c712e4ab3ae7ea7,1003.0380937499635,135837.80519299148,424818.0388387097,-1
73,INITIAL_POPULATION,d420cd64cb8b779b2ce7c54f509c9e04e20b7b19820886d295921deff19c7265,1040.6878393750083,137909.42422249675,474399.2220180019,-1
74,INITIAL_POPULATION,93062e2511f4efb2d350b357394d33639a6b1b03dd117a6f4401a600e36ee76a,1145.0124603184277,136708.13908376038,482833.1895903021,-1
75,INITIAL_POPULATION,816cb89849e67dd3cc856d4ac302e8258f7715d80ffac930ca7df72d6b25cfa5,1225.4391626155386,134711.6040576381,446185.71726432495,-1
76,INITIAL_POPULATION,a3b957794c28a85f9eef112751759bf866f91a3e8b1aa9d2036428509872b6af,999.2982603308628,133245.46864609706,413491.70810899284,-1
77,INITIAL_POPULATION,f735e0671a03004bc58a26eb0bab4a62864af9787a2446ed613bc361fb6e41d7,950.9178201672236,133425.87614967863,420714.9195113534,-1
78,INITIAL_POPULATION,31dd7067e6ec0e79a7281676b49593e09553553b0c32593bd0ae8263f3fea09f,1254.3368793449627,132899.10143250017,440485.63127392833,-1
79,INITIAL_POPULATION,2da688890f098c917aba12b84043137517d5b9da3dc9d31c0fabf10cb754ab2b,1137.8008427491159,136583.68376025112,472941.8144083263,-1
80,INITIAL_POPULATION,fc2c685e807773228d36cca02b8516f2e930d09af12043bd6daa5f85eb197660,954.9987408635276,132765.13059342274,415558.52256696846,-1
81,INITIAL_POPULATION,fe653d1d9c85b53d93fb7de6062332d278481a1443ba1f13854eda93ab69c71a,971.2815526682319,132936.0854131795,435386.9214436689,-1
82,INITIAL_POPULATION,0fd22b1870670c91e633f8da994189d4b57bd3fbef99a0d84791f125d3066de5,1041.489281371886,134205.29476960888,406883.26629624545,-1
83,INITIAL_POPULATION,b4149bfb40a62e4098c9b3ced8c9a231553a33c23d4e799e5ef5c431896a1bc2,1179.242850624827,134622.6952727097,466939.16946228745,-1
84,INITIAL_POPULATION,e5cf3d27db831efd58d8337e5e9abbf53e3b3630d6c567bc252e2022a10ba10d,1073.0298723100066,136616.6498799742,476427.21072963765,-1
85,INITIAL_POPULATION,51b7bc9b2fe59433f7380911278837e507369e51b21151eea92e7caa99186954,1327.4011803266114,129984.44391933849,430067.547281358,-1
86,INITIAL_POPULATION,aff483495495d9d0abb9854ebad345ff6c783c9c8885739c4f84d4279875e0cf,934.904055168006,131904.62296797315,409185.71820692404,-1
87,INITIAL_POPULATION,1d8f0a56b60b8daa37297f27acea5ca71a9c9d146c94f8cfeb7b25c0761313a8,1264.304914527692,131942.05414741268,442182.1038489405,-1
88,INITIAL_POPULATION,acc50a4bf240460945267a4cd5786aa042048f7c70a8d380c0d89f69df976df4,1396.1658625171083,135009.70271947363,473576.18778956943,-1
