cycle,source,evaluated,accepted,superseded,enteredPddr,pddrSelected,pddrRejected,fe,regionAssignments,regionRoles,bestGeneratedCmax
1,GLOBAL_Q_FINAL,0,0,0,100,39,61,0,39,"{G1_CMAX=3, G2_TEC=3, G3_TWC=4, G4_BALANCED=29}",Infinity
1,PARENT,0,0,0,100,28,72,0,28,"{G1_CMAX=4, G2_TEC=8, G3_TWC=4, G4_BALANCED=12}",Infinity
1,CATA_TEST,157,60,30,30,18,12,157,18,"{G1_CMAX=3, G2_TEC=3, G3_TWC=4, G4_BALANCED=8}",244.45283531374358
1,CATA_APPLY,66,27,2,25,10,15,66,10,"{G1_CMAX=1, G2_TEC=1, G3_TWC=3, G4_BALANCED=5}",250.54604567171666
1,CRITICAL_SWAP,6,3,3,0,0,0,6,0,"{}",240.6629186053873
1,CRITICAL_INSERT,6,4,4,0,0,0,6,0,"{}",245.27694837833045
1,O1_O9,1432,51,45,6,5,1,1432,5,"{G1_CMAX=4, G4_BALANCED=1}",214.64021482109422
2,GLOBAL_Q_FINAL,0,0,0,100,32,68,0,32,"{G1_CMAX=4, G2_TEC=4, G3_TWC=7, G4_BALANCED=17}",Infinity
2,PARENT,0,0,0,100,44,56,0,44,"{G1_CMAX=7, G2_TEC=7, G3_TWC=6, G4_BALANCED=24}",Infinity
2,CATA_TEST,161,54,27,27,11,16,161,11,"{G1_CMAX=1, G2_TEC=2, G3_TWC=2, G4_BALANCED=6}",255.55439041301122
2,CATA_APPLY,65,24,0,24,9,15,65,9,"{G1_CMAX=1, G2_TEC=2, G4_BALANCED=6}",237.78241198591317
2,CRITICAL_SWAP,6,4,4,0,0,0,6,0,"{}",267.9202702018011
2,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",235.21289654220288
2,O1_O9,1430,65,59,6,4,2,1430,4,"{G1_CMAX=2, G4_BALANCED=2}",197.28294187297794
3,GLOBAL_Q_FINAL,0,0,0,100,28,72,0,28,"{G1_CMAX=5, G2_TEC=1, G3_TWC=1, G4_BALANCED=21}",Infinity
3,PARENT,0,0,0,100,48,52,0,48,"{G1_CMAX=6, G2_TEC=11, G3_TWC=10, G4_BALANCED=21}",Infinity
3,CATA_TEST,149,47,21,26,5,21,149,5,"{G1_CMAX=1, G3_TWC=1, G4_BALANCED=3}",261.0892700851731
3,CATA_APPLY,68,36,1,35,13,22,68,13,"{G1_CMAX=2, G2_TEC=1, G3_TWC=2, G4_BALANCED=8}",205.21626977275642
3,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",249.56658206805065
3,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",224.9392181157371
3,O1_O9,1442,37,31,6,6,0,1442,6,"{G1_CMAX=1, G2_TEC=2, G3_TWC=1, G4_BALANCED=2}",197.28294187297794
4,GLOBAL_Q_FINAL,0,0,0,100,28,72,0,28,"{G1_CMAX=5, G2_TEC=4, G3_TWC=1, G4_BALANCED=18}",Infinity
4,PARENT,0,0,0,100,50,50,0,50,"{G1_CMAX=5, G2_TEC=6, G3_TWC=11, G4_BALANCED=28}",Infinity
4,CATA_TEST,171,55,27,28,10,18,171,10,"{G1_CMAX=3, G2_TEC=1, G4_BALANCED=6}",221.1122876280398
4,CATA_APPLY,63,29,0,29,6,23,63,6,"{G1_CMAX=1, G2_TEC=1, G3_TWC=1, G4_BALANCED=3}",209.1074193969184
4,CRITICAL_SWAP,6,3,3,0,0,0,6,0,"{}",239.52203459264376
4,CRITICAL_INSERT,6,4,3,1,1,0,6,1,"{G2_TEC=1}",209.38687599666963
4,O1_O9,1429,42,37,5,5,0,1429,5,"{G1_CMAX=1, G2_TEC=2, G3_TWC=2}",205.07394033140127
5,GLOBAL_Q_FINAL,0,0,0,100,23,77,0,23,"{G1_CMAX=5, G2_TEC=3, G3_TWC=2, G4_BALANCED=13}",Infinity
5,PARENT,0,0,0,100,55,45,0,55,"{G1_CMAX=7, G2_TEC=9, G3_TWC=11, G4_BALANCED=28}",Infinity
5,CATA_TEST,135,50,27,23,7,16,135,7,"{G1_CMAX=1, G4_BALANCED=6}",224.35282385621406
5,CATA_APPLY,71,40,2,38,10,28,71,10,"{G2_TEC=3, G3_TWC=1, G4_BALANCED=6}",217.4810500322641
5,CRITICAL_SWAP,6,1,1,0,0,0,6,0,"{}",222.6177692897946
5,CRITICAL_INSERT,6,2,2,0,0,0,6,0,"{}",216.9592128454485
5,O1_O9,1463,61,55,6,5,1,1463,5,"{G1_CMAX=2, G3_TWC=1, G4_BALANCED=2}",197.28294187297794
6,GLOBAL_Q_FINAL,0,0,0,100,36,64,0,36,"{G1_CMAX=4, G2_TEC=7, G3_TWC=7, G4_BALANCED=18}",Infinity
6,PARENT,0,0,0,100,49,51,0,49,"{G1_CMAX=8, G2_TEC=6, G3_TWC=8, G4_BALANCED=27}",Infinity
6,CATA_TEST,128,43,24,19,3,16,128,3,"{G4_BALANCED=3}",243.43192207741492
