algorithm,frontSize,HV,IGD,Spacing,C_against_other,other_C_against_self,minCmax,minTEC,minTWC,maxCmax,maxTEC,maxTWC
ZHANGBO-FULL,599,0.973742885873,0.000187300089504,0.0168247050977,0.983333333333,0.00166944908180,192.267992248,8402.28928412,12597.4531396,421.721343633,10698.6786604,18143.9850852
HMOPSO-QGS-F,180,0.736447084721,0.138228284559,0.0295524432754,0.00166944908180,0.983333333333,194.125206419,8751.61825970,12705.3128126,444.402217187,11552.4396610,18539.1479053
