seed,cycle,fe,Nmerge,Nunique,Nnd,Roverflow
20260903,1,6803,257,199,15,0.15
20260903,2,13673,272,226,33,0.33
20260903,3,20875,273,233,54,0.54
20260903,4,28652,260,220,51,0.51
20260903,5,37442,280,237,59,0.59
20260903,6,48269,273,230,61,0.61
