seed,cycle,fe,Nmerge,Nunique,Nnd,Roverflow
20260903,1,6803,271,216,13,0.13
20260903,2,13673,286,235,15,0.15
20260903,3,20875,275,223,33,0.33
20260903,4,28652,268,231,12,0.12
20260903,5,37442,260,214,35,0.35
20260903,6,48269,281,240,56,0.56
