dataSource,runId,sourceLedger,instance,instanceHash,seed,arm,budget,instanceClass,directionRole,poolEnteredCount,selectedByPddrCount,enteredWorkingPopulationCount,retentionRate,directionalRepresentativeCount,cyclesObserved,actualFEMin,actualFEMax,identityBasis,ledgerSchema,hardVsNormalComparison,workingPopulationEntryBasis,runLevelConsistencyCheck
C:V35-FC5-MIDHORIZON-DIAGNOSTICS,2k-100_5_3_1-20260901-A2-ON,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-FC5-MIDHORIZON-DIAGNOSTICS\09-real-2k-equivalence\runs\2k-100_5_3_1-20260901-A2-ON\telemetry-pddr-full-ledger.csv,100_5_3_1,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,2000,HARD_100JOB,G1_CMAX,200,100,100,0.500000,1,1,2000,2000,stableFingerprint in ledger,OLD(selected+stableFingerprint),EVIDENCE_FIELD_LIMITATION,selectedByPddr=true (=working-population entry; semanticRoleAfter always NOT_APPLICABLE),OK
C:V35-FC5-MIDHORIZON-DIAGNOSTICS,2k-100_5_3_1-20260901-A2-ON,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-FC5-MIDHORIZON-DIAGNOSTICS\09-real-2k-equivalence\runs\2k-100_5_3_1-20260901-A2-ON\telemetry-pddr-full-ledger.csv,100_5_3_1,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,2000,HARD_100JOB,G4_BALANCED,0,0,0,NOT_APPLICABLE,0,1,2000,2000,stableFingerprint in ledger,OLD(selected+stableFingerprint),EVIDENCE_FIELD_LIMITATION,selectedByPddr=true (=working-population entry; semanticRoleAfter always NOT_APPLICABLE),OK
C:V35-FC5-MIDHORIZON-DIAGNOSTICS,2k-100_5_3_1-20260901-A2-ON,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-FC5-MIDHORIZON-DIAGNOSTICS\09-real-2k-equivalence\runs\2k-100_5_3_1-20260901-A2-ON\telemetry-pddr-full-ledger.csv,100_5_3_1,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,2000,HARD_100JOB,G2_TEC,0,0,0,NOT_APPLICABLE,0,1,2000,2000,stableFingerprint in ledger,OLD(selected+stableFingerprint),EVIDENCE_FIELD_LIMITATION,selectedByPddr=true (=working-population entry; semanticRoleAfter always NOT_APPLICABLE),OK
C:V35-FC5-MIDHORIZON-DIAGNOSTICS,2k-100_5_3_1-20260901-A2-ON,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-FC5-MIDHORIZON-DIAGNOSTICS\09-real-2k-equivalence\runs\2k-100_5_3_1-20260901-A2-ON\telemetry-pddr-full-ledger.csv,100_5_3_1,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A2,2000,HARD_100JOB,G3_TWC,0,0,0,NOT_APPLICABLE,0,1,2000,2000,stableFingerprint in ledger,OLD(selected+stableFingerprint),EVIDENCE_FIELD_LIMITATION,selectedByPddr=true (=working-population entry; semanticRoleAfter always NOT_APPLICABLE),OK
C:V35-FC5-MIDHORIZON-DIAGNOSTICS,2k-100_5_3_1-20260901-A4-ON,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-FC5-MIDHORIZON-DIAGNOSTICS\09-real-2k-equivalence\runs\2k-100_5_3_1-20260901-A4-ON\telemetry-pddr-full-ledger.csv,100_5_3_1,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,2000,HARD_100JOB,G1_CMAX,200,100,100,0.500000,1,1,2000,2000,stableFingerprint in ledger,OLD(selected+stableFingerprint),EVIDENCE_FIELD_LIMITATION,selectedByPddr=true (=working-population entry; semanticRoleAfter always NOT_APPLICABLE),OK
C:V35-FC5-MIDHORIZON-DIAGNOSTICS,2k-100_5_3_1-20260901-A4-ON,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-FC5-MIDHORIZON-DIAGNOSTICS\09-real-2k-equivalence\runs\2k-100_5_3_1-20260901-A4-ON\telemetry-pddr-full-ledger.csv,100_5_3_1,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,2000,HARD_100JOB,G4_BALANCED,0,0,0,NOT_APPLICABLE,0,1,2000,2000,stableFingerprint in ledger,OLD(selected+stableFingerprint),EVIDENCE_FIELD_LIMITATION,selectedByPddr=true (=working-population entry; semanticRoleAfter always NOT_APPLICABLE),OK
C:V35-FC5-MIDHORIZON-DIAGNOSTICS,2k-100_5_3_1-20260901-A4-ON,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-FC5-MIDHORIZON-DIAGNOSTICS\09-real-2k-equivalence\runs\2k-100_5_3_1-20260901-A4-ON\telemetry-pddr-full-ledger.csv,100_5_3_1,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,2000,HARD_100JOB,G2_TEC,0,0,0,NOT_APPLICABLE,0,1,2000,2000,stableFingerprint in ledger,OLD(selected+stableFingerprint),EVIDENCE_FIELD_LIMITATION,selectedByPddr=true (=working-population entry; semanticRoleAfter always NOT_APPLICABLE),OK
C:V35-FC5-MIDHORIZON-DIAGNOSTICS,2k-100_5_3_1-20260901-A4-ON,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-FC5-MIDHORIZON-DIAGNOSTICS\09-real-2k-equivalence\runs\2k-100_5_3_1-20260901-A4-ON\telemetry-pddr-full-ledger.csv,100_5_3_1,2E88FA97A6F84AF347A4603F04C387A65C8F9891BCAB8AC6B70FDEC622EA35CF,20260901,A4,2000,HARD_100JOB,G3_TWC,0,0,0,NOT_APPLICABLE,0,1,2000,2000,stableFingerprint in ledger,OLD(selected+stableFingerprint),EVIDENCE_FIELD_LIMITATION,selectedByPddr=true (=working-population entry; semanticRoleAfter always NOT_APPLICABLE),OK
C:V35-FC5-MIDHORIZON-DIAGNOSTICS,20k-100_2_4_1-20260901-A2-ON,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-FC5-MIDHORIZON-DIAGNOSTICS\10-real-20k-equivalence\runs\20k-100_2_4_1-20260901-A2-ON\telemetry-pddr-full-ledger.csv,100_2_4_1,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,20000,HARD_100JOB,G1_CMAX,258,100,100,0.387597,1,1,20000,20000,stableFingerprint in ledger,OLD(selected+stableFingerprint),EVIDENCE_FIELD_LIMITATION,selectedByPddr=true (=working-population entry; semanticRoleAfter always NOT_APPLICABLE),OK
C:V35-FC5-MIDHORIZON-DIAGNOSTICS,20k-100_2_4_1-20260901-A2-ON,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-FC5-MIDHORIZON-DIAGNOSTICS\10-real-20k-equivalence\runs\20k-100_2_4_1-20260901-A2-ON\telemetry-pddr-full-ledger.csv,100_2_4_1,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,20000,HARD_100JOB,G4_BALANCED,0,0,0,NOT_APPLICABLE,0,1,20000,20000,stableFingerprint in ledger,OLD(selected+stableFingerprint),EVIDENCE_FIELD_LIMITATION,selectedByPddr=true (=working-population entry; semanticRoleAfter always NOT_APPLICABLE),OK
C:V35-FC5-MIDHORIZON-DIAGNOSTICS,20k-100_2_4_1-20260901-A2-ON,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-FC5-MIDHORIZON-DIAGNOSTICS\10-real-20k-equivalence\runs\20k-100_2_4_1-20260901-A2-ON\telemetry-pddr-full-ledger.csv,100_2_4_1,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A2,20000,HARD_100JOB,G2_TEC,0,0,0,NOT_APPLICABLE,0,1,20000,20000,stableFingerprint in ledger,OLD(selected+stableFingerprint),EVIDENCE_FIELD_LIMITATION,selectedByPddr=true (=working-population entry; semanticRoleAfter always NOT_APPLICABLE),OK
