kind,event
lineage,"split:old=2,new=12,source=PARENT,generation=1"
lineage,"split:old=2,new=13,source=INTRA_FACTORY_VNS,generation=1"
lineage,"split:old=2,new=14,source=INTRA_FACTORY_VNS,generation=1"
lineage,"evolve:lineage=121,source=GLOBAL_OFFSPRING,group=G2_TEC,size=4,survived=true,generation=20"
lineage,"evolve:lineage=121,source=PARENT,group=G4_BALANCED,size=4,survived=true,generation=21"
lineage,"split:old=121,new=134,source=GLOBAL_OFFSPRING,generation=22"
lineage,"split:old=121,new=135,source=PARENT,generation=22"
lineage,"split:old=121,new=136,source=INTRA_FACTORY_VNS,generation=22"
PDDR,"generation=1,candidates=41,selected=10,globalOffspring=0,localOffspring=6,parents=4,firstOffspringEvaluation=22"
PDDR,"generation=2,candidates=32,selected=10,globalOffspring=2,localOffspring=4,parents=4,firstOffspringEvaluation=60"
PDDR,"generation=3,candidates=30,selected=10,globalOffspring=1,localOffspring=3,parents=6,firstOffspringEvaluation=86"
PDDR,"generation=4,candidates=26,selected=10,globalOffspring=3,localOffspring=2,parents=5,firstOffspringEvaluation=120"
PDDR,"generation=5,candidates=30,selected=10,globalOffspring=2,localOffspring=3,parents=5,firstOffspringEvaluation=149"
PDDR,"generation=6,candidates=36,selected=10,globalOffspring=3,localOffspring=4,parents=3,firstOffspringEvaluation=176"
PDDR,"generation=7,candidates=28,selected=10,globalOffspring=1,localOffspring=3,parents=6,firstOffspringEvaluation=204"
PDDR,"generation=8,candidates=34,selected=10,globalOffspring=2,localOffspring=5,parents=3,firstOffspringEvaluation=231"
PDDR,"generation=9,candidates=29,selected=10,globalOffspring=5,localOffspring=1,parents=4,firstOffspringEvaluation=262"
PDDR,"generation=10,candidates=26,selected=10,globalOffspring=1,localOffspring=1,parents=8,firstOffspringEvaluation=288"
PDDR,"generation=11,candidates=33,selected=10,globalOffspring=2,localOffspring=2,parents=6,firstOffspringEvaluation=326"
PDDR,"generation=12,candidates=34,selected=10,globalOffspring=2,localOffspring=2,parents=6,firstOffspringEvaluation=361"
PDDR,"generation=13,candidates=30,selected=10,globalOffspring=3,localOffspring=0,parents=7,firstOffspringEvaluation=395"
PDDR,"generation=14,candidates=29,selected=10,globalOffspring=2,localOffspring=1,parents=7,firstOffspringEvaluation=420"
PDDR,"generation=15,candidates=34,selected=10,globalOffspring=3,localOffspring=4,parents=3,firstOffspringEvaluation=447"
PDDR,"generation=16,candidates=28,selected=10,globalOffspring=4,localOffspring=2,parents=4,firstOffspringEvaluation=480"
