runId,arm,treatmentIndex,mixture,instance,seed,population,maxFEs,requiredPddr,requiredOrder,status
H001,BASE,8,20/40/20/20,20_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H002,BASE,8,20/40/20/20,20_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H003,BASE,8,20/40/20/20,20_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H004,BASE,8,20/40/20/20,20_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H005,BASE,8,20/40/20/20,20_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H006,BASE,8,20/40/20/20,50_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H007,BASE,8,20/40/20/20,50_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H008,BASE,8,20/40/20/20,50_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H009,BASE,8,20/40/20/20,50_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H010,BASE,8,20/40/20/20,50_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H011,BASE,8,20/40/20/20,100_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H012,BASE,8,20/40/20/20,100_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H013,BASE,8,20/40/20/20,100_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H014,BASE,8,20/40/20/20,100_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H015,BASE,8,20/40/20/20,100_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H016,T1,14,30/50/10/10,20_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H017,T1,14,30/50/10/10,20_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H018,T1,14,30/50/10/10,20_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H019,T1,14,30/50/10/10,20_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H020,T1,14,30/50/10/10,20_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H021,T1,14,30/50/10/10,50_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H022,T1,14,30/50/10/10,50_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H023,T1,14,30/50/10/10,50_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H024,T1,14,30/50/10/10,50_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H025,T1,14,30/50/10/10,50_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H026,T1,14,30/50/10/10,100_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H027,T1,14,30/50/10/10,100_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H028,T1,14,30/50/10/10,100_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H029,T1,14,30/50/10/10,100_5_4_1,20260904,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H030,T1,14,30/50/10/10,100_5_4_1,20260905,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H031,T2,11,25/25/25/25,20_5_4_1,20260901,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H032,T2,11,25/25/25/25,20_5_4_1,20260902,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
H033,T2,11,25/25/25/25,20_5_4_1,20260903,100,500000,GLOBAL_ORIGINAL,CATA_THEN_INHERITED,PLANNED
