runId,sourceRunId,reused,instance,instanceSha256,matrix,label,seed,status,reason,configurationSha256,initialPopulationSha256,fullEvaluations,wallClockMillis,cpuNanos,cfvfRepairs,caTaEvaluations,illegalSolutions,Fmax,Favg,FE,VarFw,highFatigueRatio,longestContinuousWork,totalNaturalRecovery,loadImbalance,frontSize
"20_2_3_1|CONTROL|B0C|20260808","20_2_3_1|CONTROL|B0C|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B0C",20260808,COMPLETED,"MAX_FES_REACHED","9855793eb453bd3d8aafb047493e61290e27cc3a1e8eab70176e968f0520686c","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,111,109375000,0,0,0,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,213.03012753424844,0.0000000000000000,0.53707614441875810,52
"20_2_3_1|CONTROL|B0C|20260809","20_2_3_1|CONTROL|B0C|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B0C",20260809,COMPLETED,"MAX_FES_REACHED","ce0d5bb767751d7e42bc7ec3f4b4be64ca7c68cbce19836227ba1930349a5eed","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,103,93750000,0,0,0,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,174.91313448456305,0.0000000000000000,0.46552676052626020,32
"20_2_3_1|CONTROL|B0C|20260810","20_2_3_1|CONTROL|B0C|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B0C",20260810,COMPLETED,"MAX_FES_REACHED","6ec7f0699a9973b217623f33f99a7d1e2cb708508cec920ad1d62e93fdf5d23a","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,103,109375000,0,0,0,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,210.03264143264140,0.0000000000000000,0.49682551009691680,45
"20_2_3_1|CONTROL|B0R|20260808","20_2_3_1|FM|FM0|20260808",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B0R",20260808,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FM|FM0|20260808","b16fc30bbeaa49f95bcfcc722239c2dc6ce89cb654e4a9e5425521b31b5561a7","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,156,156250000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7
"20_2_3_1|CONTROL|B0R|20260809","20_2_3_1|FM|FM0|20260809",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B0R",20260809,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FM|FM0|20260809","dd2f60fb13ba65ad7eb9cc28fa078b07c3828f91d413c9fa87bc6cdd0ac0d504","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,144,140625000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,22
"20_2_3_1|CONTROL|B0R|20260810","20_2_3_1|FM|FM0|20260810",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B0R",20260810,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FM|FM0|20260810","b01810a2b5f69fd5922920a906a184198cf9e694326c959a85819b433c5ff2d3","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,97,93750000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15
"20_2_3_1|CONTROL|B1Q|20260808","20_2_3_1|CONTROL|B1Q|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B1Q",20260808,COMPLETED,"MAX_FES_REACHED","edc1145dfe11eb2d1d318d08a84903b8b4314c4d0747940ae5fb6e66a2fac07f","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,127,125000000,0,0,0,0.99995511464073430,0.67730026596760970,51.701991965592285,0.056890105900092880,0.089312638772114340,226.78710828308758,399.99982198238564,0.54944022191223150,60
"20_2_3_1|CONTROL|B1Q|20260809","20_2_3_1|CONTROL|B1Q|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B1Q",20260809,COMPLETED,"MAX_FES_REACHED","fe7be898074ce891e3cb55b1591916910f7655a069af4f4bfaf5561219a77fc7","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,123,125000000,0,0,0,0.99998411997209470,0.68704235239197290,55.986278409936530,0.055406928552257290,0.097372554524977500,243.64121090594490,319.78429982814896,0.53410713015509930,67
"20_2_3_1|CONTROL|B1Q|20260810","20_2_3_1|CONTROL|B1Q|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B1Q",20260810,COMPLETED,"MAX_FES_REACHED","2a4ad7435d925305ee53cdf262ebd22a959826b4d6adf8b5a663b4326e2efbb5","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,126,109375000,0,0,0,0.99989739973425700,0.67392053826603560,49.352492896336976,0.048585799093902930,0.090760838509579470,222.56248216137794,373.11581029546680,0.51093713363201040,33
"20_2_3_1|CONTROL|B2P|20260808","20_2_3_1|FV|FV3|20260808",true,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","CONTROL","B2P",20260808,COMPLETED,"EXACT_PROFILE_REUSE from 20_2_3_1|FV|FV3|20260808","4a8c4f536c92cf9a7e80bcb66f71d81a2b376d0e30d5c936b75cbe59899e2da7","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,185,171875000,0,0,0,0.99998227764306260,0.67285359574444870,45.656747896036290,0.050067096482632900,0.087996386670939000,217.38751085053140,410.50317987277780,0.50052473502996050,70
