role,expectedSha256,currentSha256,unchanged
problem,231CF9BC8D0DC3B1541157A42E7526DAE08B49CEE58329E249E1D75C0BAE27B6,231CF9BC8D0DC3B1541157A42E7526DAE08B49CEE58329E249E1D75C0BAE27B6,true
algorithm,33E0A56F2A854900723E998A82B6B8CB85C49FA2079C4E221938BF4283FDAB60,33E0A56F2A854900723E998A82B6B8CB85C49FA2079C4E221938BF4283FDAB60,true
builder,71C07F9AB084C1F8F7CA17D7AF9166AC53011D95C2EBE45E4281C209871C92C5,71C07F9AB084C1F8F7CA17D7AF9166AC53011D95C2EBE45E4281C209871C92C5,true
runner,A8C32A4CD3BCAB821286BF8B571CFEECD2ED0C46B8B5D8926CA35E9374A45BF7,A8C32A4CD3BCAB821286BF8B571CFEECD2ED0C46B8B5D8926CA35E9374A45BF7,true
