matrix,label,mechanism,configurationKey,registryStatus,reason,population,maxFEs,physicalSubswarmSizes
"FV","FV0","author direct resource update","FV0","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FV","FV1","FA-only leader update","FV1","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FV","FV2","independent FA/MA/WA update","FV2","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FV","FV3","coupled FMW/MW/M/W update","FV3","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FV","FV4","FV3 without resource inertia","FV4","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FV","FV5","FV3 without legal exploration","FV5","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FV","FV-Full","Qg/Qp plus complete CFVF","FV-Full","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FM","FM0","author fixed worker efficiency","FM0","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FM","FM1","fatigue accumulation and duration feedback only","FM1","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FM","FM2","accumulation plus natural recovery","FM2","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"FM","FM3","FM2 plus fatigue-aware worker selection","FM3","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"QP","QP0","single author pbest","QP0","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"QP","QP1","lineage archive plus directional pbest","QP1","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"QP","QP2","lineage archive plus four random policies","QP2","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"QP","QP3","lineage archive plus Q-pbest","QP3","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"QP","QP4","QP3 plus synchronous Q-gbest","QP4","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"QP","QP5","QP3 plus block-frozen Qp/Qg","QP5","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"QP","QP6","QP5 plus complete CFVF","QP6","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"VNS","V0","fixed-order original O1-O9","V0","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
"VNS","V1","fixed-order O1-O13","V1","COMPLETED","Exact P8 ablation profile p8-ablation-v2",100,2000,"[20, 40, 20, 20]"
