matrix,label,profileSha256,decoder,randomness,resourceFlight,resourceInertia,legalExploration,qg,evaluatedPddr,lineageArchive,personalLeader,blockFrozenDualQ,vns
"FV","FV0","cc53537a5bb31ade8c52684e9a45615b13ff3cd94703129752ba120b77b425d5","FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","AUTHOR_GA",true,true,true,true,false,"AUTHOR_SINGLE",false,"OFF"
"FV","FV1","d3aedbf887b380766fa1e2f0f6826839c86dad485fa84ebfb063ff3638b0020e","FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","FA_LEADER_ONLY",true,true,true,true,false,"AUTHOR_SINGLE",false,"OFF"
"FV","FV2","4072ee3a53db794b25054a843e83da5341d73238cdbd8319fc1867c54cf6a4c6","FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","INDEPENDENT_FMW",true,true,true,true,false,"AUTHOR_SINGLE",false,"OFF"
"FV","FV3","cbf3ab826faddbff0455c152322031ced3e7080c6abfb58686c3f2dfb9d3579f","FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",true,true,true,true,false,"AUTHOR_SINGLE",false,"OFF"
"FV","FV4","9547d4b7f2677c1f7f2dcfa7f8b817be18c049af83482c7b189f07b4af0a0552","FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",false,true,true,true,false,"AUTHOR_SINGLE",false,"OFF"
"FV","FV5","c26f345585e9d187007de8abd18a8ceead190e131d4fa28ef0bd0da38b825d18","FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",true,false,true,true,false,"AUTHOR_SINGLE",false,"OFF"
"FV","FV-Full","7f2944d159d2725d982359c2917a6222b5f711f67d31e3498db538d7554ed6b4","FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",true,true,true,true,true,"QP_LINEAGE_ARCHIVE",true,"OFF"
"FM","FM0","c8af785380934aeb7bd15f841459d8ea2a9e53d946999cd1993d40d5b1ced0d0","AUTHOR_ACTUAL","P8_REPLAYABLE","AUTHOR_GA",false,false,false,false,false,"AUTHOR_SINGLE",false,"OFF"
"FM","FM1","4e32c8b0b58dc592f50bad797134971047ac1f1f3cd4d162309f976c1b62ad04","ACCUMULATION_ONLY","P8_REPLAYABLE","AUTHOR_GA",false,false,false,false,false,"AUTHOR_SINGLE",false,"OFF"
"FM","FM2","f159648bfb9ff0e16536e16461b2210a426e89bd94a8c2e503a7e78c876efecf","ACCUMULATION_RECOVERY","P8_REPLAYABLE","AUTHOR_GA",false,false,false,false,false,"AUTHOR_SINGLE",false,"OFF"
"FM","FM3","f2d8816bf93a040fe0c49d048b0c4fe15a578e6d8d963cc88b31b6d8eaea6d9b","FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","AUTHOR_GA",false,false,false,false,false,"AUTHOR_SINGLE",false,"OFF"
"QP","QP0","69a0436c73c28b47418c098df6146aa19bb4cb1a7af4a084b29aa86f9cd8933f","FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","AUTHOR_GA",false,false,false,true,false,"AUTHOR_SINGLE",false,"OFF"
"QP","QP1","9cf00a95de6b22c22e1e1c6688b09948b7e71bcfab217ce6bb607c60fdac93fa","FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","AUTHOR_GA",false,false,false,true,true,"ARCHIVE_DIRECTIONAL",false,"OFF"
