cycle,fe,popSize,popND,archSize,popMinCmax,popMaxCmax,popRngCmax,popMinTEC,popMaxTEC,popRngTEC,popMinTWC,popMaxTWC,popRngTWC,archMinCmax,archMaxCmax,archRngCmax,archMinTEC,archMaxTEC,archRngTEC,archMinTWC,archMaxTWC,archRngTWC,rescTotal,rescCmax,rescTec,rescTwc,displaced,teacherSel,cfvfGbestLearn
1,6767,100,37,55,209.60290765755803,490.4751895075026,280.87228184994456,10128.257345859365,11828.933804423274,1700.6764585639085,13663.146260542928,21821.161494362634,8158.015233819706,209.60290765755803,428.1797593484284,218.57685169087034,9449.541953156671,11675.397253532155,2225.855300375484,13023.125336664627,21038.064172313723,8014.938835649096,0,0,0,0,0,0,0
2,13435,100,38,97,206.31158520310586,483.10600567504105,276.79442047193515,9211.580651576343,11803.011013364981,2591.430361788638,13161.3661217743,20892.250050760682,7730.883928986383,206.31158520310586,483.8009771538462,277.48939195074036,9087.777037157102,11675.397253532155,2587.620216375053,13023.125336664627,19833.8839020972,6810.758565432574,0,0,0,0,0,0,0
3,20106,100,47,141,206.31158520310586,474.98956148011314,268.67797627700725,8947.616813613458,11597.954748961309,2650.3379353478504,13161.3661217743,20412.64808625121,7251.2819644769115,206.31158520310586,426.76714109521436,220.4555558921085,8884.123498548895,11290.288585592712,2406.165087043817,12862.408800863888,20097.104474678665,7234.6956738147765,0,0,0,0,0,0,0
4,26781,100,82,149,203.38196473782423,466.22208792161956,262.8401231837953,8741.23828281823,11290.288585592712,2549.0503027744817,13161.3661217743,21750.018540160185,8588.652418385886,203.38196473782423,431.7255554667163,228.34359072889205,8616.692318504865,10552.395553211496,1935.7032347066306,12862.408800863888,19892.137991926156,7029.729191062268,0,0,0,0,0,0,0
5,33462,100,94,169,203.38196473782423,423.07976755468684,219.6978028168626,8634.406664949518,11290.288585592712,2655.8819206431945,13154.049707327049,19754.969137525135,6600.919430198086,203.38196473782423,419.3596555162635,215.97769077843927,8468.132185181134,10545.447807460529,2077.315622279395,12862.408800863888,19892.137991926156,7029.729191062268,0,0,0,0,0,0,0
6,40149,100,94,196,199.53130229640607,423.07976755468684,223.54846525828077,8548.330757053995,10841.704786849883,2293.3740297958884,12945.315092302459,21861.146899792915,8915.831807490456,199.53130229640607,443.71043025058117,244.1791279541751,8443.325255803347,10841.704786849883,2398.3795310465357,12862.408800863888,19975.66585491693,7113.257054053041,0,0,0,0,0,0,0
7,46844,100,100,203,196.15849742509997,418.0685314023687,221.91003397726874,8548.330757053995,10841.704786849883,2293.3740297958884,12945.315092302459,19185.759552673306,6240.444460370847,196.15849742509997,445.74620001112294,249.58770258602297,8438.710805050772,10841.704786849883,2402.9939817991108,12862.408800863888,19975.66585491693,7113.257054053041,0,0,0,0,0,0,0
8,53549,100,100,230,200.27105952141923,407.11734372378334,206.8462842023641,8548.330757053995,10525.834177799316,1977.503420745321,12945.315092302459,18892.143145367183,5946.828053064724,188.79466322687418,445.74620001112294,256.9515367842488,8434.658572138655,11164.516531299138,2729.857959160483,12851.843833846546,20164.33435189647,7312.490518049923,0,0,0,0,0,0,0
9,60264,100,100,250,204.84910693352307,423.6600592417568,218.81095230823374,8502.937860381493,10385.400264502725,1882.4624041212319,12945.315092302459,18105.567253306446,5160.252161003988,188.79466322687418,444.3709489938063,255.5762857669321,8434.658572138655,11164.516531299138,2729.857959160483,12851.843833846546,20164.33435189647,7312.490518049923,0,0,0,0,0,0,0
10,66991,100,91,242,196.15849742509997,432.2412870298288,236.08278960472884,8502.937860381493,10789.29867730847,2286.3608169269773,12945.315092302459,19569.866639607764,6624.551547305306,188.79466322687418,413.11960302587147,224.3249397989973,8421.86125946898,11164.516531299138,2742.6552718301573,12851.843833846546,20164.33435189647,7312.490518049923,0,0,0,0,0,0,0
11,73732,100,87,266,196.15849742509997,432.2412870298288,236.08278960472884,8468.294337405669,10735.909162024094,2267.6148246184257,12945.315092302459,18789.122745231183,5843.807652928725,188.79466322687418,425.627623107786,236.83295988091183,8366.050624627656,11164.516531299138,2798.465906671481,12851.843833846546,19975.66585491693,7123.822021070384,0,0,0,0,0,0,0
12,80488,100,100,279,196.15849742509997,420.80253963495187,224.6440422098519,8446.693030980152,10735.909162024094,2289.2161310439424,12945.315092302459,21232.676916817818,8287.36182451536,188.79466322687418,425.627623107786,236.83295988091183,8366.050624627656,10712.600720973716,2346.55009634606,12851.843833846546,19975.66585491693,7123.822021070384,0,0,0,0,0,0,0
