id,cycle,fe,role,fp,cmax,tec,twc,q,p,score,origRank,slot,lineage,dFp,dCmax,dTEC,dTWC,dq,dp,dScore,dOrigRank
0,7,46844,TWC,"[6, 19, 12, 5, 1, 16, 14, 9, 10, 17, 2, 15, 8, 13, 7, 0, 18, 4, 3, 11]|[2, 1, 0, 2, 1, 0, 0, 0, 2, 0, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0]|[0, 1, 2, 0, 1, 3, 3, 3, 0, 0, 0, 0, 1, 0, 3, 3, 0, 1, 3, 3]|[1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2]",368.2730771685491,10230.148013289709,12976.716169554886,0,2,0.3333333333333333,108,2,191,"[6, 19, 12, 5, 4, 16, 17, 7, 2, 11, 10, 1, 9, 13, 14, 0, 15, 8, 3, 18]|[2, 1, 1, 2, 1, 2, 0, 0, 2, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]|[0, 1, 0, 0, 0, 0, 3, 0, 0, 1, 0, 3, 3, 0, 3, 3, 3, 0, 3, 0]|[1, 1, 1, 0, 0, 1, 2, 0, 1, 1, 0, 2, 2, 1, 2, 2, 2, 0, 2, 1]",316.875799672292,10168.939181646681,13298.348297354161,0,7,0.125,98
1,9,60264,CMAX,"[16, 19, 12, 5, 4, 3, 10, 2, 11, 6, 17, 18, 13, 14, 8, 9, 0, 7, 1, 15]|[2, 1, 1, 0, 1, 0, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2, 0, 1, 1, 1]|[0, 1, 1, 0, 0, 3, 1, 0, 1, 0, 1, 0, 0, 3, 0, 1, 3, 1, 1, 1]|[1, 1, 1, 0, 0, 2, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0, 2, 1, 1, 1]",186.91498340191535,10642.956949888026,15383.888116724786,0,5,0.16666666666666666,101,0,677,"[16, 19, 12, 5, 4, 6, 3, 11, 10, 17, 2, 18, 13, 14, 8, 9, 0, 7, 1, 15]|[2, 1, 1, 0, 1, 2, 0, 2, 2, 2, 2, 0, 2, 0, 0, 2, 0, 1, 1, 1]|[0, 1, 1, 0, 0, 0, 3, 1, 1, 1, 0, 0, 0, 3, 0, 1, 3, 1, 1, 1]|[1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 1, 1, 1, 2, 0, 0, 2, 1, 1, 1]",187.65142052604568,10612.626828250024,15322.509226548804,0,5,0.16666666666666666,99
2,9,60264,TWC,"[6, 19, 12, 5, 1, 16, 14, 9, 10, 17, 2, 15, 8, 13, 7, 0, 18, 4, 3, 11]|[2, 1, 0, 2, 1, 0, 0, 0, 2, 0, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0]|[0, 1, 2, 0, 1, 3, 3, 3, 0, 0, 0, 0, 1, 0, 3, 3, 0, 1, 3, 3]|[1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2]",368.2730771685491,10230.148013289709,12976.716169554886,0,3,0.25,106,2,610,,NaN,NaN,NaN,0,0,NaN,-1
3,10,66991,CMAX,"[16, 19, 12, 5, 4, 6, 3, 2, 9, 10, 18, 13, 14, 8, 7, 0, 15, 1, 17, 11]|[2, 1, 1, 0, 1, 2, 0, 2, 2, 1, 0, 2, 0, 0, 1, 1, 1, 0, 2, 2]|[0, 1, 1, 0, 0, 0, 3, 0, 1, 1, 0, 0, 3, 0, 1, 0, 1, 3, 1, 1]|[1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 0]",185.98240304364717,10951.303448458308,15999.839275512022,0,4,0.2,108,0,696,"[6, 19, 12, 5, 4, 16, 17, 11, 15, 7, 2, 10, 0, 13, 18, 8, 3, 14, 9, 1]|[2, 1, 1, 2, 2, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0]|[0, 1, 1, 0, 0, 3, 3, 1, 3, 1, 0, 3, 3, 0, 1, 3, 3, 3, 3, 3]|[1, 1, 1, 0, 1, 0, 2, 1, 0, 1, 1, 2, 0, 1, 1, 0, 2, 0, 2, 2]",404.25520836790406,8801.870807869134,14259.221669514345,0,15,0.0625,99
4,10,66991,TWC,"[6, 19, 12, 5, 1, 16, 14, 9, 10, 17, 2, 15, 8, 13, 7, 0, 18, 4, 3, 11]|[2, 1, 0, 2, 1, 0, 0, 0, 2, 0, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0]|[0, 1, 2, 0, 1, 3, 3, 3, 0, 0, 0, 0, 1, 0, 3, 3, 0, 1, 3, 3]|[1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2]",368.2730771685491,10230.148013289709,12976.716169554886,0,2,0.3333333333333333,109,2,610,,NaN,NaN,NaN,0,0,NaN,-1
5,11,73732,CMAX,"[16, 19, 12, 5, 4, 6, 3, 2, 9, 10, 18, 13, 14, 8, 7, 0, 15, 1, 17, 11]|[2, 1, 1, 0, 1, 2, 0, 2, 2, 1, 0, 2, 0, 0, 1, 1, 1, 0, 2, 2]|[0, 1, 1, 0, 0, 0, 3, 0, 1, 1, 0, 0, 3, 0, 1, 0, 1, 3, 1, 1]|[1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 0]",185.98240304364717,10951.303448458308,15999.839275512022,0,4,0.2,112,0,696,"[16, 12, 19, 5, 4, 6, 3, 9, 10, 11, 17, 18, 14, 1, 7, 15, 8, 0, 13, 2]|[2, 1, 1, 0, 1, 2, 0, 0, 2, 1, 2, 0, 0, 1, 1, 1, 0, 0, 2, 2]|[0, 1, 1, 0, 0, 0, 3, 3, 1, 1, 1, 0, 3, 1, 1, 1, 0, 3, 0, 0]|[1, 1, 1, 0, 0, 1, 2, 2, 0, 1, 0, 1, 2, 1, 1, 1, 0, 2, 1, 1]",208.15145374411998,10245.540719209832,16528.288510247356,0,13,0.07142857142857142,99
6,11,73732,TWC,"[6, 19, 12, 5, 1, 16, 14, 9, 10, 17, 2, 15, 8, 13, 7, 0, 18, 4, 3, 11]|[2, 1, 0, 2, 1, 0, 0, 0, 2, 0, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0]|[0, 1, 2, 0, 1, 3, 3, 3, 0, 0, 0, 0, 1, 0, 3, 3, 0, 1, 3, 3]|[1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2]",368.2730771685491,10230.148013289709,12976.716169554886,0,5,0.16666666666666666,110,2,610,,NaN,NaN,NaN,0,0,NaN,-1
7,12,80488,CMAX,"[16, 19, 12, 5, 4, 6, 3, 2, 9, 10, 18, 13, 14, 8, 7, 0, 15, 1, 17, 11]|[2, 1, 1, 0, 1, 2, 0, 2, 2, 1, 0, 2, 0, 0, 1, 1, 1, 0, 2, 2]|[0, 1, 1, 0, 0, 0, 3, 0, 1, 1, 0, 0, 3, 0, 1, 0, 1, 3, 1, 1]|[1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 0]",185.98240304364717,10951.303448458308,15999.839275512022,0,1,0.5,114,0,696,"[14, 19, 12, 5, 3, 16, 4, 11, 10, 9, 2, 18, 13, 6, 7, 17, 8, 1, 0, 15]|[0, 1, 1, 0, 0, 2, 2, 2, 1, 0, 2, 1, 2, 0, 1, 1, 0, 0, 0, 1]|[0, 1, 1, 0, 3, 0, 0, 1, 1, 3, 0, 1, 0, 3, 1, 1, 3, 3, 3, 1]|[0, 1, 1, 0, 2, 1, 1, 0, 1, 2, 1, 1, 1, 2, 1, 1, 0, 2, 2, 1]",271.4781218518813,9484.964953092018,16169.630215093413,0,12,0.07692307692307693,98
8,12,80488,TWC,"[6, 19, 12, 5, 1, 16, 14, 9, 10, 17, 2, 15, 8, 13, 7, 0, 18, 4, 3, 11]|[2, 1, 0, 2, 1, 0, 0, 0, 2, 0, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0]|[0, 1, 2, 0, 1, 3, 3, 3, 0, 0, 0, 0, 1, 0, 3, 3, 0, 1, 3, 3]|[1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2]",368.2730771685491,10230.148013289709,12976.716169554886,0,5,0.16666666666666666,107,2,610,"[6, 19, 12, 5, 4, 16, 3, 11, 10, 7, 15, 18, 1, 0, 14, 17, 9, 8, 2, 13]|[2, 1, 1, 0, 2, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2]|[0, 1, 1, 0, 0, 0, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 0, 0]|[1, 1, 1, 0, 1, 1, 2, 1, 2, 2, 0, 1, 2, 0, 0, 2, 2, 0, 1, 1]",374.4904914195845,9122.149537006473,13343.267126262239,0,12,0.07692307692307693,99
9,13,87260,TWC,"[6, 19, 12, 5, 1, 16, 14, 9, 10, 17, 2, 15, 8, 13, 7, 0, 18, 4, 3, 11]|[2, 1, 0, 2, 1, 0, 0, 0, 2, 0, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0]|[0, 1, 2, 0, 1, 3, 3, 3, 0, 0, 0, 0, 1, 0, 3, 3, 0, 1, 3, 3]|[1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 1, 2, 2, 1, 0, 0, 2]",368.2730771685491,10230.148013289709,12976.716169554886,0,3,0.25,110,2,610,,NaN,NaN,NaN,0,0,NaN,-1
