id,cycle,fe,role,fp,cmax,tec,twc,q,p,score,origRank,slot,lineage,dFp,dCmax,dTEC,dTWC,dq,dp,dScore,dOrigRank
0,8,53549,CMAX,"[16, 19, 2, 3, 17, 10, 15, 11, 9, 6, 12, 8, 4, 14, 13, 5, 7, 0, 1, 18]|[2, 1, 2, 2, 0, 2, 0, 2, 2, 1, 2, 2, 1, 0, 0, 1, 1, 0, 0, 2]|[0, 0, 1, 0, 3, 0, 2, 1, 1, 1, 0, 1, 0, 1, 3, 1, 1, 3, 3, 0]|[1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 2, 2, 0]",192.08852595961747,10836.618364990089,16606.489215339992,0,0,1,101,0,614,"[16, 14, 19, 6, 0, 2, 3, 4, 1, 10, 5, 15, 12, 8, 11, 7, 17, 9, 13, 18]|[1, 1, 0, 2, 0, 0, 0, 1, 1, 2, 1, 0, 2, 0, 1, 0, 2, 2, 0, 0]|[1, 1, 3, 0, 3, 3, 3, 1, 1, 0, 1, 3, 0, 3, 1, 3, 0, 0, 3, 3]|[1, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 2, 1, 0, 0, 2, 1, 0, 0, 2]",379.2515512718017,8825.82075766426,17481.603364870378,0,4,0.2,99
1,9,60264,CMAX,"[16, 19, 2, 3, 17, 10, 15, 11, 9, 6, 12, 8, 4, 14, 13, 5, 7, 0, 1, 18]|[2, 1, 2, 2, 0, 2, 0, 2, 2, 1, 2, 2, 1, 0, 0, 1, 1, 0, 0, 2]|[0, 0, 1, 0, 3, 0, 2, 1, 1, 1, 0, 1, 0, 1, 3, 1, 1, 3, 3, 0]|[1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 2, 2, 0]",192.08852595961747,10836.618364990089,16606.489215339992,0,4,0.2,106,0,614,"[4, 2, 1, 10, 3, 14, 12, 16, 0, 11, 6, 17, 9, 19, 8, 13, 15, 18, 5, 7]|[1, 2, 0, 2, 0, 0, 2, 1, 0, 2, 2, 2, 2, 1, 2, 0, 0, 0, 1, 1]|[1, 1, 1, 0, 0, 3, 0, 1, 3, 0, 0, 0, 0, 1, 0, 3, 3, 3, 1, 1]|[1, 1, 1, 0, 0, 2, 0, 1, 2, 1, 1, 1, 1, 1, 1, 0, 2, 0, 1, 1]",242.25815616783177,9533.119802204943,18334.47722120191,0,9,0.1,99
2,10,66991,CMAX,"[16, 19, 2, 3, 17, 10, 15, 11, 9, 6, 12, 8, 4, 14, 13, 5, 7, 0, 1, 18]|[2, 1, 2, 2, 0, 2, 0, 2, 2, 1, 2, 2, 1, 0, 0, 1, 1, 0, 0, 2]|[0, 0, 1, 0, 3, 0, 2, 1, 1, 1, 0, 1, 0, 1, 3, 1, 1, 3, 3, 0]|[1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 2, 2, 0]",192.08852595961747,10836.618364990089,16606.489215339992,0,1,0.5,116,0,614,,NaN,NaN,NaN,0,0,NaN,-1
3,11,73732,CMAX,"[16, 19, 2, 3, 17, 10, 15, 11, 9, 6, 12, 8, 4, 14, 13, 5, 7, 0, 1, 18]|[2, 1, 2, 2, 0, 2, 0, 2, 2, 1, 2, 2, 1, 0, 0, 1, 1, 0, 0, 2]|[0, 0, 1, 0, 3, 0, 2, 1, 1, 1, 0, 1, 0, 1, 3, 1, 1, 3, 3, 0]|[1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 2, 2, 0]",192.08852595961747,10836.618364990089,16606.489215339992,0,5,0.16666666666666666,109,0,614,"[16, 10, 14, 1, 6, 8, 12, 4, 11, 17, 5, 15, 19, 9, 13, 18, 2, 7, 0, 3]|[0, 2, 2, 0, 2, 2, 0, 1, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]|[3, 0, 0, 3, 0, 0, 3, 1, 0, 1, 1, 3, 1, 1, 3, 3, 3, 3, 3, 1]|[2, 1, 0, 2, 1, 1, 0, 1, 0, 1, 1, 2, 1, 1, 0, 2, 0, 2, 2, 1]",354.3506358906191,9109.313750546293,14761.185976658988,0,14,0.06666666666666667,99
4,12,80488,CMAX,"[16, 5, 2, 10, 18, 17, 15, 11, 9, 19, 7, 4, 13, 1, 8, 12, 6, 0, 3, 14]|[2, 0, 2, 2, 0, 2, 1, 2, 2, 1, 1, 1, 0, 1, 2, 2, 1, 1, 0, 0]|[1, 2, 0, 0, 3, 0, 0, 1, 1, 1, 1, 0, 3, 0, 1, 0, 1, 1, 0, 1]|[1, 2, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1]",189.17425032982658,11229.470347100229,17630.941824421345,0,0,1,107,0,793,"[16, 10, 14, 9, 0, 8, 2, 4, 11, 17, 6, 15, 12, 1, 13, 18, 3, 7, 19, 5]|[0, 2, 2, 0, 2, 2, 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1]|[3, 1, 0, 3, 0, 0, 3, 1, 0, 1, 0, 3, 3, 3, 3, 3, 3, 3, 1, 1]|[2, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 2, 0, 2, 0, 2, 0, 2, 1, 1]",376.3472574060331,9006.771844568064,14540.130960618095,0,16,0.058823529411764705,98
5,12,80488,TEC,"[16, 14, 19, 6, 0, 3, 2, 11, 17, 12, 5, 15, 9, 4, 1, 8, 7, 13, 18, 10]|[1, 1, 0, 2, 0, 0, 0, 1, 2, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2]|[1, 1, 3, 0, 3, 3, 3, 1, 0, 0, 1, 3, 0, 3, 3, 3, 3, 3, 3, 0]|[1, 1, 0, 1, 2, 0, 0, 1, 0, 1, 1, 2, 0, 0, 2, 0, 2, 0, 2, 1]",460.1657725309335,8467.99615099975,13732.677743483693,0,15,0.0625,101,1,752,"[19, 5, 13, 9, 6, 3, 10, 11, 15, 2, 16, 14, 4, 17, 18, 1, 12, 7, 0, 8]|[1, 2, 0, 2, 2, 0, 2, 2, 2, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0, 2]|[1, 0, 3, 1, 0, 0, 0, 1, 1, 3, 1, 2, 1, 1, 3, 1, 0, 1, 3, 0]|[1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 2, 1, 1, 0, 1, 0, 1, 2, 1]",207.81557192110898,10144.826610031409,17410.12968496086,0,15,0.0625,99
6,13,87260,CMAX,"[16, 5, 2, 10, 18, 17, 15, 11, 9, 19, 7, 4, 13, 1, 8, 12, 6, 0, 3, 14]|[2, 0, 2, 2, 0, 2, 1, 2, 2, 1, 1, 1, 0, 1, 2, 2, 1, 1, 0, 0]|[1, 2, 0, 0, 3, 0, 0, 1, 1, 1, 1, 0, 3, 0, 1, 0, 1, 1, 0, 1]|[1, 2, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1]",189.17425032982658,11229.470347100229,17630.941824421345,0,3,0.25,113,0,793,"[16, 10, 11, 2, 9, 0, 8, 4, 17, 14, 5, 15, 6, 12, 1, 19, 18, 3, 7, 13]|[1, 2, 2, 0, 0, 0, 2, 1, 1, 2, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]|[1, 1, 0, 3, 3, 3, 0, 1, 1, 0, 1, 3, 0, 3, 3, 1, 3, 3, 3, 3]|[1, 1, 0, 0, 0, 2, 1, 1, 1, 1, 1, 2, 1, 0, 2, 1, 2, 0, 2, 0]",365.0105175305513,8859.419507704457,15427.923973375484,0,14,0.06666666666666667,99
7,14,94049,CMAX,"[16, 5, 2, 10, 18, 17, 15, 11, 9, 19, 7, 4, 13, 1, 8, 12, 6, 0, 3, 14]|[2, 0, 2, 2, 0, 2, 1, 2, 2, 1, 1, 1, 0, 1, 2, 2, 1, 1, 0, 0]|[1, 2, 0, 0, 3, 0, 0, 1, 1, 1, 1, 0, 3, 0, 1, 0, 1, 1, 0, 1]|[1, 2, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1]",189.17425032982658,11229.470347100229,17630.941824421345,0,0,1,111,0,793,,NaN,NaN,NaN,0,0,NaN,-1
8,15,100858,CMAX,"[16, 5, 2, 10, 18, 17, 15, 11, 9, 19, 7, 4, 13, 1, 8, 12, 6, 0, 3, 14]|[2, 0, 2, 2, 0, 2, 1, 2, 2, 1, 1, 1, 0, 1, 2, 2, 1, 1, 0, 0]|[1, 2, 0, 0, 3, 0, 0, 1, 1, 1, 1, 0, 3, 0, 1, 0, 1, 1, 0, 1]|[1, 2, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1]",189.17425032982658,11229.470347100229,17630.941824421345,0,1,0.5,115,0,793,"[10, 16, 14, 9, 6, 8, 2, 4, 11, 17, 5, 15, 12, 0, 1, 3, 7, 18, 19, 13]|[2, 2, 2, 0, 1, 2, 0, 1, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]|[1, 0, 0, 3, 1, 0, 3, 1, 0, 1, 1, 3, 3, 1, 1, 3, 3, 3, 1, 3]|[1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 2, 0, 1, 1, 0, 2, 2, 1, 0]",295.02310274223527,9240.915588806884,16536.6085298343,0,6,0.14285714285714285,98
9,15,100858,TEC,"[16, 14, 19, 6, 0, 3, 1, 11, 17, 10, 5, 15, 9, 12, 7, 8, 4, 18, 13, 2]|[1, 1, 0, 2, 0, 0, 0, 1, 2, 2, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0]|[1, 1, 3, 0, 3, 3, 3, 1, 0, 0, 1, 3, 0, 3, 3, 3, 0, 3, 3, 3]|[1, 1, 0, 1, 2, 0, 2, 1, 0, 1, 1, 2, 0, 0, 2, 0, 1, 2, 0, 2]",450.879502974659,8419.009079845262,13697.432440857132,0,1,0.5,117,1,850,"[16, 14, 19, 6, 0, 3, 2, 11, 4, 17, 5, 18, 9, 12, 1, 8, 7, 15, 13, 10]|[1, 2, 1, 2, 0, 0, 1, 1, 2, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1]|[1, 0, 1, 0, 3, 3, 1, 1, 0, 0, 1, 3, 0, 3, 3, 3, 3, 3, 3, 1]|[1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 2, 0, 0, 2, 0, 2, 2, 0, 1]",330.3829059279833,8677.909571347267,17758.743316661796,0,6,0.14285714285714285,99
