slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
0,40,"1,4,5,7,9,6,8,0,2,3","0,0,1,0,0,1,1,0,0,0","2,1,1,1,0,1,1,1,1,0","1,0,1,0,1,0,1,0,0,1",58.735561900065484,2138.9249739252245,2703.7948178866250,"[1, 4, 5, 7, 9, 6, 8, 0, 2, 3]|[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]|[2, 1, 1, 1, 0, 1, 1, 1, 1, 0]|[1, 0, 1, 0, 1, 0, 1, 0, 0, 1]"
1,59,"5,3,7,6,4,0,2,1,9,8","1,0,0,1,0,0,1,1,1,0","0,0,0,1,1,0,1,0,0,1","1,0,1,0,0,1,1,0,1,0",48.815697494795245,2031.7868264248140,3044.4818476840064,"[5, 3, 7, 6, 4, 0, 2, 1, 9, 8]|[1, 0, 0, 1, 0, 0, 1, 1, 1, 0]|[0, 0, 0, 1, 1, 0, 1, 0, 0, 1]|[1, 0, 1, 0, 0, 1, 1, 0, 1, 0]"
2,76,"7,3,5,6,9,0,2,1,4,8","1,0,0,1,0,0,1,1,0,0","0,0,0,1,1,1,1,0,0,1","1,0,1,0,0,0,1,0,1,0",53.687167535511120,2052.5334415726743,2860.8793950713466,"[7, 3, 5, 6, 9, 0, 2, 1, 4, 8]|[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]|[0, 0, 0, 1, 1, 1, 1, 0, 0, 1]|[1, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
3,104,"3,4,8,6,2,7,5,1,0,9","0,0,1,1,1,0,0,0,1,0","0,1,1,0,0,1,0,1,1,0","1,0,0,1,1,0,1,0,0,1",57.980382136087200,2068.2913797720507,2758.8135879295855,"[3, 4, 8, 6, 2, 7, 5, 1, 0, 9]|[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]|[0, 1, 1, 0, 0, 1, 0, 1, 1, 0]|[1, 0, 0, 1, 1, 0, 1, 0, 0, 1]"
4,97,"2,3,5,0,1,6,9,7,4,8","0,0,1,0,1,0,1,1,1,1","0,0,0,1,1,0,0,0,1,0","0,0,1,0,0,1,1,0,1,1",62.258340426021036,1980.9342567011468,3253.0004580995420,"[2, 3, 5, 0, 1, 6, 9, 7, 4, 8]|[0, 0, 1, 0, 1, 0, 1, 1, 1, 1]|[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]|[0, 0, 1, 0, 0, 1, 1, 0, 1, 1]"
5,134,"3,4,6,5,7,2,1,8,0,9","0,0,1,0,0,1,1,1,0,0","1,1,0,0,1,0,1,1,0,0","0,0,1,1,0,1,0,0,1,1",49.725365543031800,2059.3512275732105,2815.3403747395880,"[3, 4, 6, 5, 7, 2, 1, 8, 0, 9]|[0, 0, 1, 0, 0, 1, 1, 1, 0, 0]|[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]|[0, 0, 1, 1, 0, 1, 0, 0, 1, 1]"
6,143,"0,4,7,5,9,2,1,8,3,6","1,1,1,1,1,1,1,0,0,1","1,1,0,0,0,0,1,0,0,0","0,1,1,1,1,1,0,0,1,1",97.128882379409090,1954.2871731748810,3724.8422273654130,"[0, 4, 7, 5, 9, 2, 1, 8, 3, 6]|[1, 1, 1, 1, 1, 1, 1, 0, 0, 1]|[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]|[0, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
7,154,"2,3,7,5,9,1,8,0,6,4","1,1,1,1,1,1,0,0,1,0","1,0,0,0,0,0,0,0,0,1","0,1,1,1,1,0,0,1,1,0",88.064482380639390,1955.4304963375635,3678.2445633731204,"[2, 3, 7, 5, 9, 1, 8, 0, 6, 4]|[1, 1, 1, 1, 1, 1, 0, 0, 1, 0]|[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]|[0, 1, 1, 1, 1, 0, 0, 1, 1, 0]"
8,174,"1,3,5,6,2,9,4,8,0,7","0,0,1,0,0,0,1,1,0,0","1,1,0,0,1,0,1,1,0,1","0,0,1,1,0,1,0,0,1,0",65.131980734154820,2117.7880880827893,2751.3227631582618,"[1, 3, 5, 6, 2, 9, 4, 8, 0, 7]|[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]|[1, 1, 0, 0, 1, 0, 1, 1, 0, 1]|[0, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
9,193,"3,4,6,5,7,9,1,8,2,0","0,0,1,0,0,0,1,1,0,0","1,1,0,0,1,0,1,1,0,1","0,0,1,1,0,1,0,0,1,0",58.202853362616864,2100.4849552082705,2757.5495888993310,"[3, 4, 6, 5, 7, 9, 1, 8, 2, 0]|[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]|[1, 1, 0, 0, 1, 0, 1, 1, 0, 1]|[0, 0, 1, 1, 0, 1, 0, 0, 1, 0]"
