cycle,source,evaluated,accepted,superseded,enteredPddr,pddrSelected,pddrRejected,fe,regionAssignments,regionRoles,bestGeneratedCmax
1,GLOBAL_Q_FINAL,0,0,0,100,59,41,0,59,"{G1_CMAX=9, G2_TEC=7, G3_TWC=11, G4_BALANCED=32}",Infinity
1,PARENT,0,0,0,100,7,93,0,7,"{G2_TEC=3, G4_BALANCED=4}",Infinity
1,CATA_TEST,105,47,29,18,10,8,105,10,"{G1_CMAX=2, G2_TEC=2, G3_TWC=1, G4_BALANCED=5}",1002.5225887351002
1,CATA_APPLY,79,26,0,26,18,8,79,18,"{G1_CMAX=1, G2_TEC=3, G3_TWC=3, G4_BALANCED=11}",978.4033124013788
1,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",1083.646329420017
1,CRITICAL_INSERT,6,6,6,0,0,0,6,0,"{}",1033.6322959268477
1,O1_O9,1471,161,155,6,6,0,1471,6,"{G1_CMAX=3, G4_BALANCED=3}",826.4589838013156
2,GLOBAL_Q_FINAL,0,0,0,100,40,60,0,40,"{G1_CMAX=4, G2_TEC=7, G3_TWC=7, G4_BALANCED=22}",Infinity
2,PARENT,0,0,0,100,34,66,0,34,"{G1_CMAX=3, G2_TEC=5, G3_TWC=6, G4_BALANCED=20}",Infinity
2,CATA_TEST,93,40,23,17,8,9,93,8,"{G1_CMAX=2, G3_TWC=1, G4_BALANCED=5}",957.190206968145
2,CATA_APPLY,81,28,1,27,12,15,81,12,"{G1_CMAX=1, G2_TEC=3, G3_TWC=1, G4_BALANCED=7}",945.4004615996453
2,CRITICAL_SWAP,6,4,4,0,0,0,6,0,"{}",989.1002295784853
2,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",981.6574959044424
2,O1_O9,1482,176,170,6,6,0,1482,6,"{G1_CMAX=5, G4_BALANCED=1}",810.8051484344765
3,GLOBAL_Q_FINAL,0,0,0,100,32,68,0,32,"{G1_CMAX=5, G2_TEC=6, G3_TWC=4, G4_BALANCED=17}",Infinity
3,PARENT,0,0,0,100,39,61,0,39,"{G1_CMAX=3, G2_TEC=7, G3_TWC=6, G4_BALANCED=23}",Infinity
3,CATA_TEST,120,53,30,23,10,13,120,10,"{G1_CMAX=2, G3_TWC=3, G4_BALANCED=5}",922.4143546612777
3,CATA_APPLY,75,35,4,31,14,17,75,14,"{G1_CMAX=2, G2_TEC=2, G3_TWC=2, G4_BALANCED=8}",974.9539840293972
3,CRITICAL_SWAP,6,4,4,0,0,0,6,0,"{}",998.4432883631277
3,CRITICAL_INSERT,6,6,6,0,0,0,6,0,"{}",952.873089125913
3,O1_O9,1464,163,157,6,5,1,1464,5,"{G1_CMAX=3, G4_BALANCED=2}",756.4116909807693
4,GLOBAL_Q_FINAL,0,0,0,100,31,69,0,31,"{G1_CMAX=6, G2_TEC=5, G3_TWC=5, G4_BALANCED=15}",Infinity
4,PARENT,0,0,0,100,48,52,0,48,"{G1_CMAX=5, G2_TEC=8, G3_TWC=9, G4_BALANCED=26}",Infinity
4,CATA_TEST,102,49,31,18,3,15,102,3,"{G3_TWC=1, G4_BALANCED=2}",1021.2340911846281
4,CATA_APPLY,79,30,2,28,12,16,79,12,"{G1_CMAX=3, G2_TEC=2, G4_BALANCED=7}",912.1489346563145
4,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",913.4537463851611
4,CRITICAL_INSERT,6,6,6,0,0,0,6,0,"{}",872.2201395779157
4,O1_O9,1482,133,127,6,6,0,1482,6,"{G1_CMAX=1, G4_BALANCED=5}",831.5009723110514
5,GLOBAL_Q_FINAL,0,0,0,100,25,75,0,25,"{G1_CMAX=4, G2_TEC=2, G3_TWC=7, G4_BALANCED=12}",Infinity
5,PARENT,0,0,0,100,55,45,0,55,"{G1_CMAX=7, G2_TEC=11, G3_TWC=6, G4_BALANCED=31}",Infinity
5,CATA_TEST,90,40,23,17,5,12,90,5,"{G1_CMAX=1, G3_TWC=1, G4_BALANCED=3}",953.5595496609824
5,CATA_APPLY,82,37,2,35,9,26,82,9,"{G1_CMAX=1, G2_TEC=2, G4_BALANCED=6}",926.5520603751006
5,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",1051.6418442077259
5,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",1025.8284290730828
5,O1_O9,1497,162,156,6,6,0,1497,6,"{G1_CMAX=2, G3_TWC=1, G4_BALANCED=3}",823.9884385771114
6,GLOBAL_Q_FINAL,0,0,0,100,14,86,0,14,"{G1_CMAX=3, G2_TEC=1, G3_TWC=1, G4_BALANCED=9}",Infinity
6,PARENT,0,0,0,100,75,25,0,75,"{G1_CMAX=10, G2_TEC=10, G3_TWC=13, G4_BALANCED=42}",Infinity
6,CATA_TEST,95,42,26,16,3,13,95,3,"{G3_TWC=1, G4_BALANCED=2}",876.2019292955468
6,CATA_APPLY,81,26,1,25,3,22,81,3,"{G2_TEC=2, G4_BALANCED=1}",818.9761939272706
6,CRITICAL_SWAP,6,4,4,0,0,0,6,0,"{}",871.9595988593146
6,CRITICAL_INSERT,6,3,3,0,0,0,6,0,"{}",796.9092724623816
6,O1_O9,1499,173,167,6,5,1,1499,5,"{G1_CMAX=2, G2_TEC=2, G4_BALANCED=1}",754.7232886293244
7,GLOBAL_Q_FINAL,0,0,0,100,18,82,0,18,"{G1_CMAX=1, G2_TEC=3, G3_TWC=1, G4_BALANCED=13}",Infinity
7,PARENT,0,0,0,100,66,34,0,66,"{G1_CMAX=9, G2_TEC=12, G3_TWC=12, G4_BALANCED=33}",Infinity
7,CATA_TEST,93,31,18,13,2,11,93,2,"{G4_BALANCED=2}",845.5425875598876
7,CATA_APPLY,81,31,2,29,8,21,81,8,"{G1_CMAX=1, G3_TWC=1, G4_BALANCED=6}",827.9679516804348
7,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",875.3371967226378
7,CRITICAL_INSERT,6,6,6,0,0,0,6,0,"{}",848.653717355331
7,O1_O9,1509,119,113,6,6,0,1509,6,"{G1_CMAX=4, G3_TWC=1, G4_BALANCED=1}",756.8615427596432
8,GLOBAL_Q_FINAL,0,0,0,100,10,90,0,10,"{G2_TEC=5, G3_TWC=1, G4_BALANCED=4}",Infinity
8,PARENT,0,0,0,100,80,20,0,80,"{G1_CMAX=12, G2_TEC=9, G3_TWC=12, G4_BALANCED=47}",Infinity
8,CATA_TEST,95,46,29,17,1,16,95,1,"{G2_TEC=1}",848.5388522143224
8,CATA_APPLY,81,36,0,36,3,33,81,3,"{G3_TWC=2, G4_BALANCED=1}",851.3527192088932
8,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",854.030199755812
8,CRITICAL_INSERT,6,6,6,0,0,0,6,0,"{}",822.8792818935551
8,O1_O9,1517,134,128,6,6,0,1517,6,"{G1_CMAX=3, G4_BALANCED=3}",749.1137164461632
9,GLOBAL_Q_FINAL,0,0,0,100,12,88,0,12,"{G2_TEC=4, G3_TWC=2, G4_BALANCED=6}",Infinity
