slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
0,122,"5,3,8,7,9,6,1,0,2,4","0,0,1,1,0,0,1,0,0,1","2,0,1,0,0,1,0,0,1,1","0,1,1,0,1,0,0,1,0,1",49.990101372519405,2057.4401543232090,2755.8858421814643,"[5, 3, 8, 7, 9, 6, 1, 0, 2, 4]|[0, 0, 1, 1, 0, 0, 1, 0, 0, 1]|[2, 0, 1, 0, 0, 1, 0, 0, 1, 1]|[0, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
1,133,"6,5,8,7,9,3,1,0,2,4","0,0,1,1,0,0,1,0,0,1","0,2,1,0,0,0,0,0,1,1","0,0,1,0,1,1,0,1,0,1",57.685714078975266,2032.7307213803010,2768.3274128709077,"[6, 5, 8, 7, 9, 3, 1, 0, 2, 4]|[0, 0, 1, 1, 0, 0, 1, 0, 0, 1]|[0, 2, 1, 0, 0, 0, 0, 0, 1, 1]|[0, 0, 1, 0, 1, 1, 0, 1, 0, 1]"
2,147,"5,3,4,6,0,1,2,9,7,8","0,0,1,0,1,1,0,0,1,1","2,0,1,1,1,0,1,0,0,1","0,1,1,0,1,0,0,1,0,1",49.990101372519405,2040.5799072260770,2863.5626255672450,"[5, 3, 4, 6, 0, 1, 2, 9, 7, 8]|[0, 0, 1, 0, 1, 1, 0, 0, 1, 1]|[2, 0, 1, 1, 1, 0, 1, 0, 0, 1]|[0, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
3,148,"5,3,4,7,9,2,1,0,6,8","0,0,1,1,0,0,1,1,0,1","2,0,1,0,0,1,0,1,1,1","0,1,1,0,1,0,0,1,0,1",50.032413258388380,2042.1900020559647,2861.4889161745470,"[5, 3, 4, 7, 9, 2, 1, 0, 6, 8]|[0, 0, 1, 1, 0, 0, 1, 1, 0, 1]|[2, 0, 1, 0, 0, 1, 0, 1, 1, 1]|[0, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
4,142,"3,8,7,9,5,1,2,0,6,4","0,1,1,0,0,1,0,0,0,1","0,1,0,0,1,0,1,0,2,1","1,1,0,1,0,0,0,1,0,1",50.459763685738810,2062.1547347775345,2750.8843436807506,"[3, 8, 7, 9, 5, 1, 2, 0, 6, 4]|[0, 1, 1, 0, 0, 1, 0, 0, 0, 1]|[0, 1, 0, 0, 1, 0, 1, 0, 2, 1]|[1, 1, 0, 1, 0, 0, 0, 1, 0, 1]"
5,151,"0,5,8,7,3,2,1,9,6,4","0,0,1,1,0,0,1,0,0,1","0,1,1,0,0,1,0,0,1,1","1,0,1,0,1,0,0,1,0,1",52.875182065093050,2050.2014866407117,2781.8060698681410,"[0, 5, 8, 7, 3, 2, 1, 9, 6, 4]|[0, 0, 1, 1, 0, 0, 1, 0, 0, 1]|[0, 1, 1, 0, 0, 1, 0, 0, 1, 1]|[1, 0, 1, 0, 1, 0, 0, 1, 0, 1]"
6,157,"0,5,8,7,2,6,1,9,3,4","0,0,1,1,0,0,1,0,0,1","0,1,1,0,1,1,0,0,0,1","1,0,1,0,0,0,0,1,1,1",53.096031111892260,2049.8332939871330,2806.9655543900700,"[0, 5, 8, 7, 2, 6, 1, 9, 3, 4]|[0, 0, 1, 1, 0, 0, 1, 0, 0, 1]|[0, 1, 1, 0, 1, 1, 0, 0, 0, 1]|[1, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
7,183,"0,1,6,3,7,4,8,9,2,5","0,1,0,0,1,1,1,0,0,1","2,0,1,0,0,1,1,0,0,1","0,0,0,1,0,1,1,1,0,1",50.771667348597260,2014.8295427822673,2894.0094420074680,"[0, 1, 6, 3, 7, 4, 8, 9, 2, 5]|[0, 1, 0, 0, 1, 1, 1, 0, 0, 1]|[2, 0, 1, 0, 0, 1, 1, 0, 0, 1]|[0, 0, 0, 1, 0, 1, 1, 1, 0, 1]"
8,178,"6,5,8,7,3,2,9,0,4,1","0,0,1,1,0,0,0,0,1,1","0,1,1,0,1,0,0,0,0,0","0,0,1,0,0,1,1,0,0,0",57.649356227997740,2003.3056224078050,2822.7657311695357,"[6, 5, 8, 7, 3, 2, 9, 0, 4, 1]|[0, 0, 1, 1, 0, 0, 0, 0, 1, 1]|[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]|[0, 0, 1, 0, 0, 1, 1, 0, 0, 0]"
9,187,"0,5,7,4,9,6,1,3,2,8","0,1,1,1,0,0,1,0,0,1","2,1,1,0,0,1,0,0,0,1","0,1,1,0,1,0,0,1,0,1",48.438405823037850,2026.1138321892229,2977.2954397175660,"[0, 5, 7, 4, 9, 6, 1, 3, 2, 8]|[0, 1, 1, 1, 0, 0, 1, 0, 0, 1]|[2, 1, 1, 0, 0, 1, 0, 0, 0, 1]|[0, 1, 1, 0, 1, 0, 0, 1, 0, 1]"
