candidateFingerprint,Cmax,TEC,TWC
5cf0299acc0559b1916589466de17cdd07fe5e8f73b946d077a1bfbbc8b4dbba,329.9385223420672,24101.154100575568,41397.86444511824
78968ed7aaac4ddc9c8d899bb7b20b7775c763ae5b79f047cab104b33e75aca8,791.08620764996,21392.849412973872,40515.811224127996
80d2068cc6a778ef47bdfc9f3c7ddc187cbdba629d6212adbf78f72e6b05cf02,544.4893704646138,21795.526271365077,36895.23118749767
0328175091fdd15b3a7b0523e891013e31623f4aa47090709cea3a1617b61f75,555.8446105414112,21545.267568686595,42732.324735499904
5667392840a76fdee2ce3ed2206d6a010584bd6d3ed93a86dc50c5f6aa160750,508.48598247526974,21776.021538396224,38269.7447117032
f762e282be5f83c2d5930ef84d938c54ff5e7b845caabe7d7e0e649a342d42de,506.02015430131337,21912.723189468285,37863.72543084002
e975b72b90136286d7ac4ee4c66072f5e87d7f7004602f378d228e5bf1d07a9d,459.1579753499644,22363.602707165162,36621.313063763155
616caeb411080da72b6e663ccc0bf4794a7f8a39cf146cfedc828dae8733770c,606.9201991755958,21680.571903012846,34590.49604824665
8aeba8b2300f12fca72074c88df612ae3ba155ed8bd93ed8b1f8d3dbfa18a686,626.9377956738081,21694.331824185665,34328.54994012128
a31eab932058e5b111cb7cba7f19eb28b44d24b912583ea6efb4f85c7f186b3c,490.2561680174913,21737.974835815476,38790.48912086654
1c1572d06cf7e8f2c3baabbfc554c5abd9edab3a700471018228db4e0e6ee8a6,521.0727129151079,21700.114095726927,39974.68919888985
c28b870594727e9ea7d069b2d7c15b9da636fbd52065bb2217236d00141375bc,624.1577212426888,21779.258540288913,34159.27686536285
1308c80d3d53da8e8c11316201ff38971261a17d8dcc317f71dd5a7eba8192d9,592.0640049084459,21888.35630351596,33803.40713416077
f6145035f18b637a53b3e1a75d4a2ab952ebc4bd079cb2af420af45b0b23645d,510.94118609751996,22051.386057325915,36271.79934830707
54beaebeb3bdfacfd3250e3093672cb74aa9ec6048f681b56f53844139b3f0de,344.4795602273929,22457.03292417662,41164.690293675754
566578da250fed26c19c8904b902afded736dfbc8a2f170ded3b106804ce2280,362.71884090624985,22356.407821838402,41637.9424447543
b85efe6867a4d9bcdc296e33a6056a2896a9d10837fbb1221b9b7071d9f1c868,516.0678443753629,21905.529358172767,38040.46928127645
e4c4a47e223d3e9cc52479258e445388e61cc36c7bd839f81c84a3f6cfca0990,577.8084682677609,21890.778277038142,33790.54347076308
ca7801700b95738901023a36e6c4cd61d636249b4b78f348eb22e83117be4d81,732.0429427064734,21628.010265781882,34425.286303412526
d5dcbee475f71106f792329fb6b29d331d376009b33141b5dd71ccee45a5225f,936.1362667292418,21556.52579364222,34465.78459048678
05d47e111e3faad0bf5dda78f24c06925879a6a972f46e9b81758070ea622751,361.58517199781704,22193.203363527267,41789.455624919996
5c509f91d2bf8eb0f5877ec0db0a6002da05932b08142a12ecef470923376ee8,611.4527767833123,21809.72974109181,33865.33847744966
7c0aa2dcb5cf64c0da435ce3a4c1d47e578b6537519ad84bf91da167fcd598a8,474.02252355755246,21887.6808612759,38361.54541276941
d6031b8c35c6055a779721f0395e050e9cd28f258995412fa14e00e179e3ebf1,358.89594830429724,22357.111917818,41014.24273616692
6f800ced92f2f23d215c5f975b5d4bba5c6ee3b176ca6333194ef090b5e7ba0f,542.2928166874264,21826.148246096807,37470.17304703452
a764506a4796526a2320c1d02daa42589b4da57d01e448cc38239ae3bae40763,357.953637793555,22435.38613273174,40881.49751815511
3d63a6e4668365979f52cec15b66ccd061b4dc00b4748101a9ad6a6745bbeeb0,621.571856113407,21618.91940289934,37115.44255709183
f2278a3c0efb05ccbd34a9a96f83ee2012bf69aadcb3d24f1d7899c0a6f8e0da,600.9762691655023,21878.4475010133,33851.5661498604
981f8e063fc3e48e904cda022f4a2d265d67cb8252a436f37239834bada933c3,576.0615153500324,21871.45130502749,34085.10185790606
981c3ffdedb97b5507ce8a0d7c3cb7744b18b390d7843f3c6750ca6760acebde,593.829862745174,21823.179775178905,34152.643366019205
06eeae6f6a7e9cfbb5fa30b22d8fa37af78455f17ea2d54d55a6587edb123f97,346.6147268512677,22479.90397752841,40852.50242659163
ba39d31d593f4d0cc52d706e377491000e505d8cb55553242fe1bafc7272e6b2,343.53862246255665,22621.300265606118,40672.62874271931
18fdef08ab90398d4820f7f2b709140cc22037ce13d3f066b41ce5aa35aa8100,332.49358944797194,23026.63914141208,41043.69718864041
8545bc9c3d0df9820b520cce557615b45e390dcf7f0271252876e524737f4bb8,525.713821515034,21761.704993944833,38431.583504098206
f4671c26002b44f5c8acb5dafb51a8cba312c5f4644fef7cd08e52dbf6b10084,489.6579785436345,21963.85096494478,37844.352204560375
