checkpointTargetFE,checkpointObservedFE,overshootFE,evaluationCounterFE,frontType,frontSize
25000,25000,0,25081,checkpoint-decision-front,165
25000,25000,0,25081,checkpoint-observed-full-front,181
50000,50000,0,50036,checkpoint-decision-front,202
50000,50000,0,50036,checkpoint-observed-full-front,324
75000,75000,0,75066,checkpoint-decision-front,244
75000,75000,0,75066,checkpoint-observed-full-front,383
96025,96025,0,96025,terminal-decision-front,298
96025,96025,0,96025,terminal-observed-full-front,481
