run_id,seed,arm,variant,approx_count,pfref_count,pfref_sha256,hv,igd
A2-seed-20260815,20260815,A2,full,307,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.6079795659501424,0.3257958847806427
A2-seed-20260816,20260816,A2,full,99,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.5155088497440202,0.29828513929339917
A2-seed-20260817,20260817,A2,full,212,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.6079672202977793,0.19394335184441958
A2-seed-20260818,20260818,A2,full,175,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.4586088173463166,0.28886306499831893
A2-seed-20260819,20260819,A2,full,302,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.7562268296800287,0.19781374370876004
A3-seed-20260808,20260808,A3,full,323,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.6056051526512681,0.2799609824514417
A3-seed-20260809,20260809,A3,full,201,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.5804714278025951,0.21467664171054904
A3-seed-20260810,20260810,A3,full,186,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.4927348484721741,0.263214042455704
A3-seed-20260811,20260811,A3,full,209,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.44549592449099484,0.303923485762479
A3-seed-20260812,20260812,A3,full,169,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.5143031748331718,0.2861072045458854
A3-seed-20260813,20260813,A3,full,130,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.35153747465439905,0.41738597544403855
A3-seed-20260814,20260814,A3,full,203,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.3423958259715567,0.39114244914657653
A3-seed-20260815,20260815,A3,full,200,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd,0.630003551392917,0.2669775929305226
