scope,omitted,remaining_runs,full_pfref_count,leaveout_pfref_count,pfref_delta,full_points_removed,new_points_exposed,pfref_jaccard,leaveout_pfref_sha256
run,A0-seed-20260808,59,1979,1971,-8,13,5,0.9909274193548387,073bab4874a636e98008010793613e663ee1bc92413bba062d75459bdfe821ae
run,A0-seed-20260809,59,1979,1929,-50,50,0,0.9747347145022739,7c8f2498d7db9049bcab658d175780035d579b139a917f91bd58309fcab4df5f
run,A0-seed-20260810,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A0-seed-20260811,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A0-seed-20260812,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A0-seed-20260813,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A0-seed-20260814,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A0-seed-20260815,59,1979,1988,9,73,82,0.9247937894226104,206b179308a7f389b825a5bf3b84b2dda627842022e82da3b7cc87f8ba829be0
run,A0-seed-20260816,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A0-seed-20260817,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A0-seed-20260818,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A0-seed-20260819,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A1-seed-20260808,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A1-seed-20260809,59,1979,1932,-47,90,43,0.9342235410484668,66f0cdd0307b1d013710ccd37540b0e92ad37a56e15fd5a0a2884a962ba2f28a
run,A1-seed-20260810,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A1-seed-20260811,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A1-seed-20260812,59,1979,1968,-11,16,5,0.9894153225806451,ba7f8d13ba451cf95237ea5b5672b5c9be5c3db8f7c877f873ff78a00123a3a4
run,A1-seed-20260813,59,1979,1968,-11,31,20,0.9744872436218109,7198fa96b2f384ec51c1715b5a44ab96882ea7d5c3df7aa9d092caa602378a06
run,A1-seed-20260814,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A1-seed-20260815,59,1979,1971,-8,64,56,0.941031941031941,e0b7cd540c1a7b4a964affd6d9e23653e8fd861d9ed4c6737bb050d471916209
run,A1-seed-20260816,59,1979,1937,-42,42,0,0.9787771601819101,a698b649fd87340400cfba52f2521f09e35019adf76c064ef41f648e05acece2
run,A1-seed-20260817,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A1-seed-20260818,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A1-seed-20260819,59,1979,1972,-7,7,0,0.9964628600303184,826a0be5e16c17be39cc592052f2c7cc2bbdbc1a6bc77871f5fe0503b4f97440
run,A2-seed-20260808,59,1979,2003,24,43,67,0.946236559139785,0ece74a9276ed8c8e609760a736c4a94b4ff201bb240f5bc74d4ec535ae00870
run,A2-seed-20260809,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A2-seed-20260810,59,1979,1970,-9,9,0,0.9954522486104093,a892086b3f15520834ffcf17b61c6d501991736eebc17952ace3997b1caaf9b3
run,A2-seed-20260811,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A2-seed-20260812,59,1979,1963,-16,49,33,0.9592445328031809,195da2ae3c7a08df9dbf11a5acedd7b0cb39b2bc235fb3be0cce62586736a674
run,A2-seed-20260813,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A2-seed-20260814,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A2-seed-20260815,59,1979,1960,-19,106,87,0.9065827686350436,9b6007b44945155c72b9eeba5931b296585daef7a9b4db930960405fc8a2bcb4
run,A2-seed-20260816,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A2-seed-20260817,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
run,A2-seed-20260818,59,1979,1979,0,0,0,1.0,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
