point_index,Cmax,TEC,TWC,objective_key
0,677.5547092179258,58931.67632311071,95889.28008069034,40852c700b62ee40|40ecc675a4705d41|40f769147b35e3d4
1,679.6393526876298,59583.33114741587,93407.21091478715,40853d1d64f11fd6|40ed17ea98c2772a|40f6cdf35fe82f11
2,679.6466286206277,59383.53409894022,95278.78812984978,40853d2c4ba05207|40ecfef11756a922|40f742ec9c2e0b9d
3,680.264347131877,59458.7323803423,95263.35594835907,4085421d620771a0|40ed08576fa8e64d|40f741f5b1f6e814
4,682.4300211516568,59116.84581482374,93971.08113299236,40855370aeedf7a2|40ecdd9b10ea3fce|40f6f1314c521bcd
5,682.8812090445624,59133.73215241163,92163.43414652265,4085570cb753daae|40ecdfb76dcae4f4|40f68036f2439fc7
6,683.1448835632508,58843.7919633384,92369.76794642712,40855928b8b6af1f|40ecbb7957c37fc2|40f68d1c49823159
7,683.4968541826142,59218.45850347288,91658.14215787764,40855bf98eaf89ac|40ecea4eac0f79a4|40f660a2464756b5
8,684.4574346727613,59014.754713835035,91347.80505588834,408563a8d3827c88|40ecd0d8269da0ea|40f64d3ce182487e
9,684.6691910889499,58573.062910618646,92355.04081945248,4085655a80db8e84|40ec99a2035d2135|40f68c30a7324c57
10,684.8622165901726,58818.85583126842,92035.39504238576,408566e5d1cfc6e1|40ecb85b62f84198|40f678365217f6f6
11,684.8622165901726,58917.9709298004,91332.61508844873,408566e5d1cfc6e1|40ecc4bf11db5f6e|40f64c49d766fc37
12,684.9529521621779,58692.8843804708,92164.04390969075,4085679fa56219a7|40eca89c4cd845ea|40f68040b3daa5dc
13,685.0796663706697,58784.49575326114,91685.3230424581,408568a3281f44f0|40ecb40fdd35f16f|40f662552b2e918c
14,685.9966813032587,58841.53033490243,91515.65825812421,40856ff9340c103f|40ecbb30f880e6bc|40f657ba8839abbd
15,685.9966813032587,59069.561893953825,91306.72619966352,40856ff9340c103f|40ecd7b1fb090770|40f64aab9e8389d3
16,686.2055877014197,59440.36579902572,90136.20174850247,408571a50b2a3076|40ed060bb4a0288c|40f601833a5ca342
17,686.4784071352166,58923.04820664131,91124.37059266616,408573d3c71ebf6d|40ecc5618ae8a77c|40f63f45edf29355
18,686.914678075355,58447.86297744258,93665.90721924395,4085775142bd2025|40ec89fb9d82dea2|40f6de1e83f85371
19,687.8690532688074,58797.11740608794,91535.6148136864,40857ef3d2334014|40ecb5a3c1ca6982|40f658f9d646e044
20,688.0011197181323,58755.00600102597,91688.71759327728,408580024b0e0612|40ecb06031291049|40f6628b7b43169c
21,688.729592073044,58455.42120079111,93064.0655998813,408585d6345e6929|40ec8aed7a7a14dc|40f6b8810cb2760d
22,689.0847604180009,58519.891565751175,92097.55629378573,408588ad96deba79|40ec92fc87b4e5f1|40f67c18e694500b
23,689.1125034077631,58687.94831366603,91698.17819538324,408588e6682fc840|40eca7fe5895e6be|40f66322d9e366f5
24,689.5637455007044,58449.85892409866,93060.2942725508,40858c828d004657|40ec8a3b7c4e6430|40f6b844b557225d
25,689.5637455007044,58650.73474361458,91953.8570248264,40858c828d004657|40eca35783050a72|40f6731db65faa14
26,690.2320817429697,58456.519735832364,92836.71332140788,408591db4dac406e|40ec8b10a1ad0a52|40f6aa4b69c3b566
27,690.7202572995828,58437.17887100375,92458.47793308753,408595c31642534f|40ec88a5b94faeea|40f692a7a59d2a4a
