point_index,Cmax,TEC,TWC,objective_key
0,677.5547092179258,58931.67632311071,95889.28008069034,40852c700b62ee40|40ecc675a4705d41|40f769147b35e3d4
1,684.4574346727613,59014.754713835035,91347.80505588834,408563a8d3827c88|40ecd0d8269da0ea|40f64d3ce182487e
2,686.2055877014197,59440.36579902572,90136.20174850247,408571a50b2a3076|40ed060bb4a0288c|40f601833a5ca342
3,696.9581662350326,57245.38128922574,94585.96689973645,4085c7aa530f1cc6|40ebf3ac3385765c|40f7179f786bdba9
4,697.1710801310456,58231.492800438486,88909.12080150486,4085c95e5f427eb1|40ec6eefc5056cd8|40f5b4d1eecd8f0b
5,697.7026308048271,58111.31177073345,94344.96512097958,4085cd9efce63f28|40ec5fe9fa069e01|40f7088f7122b240
6,700.4979509436923,58157.6484184907,86677.45403524506,4085e3fbcdb4515e|40ec65b4bfd82276|40f5295743ba760c
7,702.0837503328997,57691.380656572364,88099.03807042845,4085f0ab854b66ab|40ec2b6c2e56b12a|40f582309befbcd2
8,703.8071169762009,57329.95007007742,90636.13607613846,4085fe74f9bec6a2|40ebfe3e66f95cee|40f620c22d5e2c47
9,706.8559743215941,57586.094097257286,89862.08048753189,408616d90910abb3|40ec1e4302d84056|40f5f06149ad4b53
10,710.0553420136339,56958.83341987798,95350.20139495007,4086307157275538|40ebcfdaab6029f8|40f7476338e9e942
11,710.1829869811727,57053.98946922019,94326.21483800173,40863176c1e0ddd8|40ebdbbfa9bb5aa4|40f707636ff9f8f6
12,712.9682832109135,56797.193326800276,89631.23915674839,408647bf0b44a11d|40ebbba62fbbaf94|40f5e1f3d39606cf
13,713.4987587198841,56708.06076837528,88643.91301099802,40864bfd753633fa|40ebb081f1d0850f|40f5a43e9bb16b96
14,714.3980494687629,55010.11375086158,89946.67822935927,4086532f348f5437|40eadc43a3d8d8cc|40f5f5aada070754
15,715.4118823906771,57261.22492576774,86907.67870366735,40865b4b88feae0d|40ebf5a73297860f|40f537badbf8606f
16,721.4795370395249,57431.63986392578,83660.48219380862,40868bd61783efd7|40ec0af479c3e964|40f46cc7b710dae6
17,722.884629855413,56616.246991363085,88740.23704273312,40869713b8d15083|40eba507e75a6e5b|40f5aa43caed5228
18,723.9660172482957,56418.715097007866,89390.49124691999,40869fba6740466a|40eb8c56e2131ec8|40f5d2e7dc25bafa
19,724.0757556743014,56636.10945543232,88558.57051923478,4086a09b25ca7ce3|40eba78380a8adc6|40f59ee920d8c6f2
20,727.024767350314,55542.54417072782,88397.30359902311,4086b832b9397cdc|40eb1ed169d8baee|40f594d4db8aa636
21,727.2710611129781,55920.43223728229,87386.59656503343,4086ba2b2216bbab|40eb4e0dd4e347f2|40f555a98b87c6c8
22,730.6369986749705,54945.0652858582,90527.47162122648,4086d51892c2e4c0|40ead42216d25e3c|40f619f78bc2b2fd
23,736.757869466001,54478.24825037471,91190.63067299277,408706101dddd8e4|40ea99c7f1aac513|40f6436a173c9067
24,741.2029443744663,54248.88671639952,89642.05901109433,4087299fa14cd9eb|40ea7d1c5ffb1218|40f5e2a0f1b59e04
25,742.7179422083848,55178.32382336576,88610.50578393051,408735be587c0b72|40eaf14a5cc2d1b4|40f5a22817b0e406
26,742.9665415507644,55178.32451700777,86680.02281184314,408737bb7a22f611|40eaf14a62717dec|40f529805d6ff384
27,747.6181697493572,53694.82020399315,94797.3826825325,40875cf202fb46ed|40ea37da3f1c71d4|40f724d61f77b81d
28,747.9975341003238,53247.18395203486,90328.99987556244,40875ffaf3288c49|40e9ffe5e2ef60b8|40f60d8fff7d848c
29,751.6186024844741,59407.681007848005,81880.86060895449,40877cf2e5dc0053|40ed01f5cad0f870|40f3fd8dc50de523
30,763.9632314902028,55126.30512337798,88115.93007967927,4087dfb4b2b62730|40eaeac9c3921a35|40f5833ee19b3ad2
