run_id,seed,arm,point_index,Cmax,TEC,TWC,objective_key
A0-seed-20260808,20260808,A0,0,697.1710801310456,58231.492800438486,88909.12080150486,4085c95e5f427eb1|40ec6eefc5056cd8|40f5b4d1eecd8f0b
A0-seed-20260808,20260808,A0,1,706.8559743215941,57586.094097257286,89862.08048753189,408616d90910abb3|40ec1e4302d84056|40f5f06149ad4b53
A0-seed-20260808,20260808,A0,2,715.4118823906771,57261.22492576774,86907.67870366735,40865b4b88feae0d|40ebf5a73297860f|40f537badbf8606f
A0-seed-20260808,20260808,A0,3,722.8566858006742,56530.139880587885,90639.63994743384,408696da7e15c6bf|40eb9a4479e6daca|40f620fa3d398538
A0-seed-20260808,20260808,A0,4,736.9902839210728,58150.39750186181,85167.07165170865,408707ec19f9f619|40ec64ccb855d312|40f4caf1257c4316
A0-seed-20260808,20260808,A0,5,741.0723671509495,55973.70983719034,94070.91076551247,40872894353a9510|40eb54b6b6fc7bc0|40f6f76e927edba6
A0-seed-20260808,20260808,A0,6,755.0242422388482,55006.414730375865,95046.12296501754,40879831a5ea3847|40eadbcd4578a320|40f73461f7aa2a8e
A0-seed-20260808,20260808,A0,7,756.5437693616337,55803.172994862834,88384.224785514,4087a459a3c04645|40eb3f65892c85c8|40f5940398b8b1f4
A0-seed-20260808,20260808,A0,8,761.6796537226796,54855.52889566753,91143.02797729743,4087cd6fee4a7c1c|40eac8f0ecb69b61|40f6407072985298
A0-seed-20260808,20260808,A0,9,773.4442313100163,54401.14954212416,95439.64006100774,40882b8dc9252309|40ea9024c90c9095|40f74cfa3db09c7b
A0-seed-20260808,20260808,A0,10,787.0885052255346,55269.514453459815,89423.92220234568,408898b5423a4992|40eafcb076671a27|40f5d4fec1573f30
A0-seed-20260808,20260808,A0,11,797.5105353036528,53930.703407747176,93092.68264207712,4088ec1593888523|40ea55568250f6bc|40f6ba4aec1a1942
A0-seed-20260808,20260808,A0,12,807.1447345094749,53536.57435324478,95655.43754293618,408939286a910661|40ea2412611a0e56|40f75a77002d0598
A0-seed-20260808,20260808,A0,13,813.7014635717472,56264.07465040135,88342.86820573572,40896d9c98eedfeb|40eb790263893d0e|40f5916de42bb292
A0-seed-20260808,20260808,A0,14,814.7956298204291,53260.927295093046,98673.02956850894,4089765d732ad3b9|40ea019dac66c24c|40f81710791cd42e
A0-seed-20260808,20260808,A0,15,818.6935753571105,52976.518531599104,101810.06967680348,4089958c713ca0cf|40e9de1097cf9483|40f8db211d656c84
A0-seed-20260808,20260808,A0,16,824.5499191127024,54917.56998071755,90959.8084339434,4089c4663bfde404|40ead0b23d4833a7|40f634fcef586e3e
A0-seed-20260808,20260808,A0,17,847.0176636578742,53629.279959886655,95100.15622372797,408a78242cd8072e|40ea2fa8f56e6fac|40f737c27fe473a8
A0-seed-20260808,20260808,A0,18,854.4617303528235,53210.6125941531,97537.1021700234,408ab3b19faee794|40e9fb539a5f0da9|40f7d011a27d08d2
A0-seed-20260808,20260808,A0,19,881.4231015938691,52521.03439702379,100564.7046536057,408b8b628316a46d|40e9a52119c7c988|40f88d4b4642dbf8
A0-seed-20260808,20260808,A0,20,922.2095815710211,51810.20089735513,107707.7515605118,408cd1ad391a4b0a|40e94c466dc04a44|40fa4bbc066450b2
A0-seed-20260808,20260808,A0,21,930.6618570686086,51577.70907778063,102612.71595800246,408d154b7bb80267|40e92f36b0c3e2c4|40f90d4b749060de
A0-seed-20260808,20260808,A0,22,975.2708929901886,52456.84662935198,99484.4114415778,408e7a2ac9f1ac9b|40e99d1b17967053|40f849c69543c38e
A0-seed-20260808,20260808,A0,23,988.9337870678476,51207.34687262048,114395.33304410649,408ee778655aaeaa|40e900eb19949c1b|40fbedb554260e98
A0-seed-20260808,20260808,A0,24,1017.6433391459296,51368.59680361098,111003.1537208029,408fcd258efe8009|40e915131903e2e9|40fb19b275a3f1d3
A0-seed-20260808,20260808,A0,25,1024.5474160550223,52367.24720853409,102235.43804587693,409002308dd59681|40e991e7e921df27|40f8f5b7023c64b9
A0-seed-20260808,20260808,A0,26,1059.9358159979543,50685.28444172868,107756.60848436537,40908fbe468c8926|40e8bfa91a258a4a|40fa4ec9bc5a1a16
A0-seed-20260808,20260808,A0,27,1135.9341109313095,50179.82720240911,129055.03676072054,4091bfbc8793733e|40e8807a78712fca|40ff81f0969268c8
A0-seed-20260808,20260808,A0,28,1168.6288837919533,49444.35952734234,120630.81288779422,40924283fa1cddb2|40e8248b813f7c2c|40fd736d0196a1b8
A0-seed-20260808,20260808,A0,29,1266.947605854746,49940.586170620874,119913.36632975757,4093cbca59306e87|40e86292c1e8e3d1|40fd4695dc7c9785
