run_id,seed,arm,variant,source_kind,raw_count,exact_unique_count,exact_duplicate_count,strict_nd_count,strict_dominated_unique_count,near_0.01pct_rate,near_0.05pct_rate,near_0.1pct_rate
A0-seed-20260808,20260808,A0,full,decision-front,305,305,0,305,0,0.0,0.0,0.0
A0-seed-20260808,20260808,A0,k25,deterministic-maximin,305,25,0,25,0,0.0,0.0,0.0
A0-seed-20260808,20260808,A0,k30,deterministic-maximin,305,30,0,30,0,0.0,0.0,0.0
A0-seed-20260808,20260808,A0,k50,deterministic-maximin,305,50,0,50,0,0.0,0.0,0.0
A0-seed-20260809,20260809,A0,full,decision-front,190,190,0,190,0,0.0,0.0,0.0
A0-seed-20260809,20260809,A0,k25,deterministic-maximin,190,25,0,25,0,0.0,0.0,0.0
A0-seed-20260809,20260809,A0,k30,deterministic-maximin,190,30,0,30,0,0.0,0.0,0.0
A0-seed-20260809,20260809,A0,k50,deterministic-maximin,190,50,0,50,0,0.0,0.0,0.0
A0-seed-20260810,20260810,A0,full,decision-front,183,183,0,183,0,0.0,0.0,0.0
A0-seed-20260810,20260810,A0,k25,deterministic-maximin,183,25,0,25,0,0.0,0.0,0.0
A0-seed-20260810,20260810,A0,k30,deterministic-maximin,183,30,0,30,0,0.0,0.0,0.0
A0-seed-20260810,20260810,A0,k50,deterministic-maximin,183,50,0,50,0,0.0,0.0,0.0
A0-seed-20260811,20260811,A0,full,decision-front,110,110,0,110,0,0.0,0.0,0.0
A0-seed-20260811,20260811,A0,k25,deterministic-maximin,110,25,0,25,0,0.0,0.0,0.0
A0-seed-20260811,20260811,A0,k30,deterministic-maximin,110,30,0,30,0,0.0,0.0,0.0
A0-seed-20260811,20260811,A0,k50,deterministic-maximin,110,50,0,50,0,0.0,0.0,0.0
A0-seed-20260812,20260812,A0,full,decision-front,147,147,0,147,0,0.0,0.0,0.0
A0-seed-20260812,20260812,A0,k25,deterministic-maximin,147,25,0,25,0,0.0,0.0,0.0
A0-seed-20260812,20260812,A0,k30,deterministic-maximin,147,30,0,30,0,0.0,0.0,0.0
A0-seed-20260812,20260812,A0,k50,deterministic-maximin,147,50,0,50,0,0.0,0.0,0.0
A0-seed-20260813,20260813,A0,full,decision-front,246,246,0,246,0,0.0,0.0,0.008130081300813009
A0-seed-20260813,20260813,A0,k25,deterministic-maximin,246,25,0,25,0,0.0,0.0,0.0
A0-seed-20260813,20260813,A0,k30,deterministic-maximin,246,30,0,30,0,0.0,0.0,0.0
A0-seed-20260813,20260813,A0,k50,deterministic-maximin,246,50,0,50,0,0.0,0.0,0.0
A0-seed-20260814,20260814,A0,full,decision-front,271,271,0,271,0,0.0,0.0,0.007380073800738007
A0-seed-20260814,20260814,A0,k25,deterministic-maximin,271,25,0,25,0,0.0,0.0,0.0
A0-seed-20260814,20260814,A0,k30,deterministic-maximin,271,30,0,30,0,0.0,0.0,0.0
A0-seed-20260814,20260814,A0,k50,deterministic-maximin,271,50,0,50,0,0.0,0.0,0.0
A0-seed-20260815,20260815,A0,full,decision-front,210,210,0,210,0,0.0,0.0,0.0
A0-seed-20260815,20260815,A0,k25,deterministic-maximin,210,25,0,25,0,0.0,0.0,0.0
A0-seed-20260815,20260815,A0,k30,deterministic-maximin,210,30,0,30,0,0.0,0.0,0.0
A0-seed-20260815,20260815,A0,k50,deterministic-maximin,210,50,0,50,0,0.0,0.0,0.0
A0-seed-20260816,20260816,A0,full,decision-front,193,193,0,193,0,0.0,0.0,0.010362694300518135
A0-seed-20260816,20260816,A0,k25,deterministic-maximin,193,25,0,25,0,0.0,0.0,0.0
A0-seed-20260816,20260816,A0,k30,deterministic-maximin,193,30,0,30,0,0.0,0.0,0.0
A0-seed-20260816,20260816,A0,k50,deterministic-maximin,193,50,0,50,0,0.0,0.0,0.0
A0-seed-20260817,20260817,A0,full,decision-front,178,178,0,178,0,0.0,0.0,0.0
A0-seed-20260817,20260817,A0,k25,deterministic-maximin,178,25,0,25,0,0.0,0.0,0.0
A0-seed-20260817,20260817,A0,k30,deterministic-maximin,178,30,0,30,0,0.0,0.0,0.0
