run_id,seed,arm,instance,source_member_prefix,status,full_evaluations,actual_fe,phase_bound_accepted,initial_population_hash,front_sha256,front_rows,verification_ok,complete_accepted_ok
A0-seed-20260808,20260808,A0,100_2_3_1,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260808/A0/,COMPLETED,500000,500000,true,3bcab90c031f79ff578e421680afe70b64589942b7c87949a2f72f0cf29e51cc,586629a78a9edeb55a4a4d7dc61f2131c1e0d12b534c4c552a0e1adad0ca1606,305,true,true
A1-seed-20260808,20260808,A1,100_2_3_1,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260808/A1/,COMPLETED,500000,500000,true,3bcab90c031f79ff578e421680afe70b64589942b7c87949a2f72f0cf29e51cc,feec80584194e6febcc4bd3e7081d706bab38958898f85b799acd876e9c42051,299,true,true
A2-seed-20260808,20260808,A2,100_2_3_1,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260808/A2/,COMPLETED,500000,500000,true,3bcab90c031f79ff578e421680afe70b64589942b7c87949a2f72f0cf29e51cc,c17078b2e37e5868ea46f145de4387e7e17437222affb2c419008248747e1b7e,202,true,true
A3-seed-20260808,20260808,A3,100_2_3_1,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260808/A3/,COMPLETED,500000,500000,true,3bcab90c031f79ff578e421680afe70b64589942b7c87949a2f72f0cf29e51cc,9100530ca209eebdf444ca74486711eba55212fc8b85c81348423efb60983207,323,true,true
A4-seed-20260808,20260808,A4,100_2_3_1,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260808/A4/,COMPLETED,500000,500000,true,3bcab90c031f79ff578e421680afe70b64589942b7c87949a2f72f0cf29e51cc,ef2fcec651f65410db4e44220c99963779824a9ef31bf8d1d105b624672df45a,550,true,true
A0-seed-20260809,20260809,A0,100_2_3_1,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260809/A0/,COMPLETED,500000,500000,true,4c88293a8b0c1e499c2f3667af72d04b250dbb13fa6111f4776566340ec70c49,b0473e39cc4acb0531a0afd838c7701b7901a1fff11f67e9c7e458bccefe5da6,190,true,true
A1-seed-20260809,20260809,A1,100_2_3_1,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260809/A1/,COMPLETED,500000,500000,true,4c88293a8b0c1e499c2f3667af72d04b250dbb13fa6111f4776566340ec70c49,d7d10a7145029fb5446362f4f8fa2e8e12cdc7c6d3a39ef89f88d430e94af2a3,446,true,true
A2-seed-20260809,20260809,A2,100_2_3_1,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260809/A2/,COMPLETED,500000,500000,true,4c88293a8b0c1e499c2f3667af72d04b250dbb13fa6111f4776566340ec70c49,ea045d3a4be87469bf1de5863af8fe609fbbe434557df6df85556a76038f1bfc,160,true,true
A3-seed-20260809,20260809,A3,100_2_3_1,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260809/A3/,COMPLETED,495301,495301,true,4c88293a8b0c1e499c2f3667af72d04b250dbb13fa6111f4776566340ec70c49,a016fa6cd7021d8e72e647370f022e75fce509ab83a643b4869750b4bfe1889f,201,true,true
A4-seed-20260809,20260809,A4,100_2_3_1,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260809/A4/,COMPLETED,500000,500000,true,4c88293a8b0c1e499c2f3667af72d04b250dbb13fa6111f4776566340ec70c49,fc9917102cbe8b085ad838a53d7eb90e0c766ca08354fd17fc7dbe64c3e5a56f,267,true,true
