point_index,Cmax,TEC,TWC,objective_key
0,677.5547092179258,58931.67632311071,95889.28008069034,40852c700b62ee40|40ecc675a4705d41|40f769147b35e3d4
1,679.6393526876298,59583.33114741587,93407.21091478715,40853d1d64f11fd6|40ed17ea98c2772a|40f6cdf35fe82f11
2,684.4574346727613,59014.754713835035,91347.80505588834,408563a8d3827c88|40ecd0d8269da0ea|40f64d3ce182487e
3,684.6691910889499,58573.062910618646,92355.04081945248,4085655a80db8e84|40ec99a2035d2135|40f68c30a7324c57
4,686.2055877014197,59440.36579902572,90136.20174850247,408571a50b2a3076|40ed060bb4a0288c|40f601833a5ca342
5,694.17002254099,58196.733317882616,92199.68019466316,4085b15c34c72914|40ec6a977757106d|40f6827ae213cc93
6,696.9581662350326,57245.38128922574,94585.96689973645,4085c7aa530f1cc6|40ebf3ac3385765c|40f7179f786bdba9
7,697.1710801310456,58231.492800438486,88909.12080150486,4085c95e5f427eb1|40ec6eefc5056cd8|40f5b4d1eecd8f0b
8,697.7026308048271,58111.31177073345,94344.96512097958,4085cd9efce63f28|40ec5fe9fa069e01|40f7088f7122b240
9,698.7400091930748,58133.31961658293,91006.12208136721,4085d5eb89f097f7|40ec62aa3a4c8e5e|40f637e1f40b977a
10,699.4217122912881,58453.71708688002,87768.85267266585,4085db5faab19b3b|40ec8ab6f2602f42|40f56d8da48c17e0
11,700.4979509436923,58157.6484184907,86677.45403524506,4085e3fbcdb4515e|40ec65b4bfd82276|40f5295743ba760c
12,701.0355278799165,57618.89487999957,91496.65122382384,4085e848c2d752b3|40ec225ca2db6180|40f6568a6b69ac1c
13,702.0837503328997,57691.380656572364,88099.03807042845,4085f0ab854b66ab|40ec2b6c2e56b12a|40f582309befbcd2
14,703.8071169762009,57329.95007007742,90636.13607613846,4085fe74f9bec6a2|40ebfe3e66f95cee|40f620c22d5e2c47
15,706.225463927833,57034.03781121457,93759.50307034068,408611cdc00823c3|40ebd94135bfdd40|40f6e3f80c937c4d
16,706.8559743215941,57586.094097257286,89862.08048753189,408616d90910abb3|40ec1e4302d84056|40f5f06149ad4b53
17,709.2155366157007,57066.234097351364,90731.78754837015,408629b96b42dc33|40ebdd477db9ba86|40f626bc99cc51dd
18,709.3840797083275,56500.806445895505,92725.23914082971,40862b129861d297|40eb9699ce679f66|40f6a353d38555ac
19,712.7580789105832,57878.4875805788,87437.10139397549,408646108bad05f0|40ec42cf9a429604|40f558d19f4f4a0c
20,712.9682832109135,56797.193326800276,89631.23915674839,408647bf0b44a11d|40ebbba62fbbaf94|40f5e1f3d39606cf
21,712.9870887402816,57825.89071733842,87163.76609638597,408647e58ec80e13|40ec3c3c80c1a5d0|40f547bc41ee48b5
22,713.4987587198841,56708.06076837528,88643.91301099802,40864bfd753633fa|40ebb081f1d0850f|40f5a43e9bb16b96
23,713.751656651057,56111.23267121112,91707.01161815284,40864e03648ff0e3|40eb65e7720ae54f|40f663b02f968428
24,714.3980494687629,55010.11375086158,89946.67822935927,4086532f348f5437|40eadc43a3d8d8cc|40f5f5aada070754
25,714.9334991928283,56197.59685720609,88696.08686059399,40865777ce6cc052|40eb70b319744891|40f5a78163c7ef28
26,715.0181008083804,56970.337872271295,88362.62408392694,4086582512096033|40ebd14acfd9826e|40f592a9fc3f6d83
