variant,arm,runs,hv_median,igd_median,approx_count_median,pfref_count,pfref_sha256
full,A0,12,0.4951777564882723,0.2694061555239613,201.5,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
full,A1,12,0.48513358729431516,0.2580111190835354,238.5,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
full,A2,12,0.6222902178982703,0.199051642548863,195.0,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
full,A3,12,0.5035190116526729,0.28303409349866354,206.0,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
full,A4,12,0.6250255853579466,0.18790607342818394,445.5,1979,3711e6dc7109f04fb2178cc0d49096d46ea3bf760fb58b47ea13a2368f2023fd
k25,A0,12,0.47195705988676473,0.28756811224178275,25.0,119,e0048fbd03552b3574a432f0071b7ea1b721d03b264774f724b0a200bc26c501
k25,A1,12,0.4689296438337184,0.28264840228632504,25.0,119,e0048fbd03552b3574a432f0071b7ea1b721d03b264774f724b0a200bc26c501
k25,A2,12,0.6074162834170483,0.19949898482189765,25.0,119,e0048fbd03552b3574a432f0071b7ea1b721d03b264774f724b0a200bc26c501
k25,A3,12,0.48339691420275066,0.2471916100681622,25.0,119,e0048fbd03552b3574a432f0071b7ea1b721d03b264774f724b0a200bc26c501
k25,A4,12,0.6122234186792852,0.19174481751788863,25.0,119,e0048fbd03552b3574a432f0071b7ea1b721d03b264774f724b0a200bc26c501
k50,A0,12,0.488470437916633,0.2820791167703866,50.0,205,96869d62ced6669c6d264f6b331e44dc3d69f0c4116e3fc946c58abd670256e7
k50,A1,12,0.47908190612788165,0.2762581247426674,50.0,205,96869d62ced6669c6d264f6b331e44dc3d69f0c4116e3fc946c58abd670256e7
k50,A2,12,0.6156221647591156,0.188412635159934,50.0,205,96869d62ced6669c6d264f6b331e44dc3d69f0c4116e3fc946c58abd670256e7
k50,A3,12,0.4920731506072298,0.2553349098471854,50.0,205,96869d62ced6669c6d264f6b331e44dc3d69f0c4116e3fc946c58abd670256e7
k50,A4,12,0.618342227427335,0.18226312554390092,50.0,205,96869d62ced6669c6d264f6b331e44dc3d69f0c4116e3fc946c58abd670256e7
