seed,arm,actualFE,utilization,hv,igd,spacing,cFwd,cRev,n,rawN,minCmax,minTEC,minTWC
20260808,A2,500000,1.0,0.7813633003515554,0.10603998057885969,0.019173458142287277,0.021728145528044467,1.0,202,202,727.4173204483659,47062.92849313914,87916.96100502672
20260808,A3,500000,1.0,0.6056051526512681,0.2799609824514417,0.020351459321005922,0.00808489135927236,1.0,323,323,738.6190646035155,45335.65212182398,94354.24613500392
20260809,A2,500000,1.0,0.5284660828352501,0.25596894103557005,0.027583250280852786,0.0,1.0,160,160,740.3806222845868,48547.285705169605,91356.32074919278
20260809,A3,495301,0.990602,0.5804714278025951,0.21467664171054915,0.020067878192516198,0.00202122283981809,1.0,201,201,715.3835078945181,45767.43957017598,89488.52300134802
20260810,A2,500000,1.0,0.6750103408091448,0.16344484708484838,0.024678147567872746,0.004547751389590703,1.0,239,239,741.4647580532434,46986.09544369837,82406.19976534467
20260810,A3,495590,0.99118,0.4927348484721741,0.2632140424557042,0.04036977791022959,0.0,1.0,186,186,707.5337673131486,46120.629679465295,90560.43254278488
20260811,A2,500000,1.0,0.33268132126454963,0.4104431833038774,0.04165674912286915,0.0,1.0,74,74,759.8176699082105,47275.05177409495,93175.92808292
20260811,A3,500000,1.0,0.44549592449099484,0.30392348576247874,0.021409995067821423,0.0,1.0,209,209,705.9622045954211,47424.338565256316,91323.90729007524
20260812,A2,500000,1.0,0.7172173614369387,0.20028954138896543,0.030857760022296035,0.024759979787771603,1.0,188,188,719.263567293186,45378.88859756074,88732.51550982695
20260812,A3,500000,1.0,0.5143031748331718,0.28610720454588484,0.02934626244747548,0.009095502779181405,1.0,169,169,735.500767370874,45762.29986752793,91065.06894951288
20260813,A2,500000,1.0,0.6366008698463984,0.18632873346794784,0.02450773961262409,0.0,1.0,181,181,710.0553420136339,47902.004685137996,90312.41743226186
20260813,A3,500000,1.0,0.35153747465439905,0.417385975444039,0.026485968660339997,0.0,1.0,130,130,701.6394267110999,46196.06557539211,98986.8654518188
20260814,A2,500000,1.0,0.654639174693245,0.17597818546303193,0.021543222335219814,0.0,1.0,294,294,731.0036036201972,46632.43923954155,89799.03618329082
20260814,A3,500000,1.0,0.3423958259715567,0.39114244914657614,0.020911896442815235,0.0,1.0,203,203,704.8234251199555,47803.43075953429,95083.67178012246
20260815,A2,500000,1.0,0.6079795659501424,0.32579588478064275,0.02073212948488861,0.053562405255179385,1.0,307,307,799.5774336400898,45661.772217085156,95268.50606783162
20260815,A3,499452,0.998904,0.630003551392917,0.2669775929305228,0.03163198869344906,0.0,1.0,200,200,741.5741034877011,45749.5481436736,89272.62428676091
20260816,A2,500000,1.0,0.5155088497440202,0.29828513929339856,0.045072895118704055,0.0,1.0,99,99,731.5531764479052,46064.13929166342,90741.02790406717
20260816,A3,500000,1.0,0.46404655625306424,0.3192334121748568,0.02871304114424633,0.0,1.0,267,267,721.9000920441757,46290.83783467944,89223.05600104385
20260817,A2,499607,0.999214,0.6079672202977793,0.19394335184441927,0.018077116727665387,0.0,1.0,212,212,724.0911441359204,46500.76158207888,89123.74083170426
20260817,A3,500000,1.0,0.6190662283613175,0.19399688023688944,0.023872553793884907,0.0,1.0,240,240,730.7354336468177,46737.80842896848,87878.04315421672
20260818,A2,500000,1.0,0.4586088173463166,0.2888630649983195,0.023128489766596223,0.0,1.0,175,175,720.1106092896875,47649.22812629412,93260.36765872424
20260818,A3,500000,1.0,0.5932405062092196,0.208108932832718,0.014957077400053854,0.0,1.0,229,229,759.9916478868522,48068.73993319346,90622.0403744508
20260819,A2,500000,1.0,0.7562268296800287,0.1978137437087599,0.03170318129089085,0.1414855987872663,1.0,302,302,772.1814641123733,46429.4852143913,91166.39676318235
20260819,A3,500000,1.0,0.4819398562004807,0.33296092220087786,0.01684326708541982,0.0,1.0,214,214,805.9630885453847,48678.589873556455,96846.15530732505
