seed,arm,run_path,large_events_present,large_events_zip_bytes,large_events_members,qp_raw_events_present,q_table_raw_present,personal_archive_log_present,cmax_records,cmax_generated_rows,cmax_entered_rows,cmax_pddr_retained_rows,cmax_personal_archive_rows,cmax_global_archive_rows,cmax_next_round_survival_rows,passive_archive_rows,dscr_event_rows,dscr_teacher_use_rows,cmax_best_generated,cmax_best_global
20260808,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260808/A2,True,861494,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,92,92,92,7,0,43,0,452,6392,3200,723.887736319388,727.417320448366
20260808,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260808/A3,True,959483,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,66,66,66,4,4,28,0,928,6792,3400,738.619064603516,738.619064603516
20260809,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260809/A2,True,927627,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,73,73,73,4,0,34,0,458,6392,3200,736.959996627226,740.380622284587
20260809,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260809/A3,True,769738,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,77,77,77,13,14,33,0,650,6392,3200,709.95077925655,715.383507894518
20260810,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260810/A2,True,982492,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,63,63,63,3,0,25,0,741,6792,3400,724.201465079376,741.464758053243
20260810,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260810/A3,True,750581,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,74,74,74,11,11,32,0,516,6392,3200,707.533767313149,707.533767313149
20260811,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260811/A2,True,845593,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,42,42,42,3,0,27,0,576,6392,3200,759.817669908211,759.817669908211
20260811,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260811/A3,True,818566,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,100,100,100,18,19,43,0,625,6792,3400,705.962204595421,705.962204595421
20260812,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260812/A2,True,989032,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,59,59,59,5,0,24,0,674,6792,3400,719.263567293186,719.263567293186
20260812,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260812/A3,True,899498,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,58,58,58,6,6,20,0,372,6792,3400,735.500767370874,735.500767370874
20260813,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260813/A2,True,919017,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,65,65,65,6,0,31,0,548,6392,3200,710.055342013634,710.055342013634
20260813,A3,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260813/A3,True,734878,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,79,79,79,6,7,37,0,491,6392,3200,701.6394267111,701.6394267111
20260814,A2,zhangbo-v35-stage2-master-v2-20260823/results/formal-a0-a4-4500/100_2_3_1/seed-20260814/A2,True,891678,bottleneck-pressure-events.csv;ca-ta-lite-events.log;cmax-audit-curves.csv;cmax-audit-records.csv;cmax-audit-summary.txt;dscr-events.csv;dscr-teacher-uses.csv;passive-archive.csv;prearchive-evidence-sha256.tsv;shadow-probes.csv,False,False,False,99,99,99,9,0,25,0,688,6392,3200,731.003603620197,731.003603620197
