seed,A2_actualFE,A3_actualFE,A2_terminationKind,A3_terminationKind,A2_phaseBoundFailure,A3_phaseBoundFailure,A2_utilizationRate,A3_utilizationRate,delta_actualFE_A3_minus_A2,both_phase_bound_clean
20260808,500000,500000,EXACT_MAX_FE,EXACT_MAX_FE,NONE,NONE,1.0,1.0,0,True
20260809,500000,495301,EXACT_MAX_FE,PHASE_CONSISTENT_TAIL_STOP,NONE,NONE,1.0,0.990602,-4699,True
20260810,500000,495590,EXACT_MAX_FE,PHASE_CONSISTENT_TAIL_STOP,NONE,NONE,1.0,0.99118,-4410,True
20260811,500000,500000,EXACT_MAX_FE,EXACT_MAX_FE,NONE,NONE,1.0,1.0,0,True
20260812,500000,500000,EXACT_MAX_FE,EXACT_MAX_FE,NONE,NONE,1.0,1.0,0,True
20260813,500000,500000,EXACT_MAX_FE,EXACT_MAX_FE,NONE,NONE,1.0,1.0,0,True
20260814,500000,500000,EXACT_MAX_FE,EXACT_MAX_FE,NONE,NONE,1.0,1.0,0,True
20260815,500000,499452,EXACT_MAX_FE,PHASE_CONSISTENT_TAIL_STOP,NONE,NONE,1.0,0.998904,-548,True
20260816,500000,500000,EXACT_MAX_FE,EXACT_MAX_FE,NONE,NONE,1.0,1.0,0,True
20260817,499607,500000,PHASE_CONSISTENT_TAIL_STOP,EXACT_MAX_FE,NONE,NONE,0.999214,1.0,393,True
20260818,500000,500000,EXACT_MAX_FE,EXACT_MAX_FE,NONE,NONE,1.0,1.0,0,True
20260819,500000,500000,EXACT_MAX_FE,EXACT_MAX_FE,NONE,NONE,1.0,1.0,0,True
