algorithm,fullEvaluations,successfulDecoderCalls,algorithmRunNanos,experimentWallNanos,baseDecodeNanos,leftShiftNanos,rightShiftNanos,decoderTotalNanos,decoderFrameworkOverheadNanos,searchControlNanos,algorithmExcludingShiftNanos,leftFullRecomputations,rightFullRecomputations,leftAccepted,rightAccepted,baseDecodePercent,leftShiftPercent,rightShiftPercent,decoderTotalPercent,searchControlPercent,avgLeftRecomputationsPerFE,avgRightRecomputationsPerFE,avgLeftMicrosPerRecomputation,avgRightMicrosPerRecomputation
ZHANGBO-FULL,500000,500000,12659633934239,12659673904453,17323031157,4158675605105,6178006513430,12508167814041,2154162664349,151466120198,2322951815704,1279464,63884116,1172670,2767027,0.136836746204,32.8498882883,48.8008306206,98.8035505530,1.19644944700,2.55892800000,127.768232000,3250.32639066,96.7064569451
HMOPSO-QGS-F,500000,500000,12426933495461,12426960935093,17440544699,3728861090422,6964631022024,12403925031223,1692992374078,23008464238,1733441383015,1966989,65469009,1938724,3006727,0.140344717427,30.0062850725,56.0446470931,99.8148500252,0.185149974822,3.93397800000,130.938018000,1895.72035757,106.380578054
