algorithm,frontSize,HV,IGD,Spacing,C_against_other,other_C_against_self,minCmax,minTEC,minTWC,maxCmax,maxTEC,maxTWC
ZHANGBO-FULL,318,1.05779212131,0.0207950941185,0.0309040578943,0.415492957746,0.0786163522013,203.733860495,8339.98221710,12199.8401113,427.582010773,10981.8738559,16493.3356361
HMOPSO-QGS-F,142,1.00615151105,0.0515614203698,0.0301020882882,0.0786163522013,0.415492957746,186.095968690,8553.07307024,12239.7991164,328.696485340,10661.2226572,15991.6548224
