sample,generation,mainFE,parentSlot,factory,role,diagnosis,maximumType,maximumPressure,secondType,secondPressure,pressureGap,pSeq,pMac,pWor,pSet,pFat,action,allowed,cmax,tec,twc,qGain,accepted,bestOverall,bestAllowed,regret
1,1,5100,0,1,G1_CMAX,MAC,MAC,0.737400318276159,SEQ,0.582379833041662,0.15502048523449707,0.582379833041662,0.737400318276159,0.5195381841936629,0.18788455721487848,0.17104161833213544,N1,false,277.3792775121964,10816.061179232896,23021.0082503727,0.0,false,false,false,0.27709558369776716
1,1,5100,0,1,G1_CMAX,MAC,MAC,0.737400318276159,SEQ,0.582379833041662,0.15502048523449707,0.582379833041662,0.737400318276159,0.5195381841936629,0.18788455721487848,0.17104161833213544,N2,true,303.33453307299715,11145.245784986235,22341.779459390833,-0.4061599381575136,false,false,false,0.27709558369776716
1,1,5100,0,1,G1_CMAX,MAC,MAC,0.737400318276159,SEQ,0.582379833041662,0.15502048523449707,0.582379833041662,0.737400318276159,0.5195381841936629,0.18788455721487848,0.17104161833213544,N3,false,280.47597416411736,10810.731244924262,23535.2066919706,-0.04845855274630179,false,false,false,0.27709558369776716
1,1,5100,0,1,G1_CMAX,MAC,MAC,0.737400318276159,SEQ,0.582379833041662,0.15502048523449707,0.582379833041662,0.737400318276159,0.5195381841936629,0.18788455721487848,0.17104161833213544,N4,true,280.92814250665606,10949.225678781791,23828.271359315702,-0.05553429375035751,false,false,false,0.27709558369776716
1,1,5100,0,1,G1_CMAX,MAC,MAC,0.737400318276159,SEQ,0.582379833041662,0.15502048523449707,0.582379833041662,0.737400318276159,0.5195381841936629,0.18788455721487848,0.17104161833213544,N5,false,259.67175391380636,11097.7060530315,22555.219967734378,0.27709558369776716,true,true,false,0.27709558369776716
2,1,5136,20,1,G4_BALANCED,MAC,MAC,0.7787942265743498,SEQ,0.7013361948730121,0.07745803170133769,0.7013361948730121,0.7787942265743498,0.5098641210617039,0.17839432745136724,0.16377420416449623,N1,false,213.70649484296635,10262.041245702378,16843.574792355055,-1.4587981814190711E-15,false,false,false,0.004091590254338019
2,1,5136,20,1,G4_BALANCED,MAC,MAC,0.7787942265743498,SEQ,0.7013361948730121,0.07745803170133769,0.7013361948730121,0.7787942265743498,0.5098641210617039,0.17839432745136724,0.16377420416449623,N2,true,271.4658672059961,10685.88563013435,18012.879171317276,-0.33990301299053177,false,false,false,0.004091590254338019
2,1,5136,20,1,G4_BALANCED,MAC,MAC,0.7787942265743498,SEQ,0.7013361948730121,0.07745803170133769,0.7013361948730121,0.7787942265743498,0.5098641210617039,0.17839432745136724,0.16377420416449623,N3,false,256.0434697737902,10256.939209278986,17710.898583110014,0.004091590254338019,true,true,false,0.004091590254338019
2,1,5136,20,1,G4_BALANCED,MAC,MAC,0.7787942265743498,SEQ,0.7013361948730121,0.07745803170133769,0.7013361948730121,0.7787942265743498,0.5098641210617039,0.17839432745136724,0.16377420416449623,N4,true,257.5384116898051,10462.627707052641,18609.679691106652,-0.1772516484774265,false,false,false,0.004091590254338019
2,1,5136,20,1,G4_BALANCED,MAC,MAC,0.7787942265743498,SEQ,0.7013361948730121,0.07745803170133769,0.7013361948730121,0.7787942265743498,0.5098641210617039,0.17839432745136724,0.16377420416449623,N5,false,225.48997531433366,10617.069975734194,17853.200717159154,-0.28471613513941735,false,false,false,0.004091590254338019
3,1,5174,40,2,G4_BALANCED,WOR,WOR,0.7791300398770058,SEQ,0.7161025928018704,0.06302744707513541,0.7161025928018704,0.5522988131703966,0.7791300398770058,0.15494064274311664,0.37840115779319383,N1,false,270.447217533866,10655.524070520196,22639.553278517924,-0.03596107343650101,false,false,false,0.0
