instance,seed,sourceRollup,evalCount,evalShare,poolEntered,selectedByPddr,observedFrontCount,decisionFrontCount,marginalHvSum,hvShare,valueEfficiency
50_2_3_1,20260919,CATA,3109,0.032377,506,110,3,1,0.00135569,0.001225,0.037834
50_2_3_1,20260919,CFVF(GLOBAL_Q),60000,0.624837,0,0,266,288,0.6646169,0.600522,0.961086
50_2_3_1,20260919,GLOBAL_OFFSPRING,0,0.0,1200,281,0,0,0,0.0,INF_OR_NA
50_2_3_1,20260919,INHERITED_LS,32816,0.341744,0,0,97,9,0.43498511,0.393036,1.150087
50_2_3_1,20260919,O1_O9,0,0.0,195,62,0,0,0,0.0,INF_OR_NA
50_2_3_1,20260919,PARENT,100,0.001041,1200,747,0,0,0,0.0,0.0
50_2_3_1,20260920,CATA,2882,0.030013,516,112,1,0,0.00042327,0.000464,0.015453
50_2_3_1,20260920,CFVF(GLOBAL_Q),60000,0.624837,0,0,376,438,0.22523966,0.246797,0.394978
50_2_3_1,20260920,GLOBAL_OFFSPRING,0,0.0,1200,343,0,0,0,0.0,INF_OR_NA
50_2_3_1,20260920,INHERITED_LS,33043,0.344108,0,0,46,10,0.68243318,0.747747,2.172998
50_2_3_1,20260920,O1_O9,0,0.0,195,36,0,0,0,0.0,INF_OR_NA
50_2_3_1,20260920,PARENT,100,0.001041,1200,709,0,0,0,0.0,0.0
50_2_3_1,20260921,CATA,3015,0.031398,700,214,2,3,0.02503282,0.024455,0.778865
50_2_3_1,20260921,CFVF(GLOBAL_Q),60000,0.624837,0,0,301,360,0.75491621,0.737486,1.180285
50_2_3_1,20260921,CRITICAL_INSERT,0,0.0,2,0,0,0,0,0.0,INF_OR_NA
50_2_3_1,20260921,GLOBAL_OFFSPRING,0,0.0,1200,288,0,0,0,0.0,INF_OR_NA
50_2_3_1,20260921,INHERITED_LS,32910,0.342723,0,0,65,10,0.23956581,0.234035,0.682868
50_2_3_1,20260921,O1_O9,0,0.0,159,36,0,0,0,0.0,INF_OR_NA
50_2_3_1,20260921,PARENT,100,0.001041,1200,662,0,0,0,0.0,0.0
100_5_3_1,20260919,CATA,3280,0.034158,464,127,0,0,0,0.0,0.0
100_5_3_1,20260919,CFVF(GLOBAL_Q),60000,0.624837,0,0,266,271,0.70033682,0.784209,1.255062
100_5_3_1,20260919,CRITICAL_INSERT,0,0.0,1,0,0,0,0,0.0,INF_OR_NA
100_5_3_1,20260919,GLOBAL_OFFSPRING,0,0.0,1200,370,0,0,0,0.0,INF_OR_NA
100_5_3_1,20260919,INHERITED_LS,32645,0.339964,0,0,41,5,0.17890506,0.200331,0.589271
100_5_3_1,20260919,O1_O9,0,0.0,124,31,0,0,0,0.0,INF_OR_NA
100_5_3_1,20260919,PARENT,100,0.001041,1200,672,0,0,0,0.0,0.0
100_5_3_1,20260920,CATA,2982,0.031054,584,107,1,0,0.00112917,0.001418,0.045669
100_5_3_1,20260920,CFVF(GLOBAL_Q),60000,0.624837,0,0,228,247,0.55138447,0.692539,1.10835
100_5_3_1,20260920,CRITICAL_INSERT,0,0.0,1,0,0,0,0,0.0,INF_OR_NA
100_5_3_1,20260920,GLOBAL_OFFSPRING,0,0.0,1200,305,0,0,0,0.0,INF_OR_NA
100_5_3_1,20260920,INHERITED_LS,32943,0.343067,0,0,62,8,0.23575245,0.296105,0.863111
100_5_3_1,20260920,O1_O9,0,0.0,127,44,0,0,0,0.0,INF_OR_NA
100_5_3_1,20260920,PARENT,100,0.001041,1200,744,0,0,0,0.0,0.0
100_5_3_1,20260921,CATA,3044,0.0317,468,143,3,1,0.02217279,0.027266,0.860129
100_5_3_1,20260921,CFVF(GLOBAL_Q),60000,0.624837,0,0,190,205,0.5364915,0.65973,1.055843
100_5_3_1,20260921,GLOBAL_OFFSPRING,0,0.0,1200,382,0,0,0,0.0,INF_OR_NA
100_5_3_1,20260921,INHERITED_LS,32881,0.342421,0,0,45,13,0.24182341,0.297373,0.868443
100_5_3_1,20260921,O1_O9,0,0.0,128,55,0,0,0,0.0,INF_OR_NA
100_5_3_1,20260921,PARENT,100,0.001041,1200,620,0,0,0,0.0,0.0
