instance,seed,mixture,frontSize
100_2_3_1,20260822,10/40/20/30,392
100_2_3_1,20260823,10/40/20/30,348
100_2_3_1,20260824,10/40/20/30,497
20_2_3_1,20260822,10/40/20/30,603
20_2_3_1,20260823,10/40/20/30,531
20_2_3_1,20260824,10/40/20/30,638
50_2_3_1,20260822,10/40/20/30,564
50_2_3_1,20260823,10/40/20/30,720
50_2_3_1,20260824,10/40/20/30,723
100_2_3_1,20260822,10/40/30/20,646
100_2_3_1,20260823,10/40/30/20,306
100_2_3_1,20260824,10/40/30/20,699
20_2_3_1,20260822,10/40/30/20,880
20_2_3_1,20260823,10/40/30/20,551
20_2_3_1,20260824,10/40/30/20,601
50_2_3_1,20260822,10/40/30/20,715
50_2_3_1,20260823,10/40/30/20,553
50_2_3_1,20260824,10/40/30/20,555
100_2_3_1,20260822,20/60/10/10,821
100_2_3_1,20260823,20/60/10/10,317
100_2_3_1,20260824,20/60/10/10,287
20_2_3_1,20260822,20/60/10/10,645
20_2_3_1,20260823,20/60/10/10,629
20_2_3_1,20260824,20/60/10/10,528
50_2_3_1,20260822,20/60/10/10,486
50_2_3_1,20260823,20/60/10/10,403
50_2_3_1,20260824,20/60/10/10,761
100_2_3_1,20260822,25/25/25/25,662
100_2_3_1,20260823,25/25/25/25,449
100_2_3_1,20260824,25/25/25/25,556
20_2_3_1,20260822,25/25/25/25,507
20_2_3_1,20260823,25/25/25/25,668
20_2_3_1,20260824,25/25/25/25,709
50_2_3_1,20260822,25/25/25/25,543
50_2_3_1,20260823,25/25/25/25,576
50_2_3_1,20260824,25/25/25/25,545
100_2_3_1,20260822,30/30/10/30,619
100_2_3_1,20260823,30/30/10/30,341
100_2_3_1,20260824,30/30/10/30,445
20_2_3_1,20260822,30/30/10/30,514
20_2_3_1,20260823,30/30/10/30,519
20_2_3_1,20260824,30/30/10/30,515
50_2_3_1,20260822,30/30/10/30,574
50_2_3_1,20260823,30/30/10/30,411
50_2_3_1,20260824,30/30/10/30,700
100_2_3_1,20260822,30/30/30/10,260
100_2_3_1,20260823,30/30/30/10,394
100_2_3_1,20260824,30/30/30/10,585
20_2_3_1,20260822,30/30/30/10,549
20_2_3_1,20260823,30/30/30/10,750
20_2_3_1,20260824,30/30/30/10,620
50_2_3_1,20260822,30/30/30/10,378
50_2_3_1,20260823,30/30/30/10,458
50_2_3_1,20260824,30/30/30/10,596
100_2_3_1,20260822,30/50/10/10,238
100_2_3_1,20260823,30/50/10/10,602
100_2_3_1,20260824,30/50/10/10,355
20_2_3_1,20260822,30/50/10/10,543
20_2_3_1,20260823,30/50/10/10,623
20_2_3_1,20260824,30/50/10/10,577
50_2_3_1,20260822,30/50/10/10,586
50_2_3_1,20260823,30/50/10/10,448
50_2_3_1,20260824,30/50/10/10,542
100_2_3_1,20260822,10/50/10/30,701
100_2_3_1,20260823,10/50/10/30,390
100_2_3_1,20260824,10/50/10/30,320
20_2_3_1,20260822,10/50/10/30,432
20_2_3_1,20260823,10/50/10/30,427
20_2_3_1,20260824,10/50/10/30,586
50_2_3_1,20260822,10/50/10/30,529
50_2_3_1,20260823,10/50/10/30,472
50_2_3_1,20260824,10/50/10/30,724
100_2_3_1,20260822,10/50/30/10,473
100_2_3_1,20260823,10/50/30/10,422
100_2_3_1,20260824,10/50/30/10,574
20_2_3_1,20260822,10/50/30/10,633
20_2_3_1,20260823,10/50/30/10,557
20_2_3_1,20260824,10/50/30/10,490
50_2_3_1,20260822,10/50/30/10,722
50_2_3_1,20260823,10/50/30/10,526
50_2_3_1,20260824,10/50/30/10,563
100_2_3_1,20260822,10/60/10/20,407
100_2_3_1,20260823,10/60/10/20,266
100_2_3_1,20260824,10/60/10/20,370
20_2_3_1,20260822,10/60/10/20,915
20_2_3_1,20260823,10/60/10/20,603
20_2_3_1,20260824,10/60/10/20,502
50_2_3_1,20260822,10/60/10/20,436
50_2_3_1,20260823,10/60/10/20,596
50_2_3_1,20260824,10/60/10/20,584
100_2_3_1,20260822,10/60/20/10,337
100_2_3_1,20260823,10/60/20/10,503
100_2_3_1,20260824,10/60/20/10,609
20_2_3_1,20260822,10/60/20/10,486
20_2_3_1,20260823,10/60/20/10,441
20_2_3_1,20260824,10/60/20/10,446
50_2_3_1,20260822,10/60/20/10,527
50_2_3_1,20260823,10/60/20/10,546
50_2_3_1,20260824,10/60/20/10,569
100_2_3_1,20260822,15/25/30/30,624
100_2_3_1,20260823,15/25/30/30,523
100_2_3_1,20260824,15/25/30/30,273
20_2_3_1,20260822,15/25/30/30,483
20_2_3_1,20260823,15/25/30/30,670
20_2_3_1,20260824,15/25/30/30,512
50_2_3_1,20260822,15/25/30/30,577
50_2_3_1,20260823,15/25/30/30,725
50_2_3_1,20260824,15/25/30/30,487
100_2_3_1,20260822,15/55/15/15,1355
100_2_3_1,20260823,15/55/15/15,318
100_2_3_1,20260824,15/55/15/15,485
20_2_3_1,20260822,15/55/15/15,555
20_2_3_1,20260823,15/55/15/15,641
20_2_3_1,20260824,15/55/15/15,584
50_2_3_1,20260822,15/55/15/15,668
50_2_3_1,20260823,15/55/15/15,556
50_2_3_1,20260824,15/55/15/15,666
100_2_3_1,20260822,20/40/20/20,321
100_2_3_1,20260823,20/40/20/20,223
100_2_3_1,20260824,20/40/20/20,584
20_2_3_1,20260822,20/40/20/20,540
20_2_3_1,20260823,20/40/20/20,643
20_2_3_1,20260824,20/40/20/20,752
50_2_3_1,20260822,20/40/20/20,530
50_2_3_1,20260823,20/40/20/20,657
50_2_3_1,20260824,20/40/20/20,665
100_2_3_1,20260822,20/40/30/10,417
100_2_3_1,20260823,20/40/30/10,335
100_2_3_1,20260824,20/40/30/10,642
20_2_3_1,20260822,20/40/30/10,700
20_2_3_1,20260823,20/40/30/10,917
20_2_3_1,20260824,20/40/30/10,675
50_2_3_1,20260822,20/40/30/10,665
50_2_3_1,20260823,20/40/30/10,513
50_2_3_1,20260824,20/40/30/10,635
