mixture,instance,seed,observedDeltaCmax,fittedDeltaCmax,residual,leaveOneTreatmentOutPrediction
10/40/20/30,100_2_3_1,20260822,0.015035181019638586,-0.013486706222787331,0.028521887242425915,-0.018098569925182516
10/40/20/30,100_2_3_1,20260823,-0.010917893088205028,-0.013486706222787331,0.0025688131345823033,-0.018098569925182516
10/40/20/30,100_2_3_1,20260824,0.02638297432163207,-0.013486706222787331,0.0398696805444194,-0.018098569925182516
10/40/20/30,20_2_3_1,20260822,0.0900443069404859,-0.013486706222787331,0.10353101316327323,-0.018098569925182516
10/40/20/30,20_2_3_1,20260823,-0.10651265395901334,-0.013486706222787331,-0.09302594773622601,-0.018098569925182516
10/40/20/30,20_2_3_1,20260824,-0.07718269309637821,-0.013486706222787331,-0.06369598687359088,-0.018098569925182516
10/40/20/30,50_2_3_1,20260822,-0.016374345912720724,-0.013486706222787331,-0.0028876396899333925,-0.018098569925182516
10/40/20/30,50_2_3_1,20260823,-0.022585821849263346,-0.013486706222787331,-0.009099115626476015,-0.018098569925182516
10/40/20/30,50_2_3_1,20260824,0.0013405399711557279,-0.013486706222787331,0.014827246193943058,-0.018098569925182516
10/40/30/20,100_2_3_1,20260822,-0.037355659906630416,-0.025613412087416992,-0.011742247819213424,-0.00495486061658601
10/40/30/20,100_2_3_1,20260823,-0.10613748309101938,-0.025613412087416992,-0.08052407100360238,-0.00495486061658601
10/40/30/20,100_2_3_1,20260824,-0.040730622236736416,-0.025613412087416992,-0.015117210149319424,-0.00495486061658601
10/40/30/20,20_2_3_1,20260822,-0.03691450704307809,-0.025613412087416992,-0.011301094955661097,-0.00495486061658601
10/40/30/20,20_2_3_1,20260823,-0.03380017575080803,-0.025613412087416992,-0.008186763663391036,-0.00495486061658601
10/40/30/20,20_2_3_1,20260824,-0.04991262110243114,-0.025613412087416992,-0.024299209015014145,-0.00495486061658601
10/40/30/20,50_2_3_1,20260822,-0.01767852183838508,-0.025613412087416992,0.007934890249031913,-0.00495486061658601
10/40/30/20,50_2_3_1,20260823,-0.004793327255197545,-0.025613412087416992,0.02082008483221945,-0.00495486061658601
10/40/30/20,50_2_3_1,20260824,0.01146364152840073,-0.025613412087416992,0.03707705361581772,-0.00495486061658601
10/50/10/30,100_2_3_1,20260822,-0.053931587831753156,-0.011216228353188439,-0.04271535947856472,-0.00780828016489413
10/50/10/30,100_2_3_1,20260823,0.012820081713983253,-0.011216228353188439,0.02403631006717169,-0.00780828016489413
10/50/10/30,100_2_3_1,20260824,0.03997795192299357,-0.011216228353188439,0.05119418027618201,-0.00780828016489413
10/50/10/30,20_2_3_1,20260822,0.0018680667085553286,-0.011216228353188439,0.013084295061743767,-0.00780828016489413
10/50/10/30,20_2_3_1,20260823,-0.06398791598217306,-0.011216228353188439,-0.05277168762898462,-0.00780828016489413
10/50/10/30,20_2_3_1,20260824,-0.005866083366643358,-0.011216228353188439,0.00535014498654508,-0.00780828016489413
10/50/10/30,50_2_3_1,20260822,-0.02533486694407471,-0.011216228353188439,-0.01411863859088627,-0.00780828016489413
10/50/10/30,50_2_3_1,20260823,-0.04022175160667724,-0.011216228353188439,-0.029005523253488805,-0.00780828016489413
10/50/10/30,50_2_3_1,20260824,0.01930359613901811,-0.011216228353188439,0.030519824492206547,-0.00780828016489413
10/50/30/10,100_2_3_1,20260822,-0.017538743784164288,-0.017791303413008892,2.525596288446043E-4,-0.03128327651228296
10/50/30/10,100_2_3_1,20260823,-0.0067637800946835375,-0.017791303413008892,0.011027523318325355,-0.03128327651228296
10/50/30/10,100_2_3_1,20260824,-0.016179981580032317,-0.017791303413008892,0.0016113218329765755,-0.03128327651228296
10/50/30/10,20_2_3_1,20260822,0.08581908279840043,-0.017791303413008892,0.10361038621140933,-0.03128327651228296
10/50/30/10,20_2_3_1,20260823,-0.007636107764732722,-0.017791303413008892,0.010155195648276171,-0.03128327651228296
10/50/30/10,20_2_3_1,20260824,-0.029111250156117114,-0.017791303413008892,-0.011319946743108222,-0.03128327651228296
10/50/30/10,50_2_3_1,20260822,-0.03680614110201331,-0.017791303413008892,-0.019014837689004416,-0.03128327651228296
10/50/30/10,50_2_3_1,20260823,-0.019673808363568225,-0.017791303413008892,-0.0018825049505593328,-0.03128327651228296
10/50/30/10,50_2_3_1,20260824,-0.017382041771622045,-0.017791303413008892,4.0926164138684745E-4,-0.03128327651228296
10/60/10/20,100_2_3_1,20260822,0.021524476121671614,-0.0014290833938087298,0.022953559515480344,-0.011908249079098206
10/60/10/20,100_2_3_1,20260823,-0.0011783271832991004,-0.0014290833938087298,2.5075621050962946E-4,-0.011908249079098206
10/60/10/20,100_2_3_1,20260824,0.03957766772790244,-0.0014290833938087298,0.04100675112171116,-0.011908249079098206
10/60/10/20,20_2_3_1,20260822,-0.018912415464585986,-0.0014290833938087298,-0.017483332070777256,-0.011908249079098206
10/60/10/20,20_2_3_1,20260823,0.050342556724105376,-0.0014290833938087298,0.0517716401179141,-0.011908249079098206
10/60/10/20,20_2_3_1,20260824,-0.016737323780108768,-0.0014290833938087298,-0.015308240386300038,-0.011908249079098206
10/60/10/20,50_2_3_1,20260822,-0.04014147395602439,-0.0014290833938087298,-0.03871239056221566,-0.011908249079098206
10/60/10/20,50_2_3_1,20260823,-0.021871696038756102,-0.0014290833938087298,-0.020442612644947372,-0.011908249079098206
10/60/10/20,50_2_3_1,20260824,0.016358905463889992,-0.0014290833938087298,0.017787988857698722,-0.011908249079098206
10/60/20/10,100_2_3_1,20260822,0.008789440395379317,0.004122547411000467,0.00466689298437885,0.024709820401196517
10/60/20/10,100_2_3_1,20260823,0.035834701001196304,0.004122547411000467,0.031712153590195837,0.024709820401196517
10/60/20/10,100_2_3_1,20260824,0.038184499547299286,0.004122547411000467,0.03406195213629882,0.024709820401196517
10/60/20/10,20_2_3_1,20260822,-0.02271924080132025,0.004122547411000467,-0.02684178821232072,0.024709820401196517
10/60/20/10,20_2_3_1,20260823,0.034672703733301835,0.004122547411000467,0.030550156322301368,0.024709820401196517
10/60/20/10,20_2_3_1,20260824,-0.07358403203798805,0.004122547411000467,-0.07770657944898851,0.024709820401196517
10/60/20/10,50_2_3_1,20260822,-0.022720486615416372,0.004122547411000467,-0.02684303402641684,0.024709820401196517
10/60/20/10,50_2_3_1,20260823,-0.0010773565608500314,0.004122547411000467,-0.005199903971850498,0.024709820401196517
10/60/20/10,50_2_3_1,20260824,-0.024401700065116043,0.004122547411000467,-0.02852424747611651,0.024709820401196517
15/25/30/30,100_2_3_1,20260822,-0.06861850170918987,-0.03233694001833931,-0.03628156169085056,-0.035086664074719484
15/25/30/30,100_2_3_1,20260823,-0.05694644359704492,-0.03233694001833931,-0.02460950357870561,-0.035086664074719484
15/25/30/30,100_2_3_1,20260824,0.02152766617224234,-0.03233694001833931,0.05386460619058165,-0.035086664074719484
15/25/30/30,20_2_3_1,20260822,-0.02758525172759391,-0.03233694001833931,0.0047516882907454,-0.035086664074719484
15/25/30/30,20_2_3_1,20260823,0.00279734324277362,-0.03233694001833931,0.03513428326111293,-0.035086664074719484
15/25/30/30,20_2_3_1,20260824,-0.08908319268219687,-0.03233694001833931,-0.05674625266385756,-0.035086664074719484
15/25/30/30,50_2_3_1,20260822,-0.014945944189373851,-0.03233694001833931,0.017390995828965458,-0.035086664074719484
15/25/30/30,50_2_3_1,20260823,-0.010304714556853408,-0.03233694001833931,0.0220322254614859,-0.035086664074719484
15/25/30/30,50_2_3_1,20260824,-0.04161326691371321,-0.03233694001833931,-0.009276326895373901,-0.035086664074719484
15/55/15/15,100_2_3_1,20260822,-0.00636341719736883,0.0024997134632754846,-0.008863130660644314,0.0012905598857583939
15/55/15/15,100_2_3_1,20260823,0.01686217367217556,0.0024997134632754846,0.014362460208900075,0.0012905598857583939
15/55/15/15,100_2_3_1,20260824,0.05362624115170856,0.0024997134632754846,0.05112652768843308,0.0012905598857583939
15/55/15/15,20_2_3_1,20260822,0.06385681134866517,0.0024997134632754846,0.06135709788538968,0.0012905598857583939
15/55/15/15,20_2_3_1,20260823,0.04298360364169733,0.0024997134632754846,0.04048389017842184,0.0012905598857583939
15/55/15/15,20_2_3_1,20260824,-0.0910187091104748,0.0024997134632754846,-0.09351842257375029,0.0012905598857583939
15/55/15/15,50_2_3_1,20260822,-0.03908259564913713,0.0024997134632754846,-0.04158230911241262,0.0012905598857583939
15/55/15/15,50_2_3_1,20260823,0.006325072297346063,0.0024997134632754846,0.0038253588340705783,0.0012905598857583939
15/55/15/15,50_2_3_1,20260824,0.0033102821816919036,0.0024997134632754846,8.10568718416419E-4,0.0012905598857583939
20/40/20/20,100_2_3_1,20260822,0.0,0.0016598531877709197,-0.0016598531877709197,0.0038266856629647905
