sequence,job,stage,factory,machine,worker,predecessorCompletion,machineAvailableBefore,workerAvailableBefore,start,recoveryDuration,fatigueBeforeRecovery,fatigueAtStart,ST,SUT,machineSpeed,machinePower,workerEfficiency,workerCost,lambda,muCurrentStage,recoveryMu,r,delta,baseProcessing,baseSetup,baseAT,fatigueMultiplier,actualProcessing,actualSetup,actualAT,end,fatigueAfter,energy,cost,safeThresholdExceeded
0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,1.0,7.0,1.2,12.0,0.026910216099651475,0.03457450986628025,0.03457450986628025,0.3,16.083427597309207,10.833333333333334,1.6666666666666667,12.5,1.0,10.833333333333334,1.6666666666666667,12.5,12.5,0.2856467572541579,87.5,150.0,false
1,5,0,0,0,1,0.0,12.5,0.0,12.5,0.0,0.0,0.0,8.0,2.0,1.0,7.0,1.0,10.0,0.01903105251791181,0.042003943265363816,0.042003943265363816,0.3,22.742226782219984,8.0,2.0,10.0,1.0,8.0,2.0,10.0,22.5,0.17329761782382144,70.0,100.0,false
2,4,0,0,0,1,0.0,22.5,22.5,22.5,0.0,0.17329761782382144,0.17329761782382144,10.0,2.0,1.0,7.0,1.0,10.0,0.01903105251791181,0.042003943265363816,0.042003943265363816,0.3,22.742226782219984,10.0,2.0,12.0,1.0691707038300895,10.691707038300894,2.138341407660179,12.830048445961072,35.33004844596107,0.3523985712522294,89.81033912172751,128.30048445961071,false
3,0,0,0,0,0,0.0,35.33004844596107,12.5,35.33004844596107,22.83004844596107,0.2856467572541579,0.12972517804055114,10.0,1.0,1.0,7.0,1.2,12.0,0.026910216099651475,0.03457450986628025,0.03457450986628025,0.3,16.083427597309207,8.333333333333334,0.8333333333333334,9.166666666666668,1.0527915576772602,8.773262980643835,0.8773262980643836,9.65058927870822,44.980637724669286,0.3287715063213079,67.55412495095753,115.80707134449864,false
4,6,1,0,0,3,12.5,0.0,0.0,12.5,0.0,0.0,0.0,18.0,1.0,1.2,9.0,1.1,11.0,0.024516346668978548,0.04339585229398448,0.04339585229398448,0.3,17.653874702887027,13.636363636363635,0.9090909090909091,14.545454545454543,1.0,13.636363636363635,0.9090909090909091,14.545454545454543,27.045454545454543,0.29994852161606916,130.90909090909088,159.99999999999997,false
5,5,1,0,1,2,22.5,0.0,0.0,22.5,0.0,0.0,0.0,15.0,2.0,1.1,8.0,0.9,9.0,0.012729338129720998,0.06534298538013117,0.06534298538013117,0.3,34.00086539111954,15.15151515151515,2.2222222222222223,17.373737373737374,1.0,15.15151515151515,2.2222222222222223,17.373737373737374,39.87373737373737,0.19840852012563884,138.989898989899,156.36363636363637,false
6,4,1,0,0,3,35.33004844596107,27.045454545454543,27.045454545454543,35.33004844596107,8.284593900506525,0.29994852161606916,0.20936808016962122,16.0,3.0,1.2,9.0,1.1,11.0,0.024516346668978548,0.04339585229398448,0.04339585229398448,0.3,17.653874702887027,12.121212121212121,2.727272727272727,14.848484848484848,1.0822760219160832,13.118497235346462,2.951661877952954,16.070159113299415,51.40020755926048,0.46682434318063964,152.91602592020126,267.90228315186533,false
7,0,1,0,1,2,44.980637724669286,39.87373737373737,39.87373737373737,44.980637724669286,5.106900350931916,0.19840852012563884,0.14211378266864544,8.0,1.0,1.1,8.0,0.9,9.0,0.012729338129720998,0.06534298538013117,0.06534298538013117,0.3,34.00086539111954,8.08080808080808,1.1111111111111112,9.19191919191919,1.057511915748225,8.545550834329088,1.17501323972025,9.720564074049339,54.70120179871863,0.24196077679938738,82.87141294332662,133.4471798248313,false
8,8,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,1.1,8.0,1.2,12.0,0.014007937494133423,0.06730452786001137,0.06730452786001137,0.3,30.897376037546632,12.121212121212121,2.5,14.621212121212121,1.0,12.121212121212121,2.5,14.621212121212121,14.621212121212121,0.18520035105888283,116.96969696969697,175.45454545454544,false
9,1,0,1,0,1,0.0,0.0,14.621212121212121,14.621212121212121,0.0,0.18520035105888283,0.18520035105888283,16.0,3.0,1.0,7.0,1.2,12.0,0.014007937494133423,0.06730452786001137,0.06730452786001137,0.3,30.897376037546632,13.333333333333334,2.5,15.833333333333334,1.0735392876223773,14.313857168298364,2.6838482190559434,16.99770538735431,31.61891750856643,0.3578387381115562,118.98393771148017,203.9724646482517,false
