runKey,algorithm,instance,seed,population,maxFEs,snapshotPhysicalSha256,status
GAP500-A4-50_2_3_1-20260827,A4,50_2_3_1,20260827,100,500000,68c44eae862ac35b207d05db3ee228a06a307821c7648e577512ddeb1e52c541,PLANNED_NOT_LAUNCHED
GAP500-A0-50_2_3_1-20260827,A0(HMOPSO-QGS-F),50_2_3_1,20260827,100,500000,68c44eae862ac35b207d05db3ee228a06a307821c7648e577512ddeb1e52c541,PLANNED_NOT_LAUNCHED
GAP500-SPEA2F-50_2_3_1-20260827,SPEA2-F,50_2_3_1,20260827,100,500000,68c44eae862ac35b207d05db3ee228a06a307821c7648e577512ddeb1e52c541,PLANNED_NOT_LAUNCHED
GAP500-NSGA2F-50_2_3_1-20260827,NSGA-II-F,50_2_3_1,20260827,100,500000,68c44eae862ac35b207d05db3ee228a06a307821c7648e577512ddeb1e52c541,PLANNED_NOT_LAUNCHED
GAP500-A4-50_2_3_1-20260906,A4,50_2_3_1,20260906,100,500000,5ddc0add8a2c220befa3948bc07678034df8aa3037cf5e074c68218dfbffd0cb,PLANNED_NOT_LAUNCHED
GAP500-A0-50_2_3_1-20260906,A0(HMOPSO-QGS-F),50_2_3_1,20260906,100,500000,5ddc0add8a2c220befa3948bc07678034df8aa3037cf5e074c68218dfbffd0cb,PLANNED_NOT_LAUNCHED
GAP500-SPEA2F-50_2_3_1-20260906,SPEA2-F,50_2_3_1,20260906,100,500000,5ddc0add8a2c220befa3948bc07678034df8aa3037cf5e074c68218dfbffd0cb,PLANNED_NOT_LAUNCHED
GAP500-NSGA2F-50_2_3_1-20260906,NSGA-II-F,50_2_3_1,20260906,100,500000,5ddc0add8a2c220befa3948bc07678034df8aa3037cf5e074c68218dfbffd0cb,PLANNED_NOT_LAUNCHED
GAP500-A4-100_5_3_1-20260827,A4,100_5_3_1,20260827,100,500000,38c2ec4f40be2de7e1923f05bf2080ac0ce1324726afe79bb1acff7c1ee571df,PLANNED_NOT_LAUNCHED
GAP500-A0-100_5_3_1-20260827,A0(HMOPSO-QGS-F),100_5_3_1,20260827,100,500000,38c2ec4f40be2de7e1923f05bf2080ac0ce1324726afe79bb1acff7c1ee571df,PLANNED_NOT_LAUNCHED
GAP500-SPEA2F-100_5_3_1-20260827,SPEA2-F,100_5_3_1,20260827,100,500000,38c2ec4f40be2de7e1923f05bf2080ac0ce1324726afe79bb1acff7c1ee571df,PLANNED_NOT_LAUNCHED
GAP500-NSGA2F-100_5_3_1-20260827,NSGA-II-F,100_5_3_1,20260827,100,500000,38c2ec4f40be2de7e1923f05bf2080ac0ce1324726afe79bb1acff7c1ee571df,PLANNED_NOT_LAUNCHED
GAP500-A4-100_5_3_1-20260906,A4,100_5_3_1,20260906,100,500000,2daf18c13744038d878df6d702235f85e8738ab8e3f7e50b074d35f0bdf4e185,PLANNED_NOT_LAUNCHED
GAP500-A0-100_5_3_1-20260906,A0(HMOPSO-QGS-F),100_5_3_1,20260906,100,500000,2daf18c13744038d878df6d702235f85e8738ab8e3f7e50b074d35f0bdf4e185,PLANNED_NOT_LAUNCHED
GAP500-SPEA2F-100_5_3_1-20260906,SPEA2-F,100_5_3_1,20260906,100,500000,2daf18c13744038d878df6d702235f85e8738ab8e3f7e50b074d35f0bdf4e185,PLANNED_NOT_LAUNCHED
GAP500-NSGA2F-100_5_3_1-20260906,NSGA-II-F,100_5_3_1,20260906,100,500000,2daf18c13744038d878df6d702235f85e8738ab8e3f7e50b074d35f0bdf4e185,PLANNED_NOT_LAUNCHED
GAP20K-A4-50_2_3_1-20260827,A4,50_2_3_1,20260827,100,20000,68c44eae862ac35b207d05db3ee228a06a307821c7648e577512ddeb1e52c541,REMOTE_SHAKEDOWN
GAP20K-A0-50_2_3_1-20260827,A0(HMOPSO-QGS-F),50_2_3_1,20260827,100,20000,68c44eae862ac35b207d05db3ee228a06a307821c7648e577512ddeb1e52c541,REMOTE_SHAKEDOWN
GAP20K-SPEA2F-50_2_3_1-20260827,SPEA2-F,50_2_3_1,20260827,100,20000,68c44eae862ac35b207d05db3ee228a06a307821c7648e577512ddeb1e52c541,REMOTE_SHAKEDOWN
GAP20K-NSGA2F-50_2_3_1-20260827,NSGA-II-F,50_2_3_1,20260827,100,20000,68c44eae862ac35b207d05db3ee228a06a307821c7648e577512ddeb1e52c541,REMOTE_SHAKEDOWN
