fromArm,toArm,pairs,medianDeltaHV,medianDeltaIGD,medianDeltaCmax,medianDeltaTEC,medianDeltaTWC,hvIgdImproved,hvIgdWorsened
A2,A3,12,-0.1623829775383909,-0.24934851960772222,0.01252390318663284,-0.004039600854847702,-0.006155150559849289,4,7
A3,A4,12,0.22819901635008108,0.3784901632095175,0.01309063067847312,-0.018058553355112146,0.03997841460309798,11,1
A2,A4,12,0.08456545991717504,0.14009235467264247,0.029871721118535376,-0.010668278071215896,0.013571081477541113,8,4
