observedFE,source,candidateFingerprint,Cmax,TEC,TWC,parentLineageId
1,INITIAL_POPULATION,270b5a56ae78875beb6470b523d52ef7ce5c2415a954972757ea8481beb1161e,850.9907643193917,23951.985483504057,55296.123068122855,-1
2,INITIAL_POPULATION,90d35886c585643d822d25640b60506e6c0fa04fdf6bb6482e397bd50d8c009c,874.8828252835417,23743.606167601472,43755.411967383174,-1
3,INITIAL_POPULATION,aea5e55d4d9b2ae0a41c06fc9bf62236ebd36ce7779b48d846d96d2e9883e560,614.5951438168611,23839.496488952987,47463.15753418386,-1
4,INITIAL_POPULATION,fe2f3937d674e16c31e3f0ce5f893c5eba7e1e38ae4cc56439090d4356043577,544.8414105736729,24525.01552707176,56655.41183166256,-1
5,INITIAL_POPULATION,72d7d6a181c0b4e92d4bfbce509685305e2c4bc4150a6d426fabc80d3c8c271e,459.8169368087476,24187.315950143926,49792.004717085714,-1
6,INITIAL_POPULATION,077511a00ffee6416734dfc9200d23b41b0d3ea140d60194e59d5e9f264bbcad,744.7852325354471,23849.76869295407,52508.31558467801,-1
7,INITIAL_POPULATION,ccd6c2894f3f4896ee301a90a9fb0ba9a58b2f45d09f3695d329b13a218903eb,1144.204945432576,23136.14951723931,46350.834054238956,-1
8,INITIAL_POPULATION,5e03e65f279565a51f238c3fbf8ca66f054db9f000037588526bde378d2af0e1,1027.598498612224,22869.688768898126,41951.61734553437,-1
9,INITIAL_POPULATION,3dfca89c4eae43c7853eebdbb11e6a778d2e94e23b83072329c1620a1451b0d2,576.929703566154,24188.92762200007,50766.62759789322,-1
10,INITIAL_POPULATION,d300111452fd11e5886da62dfb2bfdfb6377d11f3631fda6cb18594886dfb225,564.547625112029,24772.99837978991,59893.339146633356,-1
11,INITIAL_POPULATION,d148b9887f0947d29de93fef53f686f7ce3bed8ec04e6a4d74544878aee6fd00,792.4709086248778,23540.21016775543,43630.65488060929,-1
12,INITIAL_POPULATION,fd7bc80279ebb713a7fbc8d43b965769eee88bc2a70aac3bccfcbd68727cb5c2,534.1128613568449,24027.72793002065,53882.99754656339,-1
13,INITIAL_POPULATION,cd8431ea996a39de076223ef7c9e2624b3ab91fb3c5209ca9f28dab93db962f3,771.8938568585562,23497.998303893244,47696.46621571291,-1
14,INITIAL_POPULATION,bc43bfeb25a74788be7777f7a165f572c2318a983427a765462e1e742cba7bf4,658.267255494378,24067.7667692783,49062.01514391574,-1
15,INITIAL_POPULATION,fbbb83a25e76a804f3fd1987cb791190819d416501eb3ada3b8b0ff1acd182e1,1092.7928219648963,23307.871759361165,43671.39496209465,-1
16,INITIAL_POPULATION,7910ed43fdec0302d6b1ae94b59b019142d178c88664815faa3b09b2af55c439,976.3486974715754,22853.61812807723,46664.932778451126,-1
17,INITIAL_POPULATION,be392f2ccade0cb623f6ec8150aaf6ca512713c05ad5222c4bafcf00ab313da4,483.8301092851758,24253.329309350127,45835.44369085075,-1
18,INITIAL_POPULATION,c9484d903b031b9e3d77186e6f8175af707723f567eeaef4ee0c9255870d07d3,890.9058094164536,23397.56828932335,38735.31363065816,-1
19,INITIAL_POPULATION,b7aeb39b47051e17d73a150da7a866312852def63d5ca478c33813189d3d5bd4,607.2605592358121,23707.523100703907,55686.81862004425,-1
20,INITIAL_POPULATION,2cfe20e93867d6b9f97d560becda757cb224ea36409ce6f71e662c6806ca4ab6,659.0001907453741,23726.994959704065,52574.03458826726,-1
21,INITIAL_POPULATION,1d4780a85c491d7e2c643f5221ed9906a7eaa0624e1123c29211f6b3ea033246,501.2589828308995,24006.629076579462,57353.985362836334,-1
22,INITIAL_POPULATION,3ba489bc78b733d42d2c701fd0f3c2501e2b1b97b3ad6fb8d3e41e0fa17e066c,678.7844117582031,23686.672551918255,48519.545996032146,-1
23,INITIAL_POPULATION,6c974a876a04994d01aa139c06898ecfa358bc6a8bedebc3fd9cf063de37ea70,645.1332066391828,23499.476090151704,45757.531478468096,-1
24,INITIAL_POPULATION,67ae6f713f966770f1b3078f767e44901328ed19a4a98d1e7dfd443d77a8b397,854.2339107808102,23777.43540167757,50692.10744408952,-1
25,INITIAL_POPULATION,90d39fc1f4a0cd40e035a3c376f2150f796527d43e245f892d66ea0691c2a14b,767.6942086616598,23840.56187515654,45825.71532867782,-1
26,INITIAL_POPULATION,9422fef221e119df0e4a55b68631b7d91ce42e74f8d00fb552c7b2863681b86d,1021.1804312942664,23592.455831685184,55821.649292996684,-1
27,INITIAL_POPULATION,6693fc5acc9578a4e0448813227946d8ca95723015e7ab587bedf70819b3f586,536.1063591341905,23975.613721586597,49920.18030224212,-1
28,INITIAL_POPULATION,6098705e2ff2e236c266762b2a0a723e76e8d3882e923c03adc88e1010ad78f1,847.6232224026726,23057.669112757874,44960.545372120665,-1
29,INITIAL_POPULATION,661b54f6e88e0dd634533735d2e3ff9cc5d7a48654642a7dbe34182add47f56b,681.1947873412737,24084.04171303632,51225.216140018805,-1
30,INITIAL_POPULATION,0b743ab6f416e1ae15bf0d65a6ad8f796a04f09df01363d0b95917c028aa2c42,679.086399732818,23441.95658908091,50902.348816267826,-1
31,INITIAL_POPULATION,349886a99dd0ba6e955d90a5f6c2b9504c0efcd122d4af25f919d76c547e40ee,778.3282278717372,23836.053329125756,51626.03735228827,-1
32,INITIAL_POPULATION,2302e124b7741bc0fc5681a3ff5340d44a07df944f43cf380334c05d00646d20,569.7038742818006,24874.793298662735,63511.29110416679,-1
33,INITIAL_POPULATION,6e3483d7285dba67d9d44395e9e39690b87833bdbf3419ce257cd0fe0e251881,519.0731363780068,23742.60477147319,47802.20069666017,-1
34,INITIAL_POPULATION,6649171438ac919170cb69f58481b396031163c8ab06a18c8f2d380c1fcfdab5,439.53522823744703,23931.281006502697,51721.355923142764,-1
