slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
27,491,"3,4,2,6,5,0,7,1,9,8","0,0,1,1,1,0,1,0,1,1","1,0,0,0,0,0,1,0,0,1","0,1,1,1,1,1,0,0,1,0",58.713250938529264,1987.4159764033166,3243.9004593204095,"[3, 4, 2, 6, 5, 0, 7, 1, 9, 8]|[0, 0, 1, 1, 1, 0, 1, 0, 1, 1]|null|[0, 1, 1, 1, 1, 1, 0, 0, 1, 0]"
28,502,"3,4,6,0,2,9,7,5,1,8","0,1,1,0,1,1,0,0,1,1","0,0,1,0,0,1,1,1,0,1","1,1,0,1,1,0,0,0,1,0",57.516236240235160,2013.5323779631308,2984.1596554424577,"[3, 4, 6, 0, 2, 9, 7, 5, 1, 8]|[0, 1, 1, 0, 1, 1, 0, 0, 1, 1]|null|[1, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
29,514,"3,4,5,0,8,6,1,2,9,7","0,0,0,0,1,1,1,1,0,0","1,0,0,1,0,1,1,0,0,1","0,1,1,0,1,0,0,1,1,0",52.515982602981595,2046.1008380326923,2785.6866626504510,"[3, 4, 5, 0, 8, 6, 1, 2, 9, 7]|[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]|null|[0, 1, 1, 0, 1, 0, 0, 1, 1, 0]"
30,519,"3,4,2,6,7,0,1,5,9,8","0,0,0,1,0,0,1,1,1,1","0,0,1,1,1,0,0,1,0,1","1,1,0,0,0,0,1,0,1,0",52.360163267248076,2042.8747302115041,2876.5989527014717,"[3, 4, 2, 6, 7, 0, 1, 5, 9, 8]|[0, 0, 0, 1, 0, 0, 1, 1, 1, 1]|null|[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
31,554,"3,5,7,8,6,1,2,9,0,4","0,0,0,1,1,1,1,0,0,0","1,0,1,0,1,1,0,0,0,0","0,1,0,1,0,0,1,1,0,1",63.765408171076590,2020.7248175381908,2886.5961594823293,"[3, 5, 7, 8, 6, 1, 2, 9, 0, 4]|[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]|null|[0, 1, 0, 1, 0, 0, 1, 1, 0, 1]"
32,551,"3,4,6,0,8,5,2,1,9,7","0,0,1,1,0,0,0,1,1,0","1,1,1,1,0,0,1,0,1,1","0,0,0,0,1,1,0,1,0,0",56.540392477205785,2093.4963829484540,2770.8169597995490,"[3, 4, 6, 0, 8, 5, 2, 1, 9, 7]|[0, 0, 1, 1, 0, 0, 0, 1, 1, 0]|null|[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]"
33,552,"3,4,5,7,8,6,1,2,9,0","0,0,0,0,1,1,1,1,0,0","1,0,0,1,0,1,1,0,0,0","0,1,1,0,1,0,0,1,1,0",54.738823064740345,2033.2269977779438,2830.8484444080370,"[3, 4, 5, 7, 8, 6, 1, 2, 9, 0]|[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]|null|[0, 1, 1, 0, 1, 0, 0, 1, 1, 0]"
34,557,"4,1,6,7,5,2,3,0,9,8","1,0,1,1,0,1,1,0,0,1","0,0,1,0,0,0,0,0,0,1","1,0,0,1,0,1,1,0,0,0",69.377319808334590,1967.7170381186934,3281.6609382578044,"[4, 1, 6, 7, 5, 2, 3, 0, 9, 8]|[1, 0, 1, 1, 0, 1, 1, 0, 0, 1]|null|[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
35,555,"3,2,5,7,6,1,4,0,9,8","1,1,0,1,1,0,1,0,0,1","0,0,0,0,1,0,0,0,0,1","1,1,0,1,0,0,1,0,0,0",70.839344341091150,1956.7977527439034,3477.5556733991466,"[3, 2, 5, 7, 6, 1, 4, 0, 9, 8]|[1, 1, 0, 1, 1, 0, 1, 0, 0, 1]|null|[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
36,570,"1,3,5,7,6,2,4,0,9,8","1,1,0,1,1,0,1,0,0,1","0,0,0,0,1,0,0,0,0,1","1,1,0,1,0,0,1,0,0,0",66.835736381004320,1962.9517603908162,3294.6522127821490,"[1, 3, 5, 7, 6, 2, 4, 0, 9, 8]|[1, 1, 0, 1, 1, 0, 1, 0, 0, 1]|null|[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
37,571,"3,1,5,6,2,4,0,9,8,7","1,1,0,1,0,1,0,0,1,1","0,0,0,1,0,0,0,0,1,0","1,1,0,0,0,1,0,0,0,1",69.553385183933300,1957.2148802097950,3434.2015274919245,"[3, 1, 5, 6, 2, 4, 0, 9, 8, 7]|[1, 1, 0, 1, 0, 1, 0, 0, 1, 1]|null|[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
38,569,"3,1,5,7,6,2,4,0,9,8","1,1,0,1,1,0,1,0,0,1","0,0,0,0,1,0,0,0,0,1","1,1,0,1,0,0,1,0,0,0",72.057446170633850,1952.0031946717431,3432.0937549547807,"[3, 1, 5, 7, 6, 2, 4, 0, 9, 8]|[1, 1, 0, 1, 1, 0, 1, 0, 0, 1]|null|[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
39,576,"3,1,5,7,2,4,0,9,8,6","1,1,1,1,0,0,0,0,1,1","0,0,1,1,0,1,0,0,1,0","1,1,0,0,0,0,1,0,0,1",55.612544302195570,1988.3339099896662,3077.8012993112675,"[3, 1, 5, 7, 2, 4, 0, 9, 8, 6]|[1, 1, 1, 1, 0, 0, 0, 0, 1, 1]|null|[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]"
40,582,"1,3,5,6,2,4,0,9,8,7","1,1,0,1,0,1,0,0,1,1","0,0,0,1,0,0,0,0,1,0","1,1,0,0,0,1,0,0,0,1",63.680632459174795,1972.6280921791490,3300.1818342376580,"[1, 3, 5, 6, 2, 4, 0, 9, 8, 7]|[1, 1, 0, 1, 0, 1, 0, 0, 1, 1]|null|[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
