instance,arm,seed,cycle,fe,pool,target,nLT1,nEq1,nGt1,nND,selLT1,selEq1,selGt1,rejLT1,rejEq1,rejGt1,bpLT1,bpEq1,bpGt1
100_2_3_1,QGS,20260822,1,31645,300,100,33,0,267,33,33,0,67,0,0,200,33,0,67
100_2_3_1,QGS,20260822,2,63257,300,100,43,0,257,43,43,0,57,0,0,200,43,0,57
100_2_3_1,QGS,20260822,3,94872,300,100,68,1,231,69,68,1,31,0,0,200,68,1,31
100_2_3_1,QGS,20260822,4,126437,300,100,73,0,227,73,73,0,27,0,0,200,73,0,27
100_2_3_1,QGS,20260822,5,158137,300,100,56,0,244,56,56,0,44,0,0,200,56,0,44
100_2_3_1,QGS,20260822,6,189976,300,100,72,0,228,72,72,0,28,0,0,200,72,0,28
100_2_3_1,QGS,20260822,7,221771,300,100,73,0,227,73,73,0,27,0,0,200,73,0,27
100_2_3_1,QGS,20260822,8,253559,299,100,105,10,184,115,100,0,0,5,10,184,100,0,0
100_2_3_1,QGS,20260822,9,285350,300,100,87,2,211,89,87,2,11,0,0,200,87,2,11
100_2_3_1,QGS,20260822,10,317144,300,100,67,2,231,69,67,2,31,0,0,200,67,2,31
100_2_3_1,QGS,20260822,11,348976,300,100,85,0,215,85,85,0,15,0,0,200,85,0,15
100_2_3_1,QGS,20260822,12,380717,299,100,107,0,192,107,100,0,0,7,0,192,100,0,0
100_2_3_1,QGS,20260822,13,412690,300,100,110,2,188,112,100,0,0,10,2,188,100,0,0
100_2_3_1,QGS,20260822,14,444541,299,100,86,2,211,88,86,2,12,0,0,199,86,2,12
100_2_3_1,QGS,20260822,15,476271,300,100,104,1,195,105,100,0,0,4,1,195,100,0,0
100_2_3_1,QGS,20260822,16,500000,271,100,71,0,200,71,71,0,29,0,0,171,71,0,29
100_2_3_1,QGS,20260823,1,31810,300,100,34,0,266,34,34,0,66,0,0,200,34,0,66
100_2_3_1,QGS,20260823,2,63766,300,100,50,0,250,50,50,0,50,0,0,200,50,0,50
100_2_3_1,QGS,20260823,3,95606,300,100,73,0,227,73,73,0,27,0,0,200,73,0,27
100_2_3_1,QGS,20260823,4,127558,300,100,84,0,216,84,84,0,16,0,0,200,84,0,16
100_2_3_1,QGS,20260823,5,159520,300,100,104,1,195,105,100,0,0,4,1,195,100,0,0
100_2_3_1,QGS,20260823,6,191406,300,100,69,20,211,89,69,20,11,0,0,200,69,20,11
100_2_3_1,QGS,20260823,7,223382,300,100,88,15,197,103,88,12,0,0,3,197,88,12,0
100_2_3_1,QGS,20260823,8,255369,300,100,127,8,165,135,100,0,0,27,8,165,100,0,0
