recordId,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,1,0,234.793399205685,11707.665985789688,17960.757547869850,UNASSIGNED,INITIAL,INITIAL,true,false,true,true,PENDING,0,0,12,4,100,1032,1,4,6f0e7bdab26f5750911389b5cd4a525f89defc524f1374e1496ce986c0350f9f
2,101,1,229.883620585688,11527.351769877097,18203.296401617543,G1_CMAX,CFVF,CFVF,true,true,true,false,YES,0,0,2,2,404,719,2,3,2b3000a714a0cbf3ca6e590cf486fe2fe3fb55eac0f1360a39925a72dc134c10
3,137,1,229.169698539675,11405.696968477641,18393.440721307190,G4_BALANCED,CFVF,CFVF,true,true,true,true,YES,0,0,8,4,404,1334,2,5,11b5ad79a3fa7c7bed3e048fa8a143f67d64c92a761f4aadee716af5134962fe
4,281,1,227.913508031479,11406.676565453210,18065.191307009638,G4_BALANCED,CA_TA,O1_O9,true,true,true,true,YES,0,0,18,5,404,1650,2,6,263970b2d32358956caa89eb32e82be18092ed6d1daa6bf8bf003506a50796d6
5,831,3,226.267613477601,11213.163341372468,18116.694331227845,G1_CMAX,CA_TA,O12,true,true,true,true,YES,0,0,21,7,1032,5243,4,18,776990c645c1e59f3fc8fc3592b554e9669d69826c6d0273378ba2a14c5d45d6
6,835,3,211.542322348899,11412.080197406240,17527.979770296806,G1_CMAX,CA_TA,O12,true,true,true,true,YES,0,0,39,12,1032,4379,4,15,49a4ca5263d8de07b29a37fc34f98c8eca8610bae3f368e8980ff7b7bf189622
7,2076,7,209.385590720839,11007.359677606519,17153.828564977703,G1_CMAX,CA_TA,O12,true,true,true,true,YES,20,1,1,1,2882,3182,10,11,c4c9b6d611e3747923327c5e746704e20146b0395d8b974c3d11deb074015b63
8,3327,11,205.902163389086,11378.793600266366,18330.467051049654,G1_CMAX,CA_TA,O1_O9,true,true,true,true,YES,680,34,41,11,3473,16828,12,57,908dac7975439f92ae7b69ce8aa4919eea187f706313a0621d072f2e90865db6
9,4480,15,205.461050817086,11351.262954309073,18423.425999094146,G1_CMAX,CA_TA,O1_O9,true,true,true,true,YES,0,0,3,2,4945,5243,17,18,0ef98e5ef531cae9c8f08dc8f61e3765f1ab09fb4d371ec8245417cd1988e02b
10,5065,17,201.655183023689,11293.288496067780,17500.599289062324,G1_CMAX,CA_TA,O1_O9,true,true,true,true,YES,0,0,14,7,6141,13818,21,47,16783ff108eaafd6e58e6009f74b1a321ff4a1ba21410afb4b2d0dbe217a61fe
11,6750,23,201.278740141651,10986.681060048690,17109.381651126772,G1_CMAX,CFVF,CFVF,true,true,true,true,YES,0,0,15,9,7580,13224,26,45,28950e76dfd7297705049ae816fe86172ed7ca81162bea1d34c69788588d8848
