fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived
1000,227.913508031479,227.913508031479,227.913508031479,211.542322348899,211.542322348899,227.913508031479,211.542322348899,227.913508031479
2000,211.542322348899,211.542322348899,211.542322348899,211.542322348899,211.542322348899,211.542322348899,211.542322348899,211.542322348899
3000,209.385590720839,209.385590720839,209.385590720839,209.385590720839,209.385590720839,209.385590720839,209.385590720839,209.385590720839
4000,205.902163389086,205.902163389086,205.902163389086,205.902163389086,205.902163389086,205.902163389086,205.902163389086,205.902163389086
5000,205.461050817086,205.461050817086,205.461050817086,205.461050817086,205.461050817086,205.461050817086,205.461050817086,205.461050817086
6000,201.655183023689,201.655183023689,201.655183023689,201.655183023689,201.655183023689,201.655183023689,201.655183023689,201.655183023689
7000,201.655183023689,201.655183023689,201.655183023689,201.278740141651,201.278740141651,201.655183023689,201.278740141651,
8000,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,205.643316210036,201.278740141651
9000,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,202.291390702648,
10000,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.891927876247,
11000,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,210.280924440002,
12000,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,206.550970819354,
13000,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,201.278740141651,209.385590720839,
14000,201.278740141651,201.278740141651,208.419033738059,201.278740141651,201.278740141651,201.278740141651,210.290152266108,
15000,201.278740141651,201.278740141651,213.228772537302,201.278740141651,201.278740141651,201.278740141651,209.702555712086,
16000,201.278740141651,201.278740141651,213.228772537302,201.278740141651,201.278740141651,201.278740141651,212.525930421957,
17000,201.278740141651,201.278740141651,218.754050651460,201.278740141651,201.278740141651,201.278740141651,217.051465010161,
18000,201.278740141651,201.278740141651,229.198544780262,201.278740141651,201.278740141651,201.278740141651,227.136130199345,
19000,201.278740141651,201.278740141651,234.857734382695,201.278740141651,201.278740141651,201.278740141651,222.199994684040,
20000,201.278740141651,201.278740141651,238.186842810042,201.278740141651,201.278740141651,201.278740141651,237.812650802885,
