seed,windowEndFE,rounds,meanNmerge,meanNnd,maxNnd,meanRoverflow,maxRoverflow
20260903,50000,1,300.0,49.0,49,0.49,0.49
20260903,100000,2,300.0,57.0,61,0.5700000000000001,0.61
