sequence,job,stage,field,manualValue,javaValue,absoluteError,status
1,3,1,sequence,1,1,0,PASS
1,3,1,job,3,3,0,PASS
1,3,1,stage,1,1,0,PASS
1,3,1,factory,1,1,0,PASS
1,3,1,machine,1,1,0,PASS
1,3,1,worker,1,1,0,PASS
1,3,1,predecessorCompletion,0,0.0000000000000000,0,PASS
1,3,1,machineAvailableBefore,0,0.0000000000000000,0,PASS
1,3,1,workerAvailableBefore,0,0.0000000000000000,0,PASS
1,3,1,start,0,0.0000000000000000,0,PASS
1,3,1,recoveryDuration,0,0.0000000000000000,0,PASS
1,3,1,fatigueBeforeRecovery,0,0.0000000000000000,0,PASS
1,3,1,fatigueAtStart,0,0.0000000000000000,0,PASS
1,3,1,ST,8,8,0,PASS
1,3,1,SUT,2,2,0,PASS
1,3,1,machineSpeed,1,1.0000000000000000,0,PASS
1,3,1,machinePower,6,6,0,PASS
1,3,1,workerEfficiency,1,1.0000000000000000,0,PASS
1,3,1,workerCost,10,10,0,PASS
1,3,1,lambda,0.02,0.020000000000000000,0,PASS
1,3,1,muCurrentStage,0.050000000000000003,0.050000000000000000,0,PASS
1,3,1,recoveryMu,0.050000000000000003,0.050000000000000000,0,PASS
1,3,1,r,0.29999999999999999,0.30000000000000000,0,PASS
1,3,1,delta,21.64042561333445,21.640425613334450,0,PASS
1,3,1,baseProcessing,8,8.0000000000000000,0,PASS
1,3,1,baseSetup,2,2.0000000000000000,0,PASS
1,3,1,baseAT,10,10.000000000000000,0,PASS
1,3,1,fatigueMultiplier,1,1.0000000000000000,0,PASS
1,3,1,actualProcessing,8,8.0000000000000000,0,PASS
1,3,1,actualSetup,2,2.0000000000000000,0,PASS
1,3,1,actualAT,10,10.000000000000000,0,PASS
1,3,1,end,10,10.000000000000000,0,PASS
1,3,1,fatigueAfter,0.18126924692201815,0.18126924692201815,0,PASS
1,3,1,machineIdle,0,0.0000000000000000,0,PASS
1,3,1,energy,60,60.000000000000000,0,PASS
1,3,1,cost,100,100.00000000000000,0,PASS
1,3,1,safeThresholdExceeded,false,false,,PASS
2,4,1,sequence,2,2,0,PASS
2,4,1,job,4,4,0,PASS
2,4,1,stage,1,1,0,PASS
2,4,1,factory,1,1,0,PASS
2,4,1,machine,1,1,0,PASS
2,4,1,worker,2,2,0,PASS
2,4,1,predecessorCompletion,0,0.0000000000000000,0,PASS
2,4,1,machineAvailableBefore,10,10.000000000000000,0,PASS
2,4,1,workerAvailableBefore,0,0.0000000000000000,0,PASS
2,4,1,start,10,10.000000000000000,0,PASS
2,4,1,recoveryDuration,0,0.0000000000000000,0,PASS
2,4,1,fatigueBeforeRecovery,0,0.0000000000000000,0,PASS
2,4,1,fatigueAtStart,0,0.0000000000000000,0,PASS
2,4,1,ST,7,7,0,PASS
2,4,1,SUT,1,1,0,PASS
2,4,1,machineSpeed,1,1.0000000000000000,0,PASS
2,4,1,machinePower,6,6,0,PASS
2,4,1,workerEfficiency,1,1.0000000000000000,0,PASS
