checkpointTargetFE,checkpointObservedFE,overshootFE,frontType,candidateFingerprint,Cmax,TEC,TWC
25000,25000,0,checkpoint-decision-front,c9f3971e3e2ce48688f576f6ce1c242141bd0a9509fefcb6ec486e0a6f47e2d9,421.86467515345305,23556.036040550887,38703.33855857824
25000,25000,0,checkpoint-decision-front,edeca81c15d89c3f9e0eb7ef1546c74d9e98103d0251418d34651766bb6f5ccf,1002.3578128174682,21380.926322486986,35963.090588752326
25000,25000,0,checkpoint-decision-front,3e4916ca6ffd51811f378f3c869a48908cc768441b16bba845e050ff7440cdd8,350.9265643247686,22689.57034963615,43758.43171511382
25000,25000,0,checkpoint-decision-front,caac1825028b778c990a2693a068427bb069b69c34842d7f2ff5030f0604cf46,686.5155204773059,21666.89109254792,35630.47460192893
25000,25000,0,checkpoint-decision-front,80d2068cc6a778ef47bdfc9f3c7ddc187cbdba629d6212adbf78f72e6b05cf02,544.4893704646138,21795.526271365077,36895.23118749767
25000,25000,0,checkpoint-decision-front,39964a8d7437048a0d423530fb2be5d40f6146c8c01b506469a948681f63fb18,455.7884511435228,21887.629248827692,46908.96241089373
25000,25000,0,checkpoint-decision-front,0b9201935dd43b65228fd0a758c201a41e5adf80ef62180e89710b4548a77d43,813.9234557403622,21687.708056559375,34151.85357227216
25000,25000,0,checkpoint-decision-front,cd5255165f01a0e9fe875a7bc8a15b7040914a46caf0e21e78bd2f6822aad5be,355.5364051494156,22889.6649841064,41268.573406349475
25000,25000,0,checkpoint-decision-front,9852fff5c888b33f2ba7d203bfdf2eeca66a730c0460fefa2de396e8f42d3f6e,505.8298191866641,22314.712023736378,37200.21916123202
25000,25000,0,checkpoint-decision-front,d57ad540edc81af9cccdab36270f670997ee996a3505a1d6be412693a418abc2,550.1255246649466,21919.065591443858,36554.26765406204
25000,25000,0,checkpoint-decision-front,a9fa23d585dff72226be0f72bc4db6a38a4c504bcb5230a884ac87977d85fbcd,595.8795162359743,21770.618884244464,37499.534769308026
25000,25000,0,checkpoint-decision-front,7dcb4dde577e6deaaaf2ee402604be3f6d8c91e06e948a6122b3f579a741b672,393.915762876674,22452.788012841876,43914.64298188591
25000,25000,0,checkpoint-decision-front,738d02912389facb5e7784c4fddcfba42950f36518f61403b1316b5782fd245d,429.9434829644568,22499.181634785524,39317.85390398676
25000,25000,0,checkpoint-decision-front,06a6d3b5e89797a13285b186fe2a943e8a4855d00f59b75abe8e4f49de5ca018,527.0158056665687,22629.530042517166,35288.78724707858
25000,25000,0,checkpoint-decision-front,7dc55020d2d4f95093e7a40a71768e6e455b4f1996fbc5a70c618ede1c7e9889,401.1577782782505,22104.172682039658,40550.36169564046
25000,25000,0,checkpoint-decision-front,0328175091fdd15b3a7b0523e891013e31623f4aa47090709cea3a1617b61f75,555.8446105414112,21545.267568686595,42732.324735499904
25000,25000,0,checkpoint-decision-front,cbbfbfea57189c046cefe343b32dc1b3816e110f5bb88d6dca9f3ddef254fa1f,460.57102377049796,22022.998900203693,40152.45562652471
25000,25000,0,checkpoint-decision-front,5667392840a76fdee2ce3ed2206d6a010584bd6d3ed93a86dc50c5f6aa160750,508.48598247526974,21776.021538396224,38269.7447117032
25000,25000,0,checkpoint-decision-front,1db173e2613dd0f9e0b444cddc937a091f4f0330c7006b4f04ad6238e19baed5,400.30606521030035,22303.26893923833,41201.53328710653
25000,25000,0,checkpoint-decision-front,2c730b63ef7c8717e7ef87b0c8bb8aac49074bfa0e178e3c3bc95a3c06725e0e,494.9131308982725,22347.49925345343,38639.85874590856
25000,25000,0,checkpoint-decision-front,fa00cbacd29a7209e39bce5d954e537565fa09dfc1ff05aa43c74e99b88746a2,570.806025129221,21761.97655345818,40332.017123080965
25000,25000,0,checkpoint-decision-front,3adc035cf83928e154bdaea482692a970354593d61e32ab4cdcb921c9787da94,585.2047504342536,21750.85021698893,38465.32203225991
25000,25000,0,checkpoint-decision-front,b42b43d208a2b12dfe2f74e61f2da0fd52a7fd2f02f268f67bba3c8800991640,751.5332060201807,21570.221194953258,36789.05565344794
25000,25000,0,checkpoint-decision-front,f762e282be5f83c2d5930ef84d938c54ff5e7b845caabe7d7e0e649a342d42de,506.02015430131337,21912.723189468285,37863.72543084002
25000,25000,0,checkpoint-decision-front,e975b72b90136286d7ac4ee4c66072f5e87d7f7004602f378d228e5bf1d07a9d,459.1579753499644,22363.602707165162,36621.313063763155
25000,25000,0,checkpoint-decision-front,d92b0210e7ceb01b504239e0ce320c85a939a714faea5c3618de2aa60afa12bf,544.1421091124422,22023.42653775142,36083.64757839957
25000,25000,0,checkpoint-decision-front,aa70fe40f7589152e0e2cb2ce8c6ff5bc3fa4e2e90d572e867f93595b10c6afe,427.7848560433958,22071.42610475006,44636.45542758542
25000,25000,0,checkpoint-decision-front,f43ee481c0535479599d5565bc8113e33eb1b8bfe7915efcb7a847a106c184d8,479.0526190251069,22226.91310265923,39533.654871736886
25000,25000,0,checkpoint-decision-front,34f8edf01941b9bc24f28932c112f53f6f1d43ce2b7dff65212b66227496df6c,394.94662952617443,22593.90183726194,42684.95303164372
25000,25000,0,checkpoint-decision-front,1834c051693bd480eaf608dfb1599400ed58558a5ca72159aeb1c349285be099,363.7886328331162,22680.83067165553,42709.452679035356
25000,25000,0,checkpoint-decision-front,d244488b160c03a1cf5acea960c2365c00183c678159b6fb5f1ce888342de94b,356.53838839827876,23166.67339738308,40062.58748171915
25000,25000,0,checkpoint-decision-front,009509cd9573b3176243eba1e8185c1e60ca058630edf30557c80e990804f2c9,355.91962496449605,22891.272656646335,41026.16103108553
