runKey,phase,algorithm,instance,seed,population,maxFEs,snapshotPath,status
GAP500-A4-50_2_3_1-20260827,500k,A4,50_2_3_1,20260827,100,500000,formal-manifest 68c44eae…,PLANNED_NOT_LAUNCHED
GAP500-A0-50_2_3_1-20260827,500k,A0(HMOPSO-QGS-F),50_2_3_1,20260827,100,500000,formal-manifest 68c44eae…,PLANNED_NOT_LAUNCHED
GAP500-SPEA2F-50_2_3_1-20260827,500k,SPEA2-F,50_2_3_1,20260827,100,500000,formal-manifest 68c44eae…,PLANNED_NOT_LAUNCHED
GAP500-A4-50_2_3_1-20260906,500k,A4,50_2_3_1,20260906,100,500000,local 5ddc0add…,PLANNED_NOT_LAUNCHED
GAP500-A0-50_2_3_1-20260906,500k,A0(HMOPSO-QGS-F),50_2_3_1,20260906,100,500000,local 5ddc0add…,PLANNED_NOT_LAUNCHED
GAP500-SPEA2F-50_2_3_1-20260906,500k,SPEA2-F,50_2_3_1,20260906,100,500000,local 5ddc0add…,PLANNED_NOT_LAUNCHED
GAP500-A4-100_5_3_1-20260827,500k,A4,100_5_3_1,20260827,100,500000,formal-manifest 38c2ec4f…,PLANNED_NOT_LAUNCHED
GAP500-A0-100_5_3_1-20260827,500k,A0(HMOPSO-QGS-F),100_5_3_1,20260827,100,500000,formal-manifest 38c2ec4f…,PLANNED_NOT_LAUNCHED
GAP500-SPEA2F-100_5_3_1-20260827,500k,SPEA2-F,100_5_3_1,20260827,100,500000,formal-manifest 38c2ec4f…,PLANNED_NOT_LAUNCHED
GAP500-A4-100_5_3_1-20260906,500k,A4,100_5_3_1,20260906,100,500000,local 2daf18c1…,PLANNED_NOT_LAUNCHED
GAP500-A0-100_5_3_1-20260906,500k,A0(HMOPSO-QGS-F),100_5_3_1,20260906,100,500000,local 2daf18c1…,PLANNED_NOT_LAUNCHED
GAP500-SPEA2F-100_5_3_1-20260906,500k,SPEA2-F,100_5_3_1,20260906,100,500000,local 2daf18c1…,PLANNED_NOT_LAUNCHED
GAP2K-A4-50_2_3_1-20260827,2k-shakedown,A4,50_2_3_1,20260827,100,2000,formal-manifest 68c44eae…,EXECUTED_THIS_PHASE
GAP2K-A0-50_2_3_1-20260827,2k-shakedown,A0(HMOPSO-QGS-F),50_2_3_1,20260827,100,2000,formal-manifest 68c44eae…,EXECUTED_THIS_PHASE
GAP2K-SPEA2F-50_2_3_1-20260827,2k-shakedown,SPEA2-F,50_2_3_1,20260827,100,2000,formal-manifest 68c44eae…,EXECUTED_THIS_PHASE
