cycle,source,evaluated,accepted,superseded,enteredPddr,pddrSelected,pddrRejected,fe,regionAssignments,regionRoles,bestGeneratedCmax
1,GLOBAL_Q_FINAL,0,0,0,100,53,47,0,0,"{}",Infinity
1,PARENT,0,0,0,100,6,94,0,0,"{}",Infinity
1,CATA_TEST,198,80,43,37,24,13,198,0,"{}",247.34814263891016
1,CATA_APPLY,57,24,1,23,13,10,57,0,"{}",226.2747196519452
1,CRITICAL_SWAP,6,3,3,0,0,0,6,0,"{}",229.8076285275969
1,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",216.4718632748371
1,O1_O9,1400,35,29,6,4,2,1400,0,"{}",209.60290765755803
2,GLOBAL_Q_FINAL,0,0,0,100,31,69,0,0,"{}",Infinity
2,PARENT,0,0,0,100,49,51,0,0,"{}",Infinity
2,CATA_TEST,152,60,30,30,7,23,152,0,"{}",265.72486602853576
2,CATA_APPLY,67,30,1,29,12,17,67,0,"{}",273.273294386518
2,CRITICAL_SWAP,6,3,3,0,0,0,6,0,"{}",274.907900932252
2,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",244.87017391229963
2,O1_O9,1437,42,36,6,1,5,1437,0,"{}",212.66829133378477
3,GLOBAL_Q_FINAL,0,0,0,100,26,74,0,0,"{}",Infinity
3,PARENT,0,0,0,100,58,42,0,0,"{}",Infinity
3,CATA_TEST,142,49,28,21,4,17,142,0,"{}",266.37622695020815
3,CATA_APPLY,70,36,3,33,8,25,70,0,"{}",236.64057141560892
3,CRITICAL_SWAP,7,4,4,0,0,0,7,0,"{}",246.03628842961731
3,CRITICAL_INSERT,7,4,4,0,0,0,7,0,"{}",266.11330454186947
3,O1_O9,1445,64,57,7,4,3,1445,0,"{}",237.73073635530434
4,GLOBAL_Q_FINAL,0,0,0,100,16,84,0,0,"{}",Infinity
4,PARENT,0,0,0,100,65,35,0,0,"{}",Infinity
4,CATA_TEST,121,46,24,22,9,13,121,0,"{}",245.11144194754644
4,CATA_APPLY,75,31,2,29,5,24,75,0,"{}",246.99904017953696
4,CRITICAL_SWAP,6,3,3,0,0,0,6,0,"{}",269.3443612896272
4,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",238.36102756473292
4,O1_O9,1467,64,58,6,5,1,1467,0,"{}",227.10580852986672
5,GLOBAL_Q_FINAL,0,0,0,100,18,82,0,0,"{}",Infinity
5,PARENT,0,0,0,100,69,31,0,0,"{}",Infinity
5,CATA_TEST,111,35,21,14,2,12,111,0,"{}",251.18919794702018
5,CATA_APPLY,77,26,1,25,6,19,77,0,"{}",239.00192489749907
5,CRITICAL_SWAP,6,5,5,0,0,0,6,0,"{}",253.21795291398442
5,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",234.20327208258678
5,O1_O9,1481,48,42,6,5,1,1481,0,"{}",206.48317516398043
6,GLOBAL_Q_FINAL,0,0,0,100,16,84,0,0,"{}",Infinity
6,PARENT,0,0,0,100,75,25,0,0,"{}",Infinity
6,CATA_TEST,147,37,18,19,1,18,147,0,"{}",233.06363318313157
6,CATA_APPLY,69,27,1,26,4,22,69,0,"{}",221.30977553968927
6,CRITICAL_SWAP,7,3,3,0,0,0,7,0,"{}",263.5237695096143
6,CRITICAL_INSERT,7,7,7,0,0,0,7,0,"{}",204.93535137467958
6,O1_O9,1457,48,41,7,4,3,1457,0,"{}",195.98686900934263
7,GLOBAL_Q_FINAL,0,0,0,100,12,88,0,0,"{}",Infinity
7,PARENT,0,0,0,100,85,15,0,0,"{}",Infinity
7,CATA_TEST,111,44,26,18,2,16,111,0,"{}",244.09645735948112
7,CATA_APPLY,77,30,2,28,0,28,77,0,"{}",237.5186542660375
7,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",226.87544062439207
7,CRITICAL_INSERT,6,6,6,0,0,0,6,0,"{}",208.79192626967264
7,O1_O9,1495,57,51,6,1,5,1495,0,"{}",192.9447932974871
8,GLOBAL_Q_FINAL,0,0,0,100,14,86,0,0,"{}",Infinity
8,PARENT,0,0,0,100,76,24,0,0,"{}",Infinity
8,CATA_TEST,110,36,20,16,3,13,110,0,"{}",233.94001199627144
8,CATA_APPLY,77,28,1,27,2,25,77,0,"{}",258.06759753398836
8,CRITICAL_SWAP,8,3,3,0,0,0,8,0,"{}",259.37367745348
8,CRITICAL_INSERT,8,6,6,0,0,0,8,0,"{}",244.5184851880698
8,O1_O9,1502,58,50,8,5,3,1502,0,"{}",229.61797331440727
9,GLOBAL_Q_FINAL,0,0,0,100,11,89,0,0,"{}",Infinity
9,PARENT,0,0,0,100,82,18,0,0,"{}",Infinity
9,CATA_TEST,103,38,21,17,0,17,103,0,"{}",267.2229299813178
9,CATA_APPLY,79,29,2,27,3,24,79,0,"{}",219.5262282167662
9,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",227.79428491297335
9,CRITICAL_INSERT,6,3,3,0,0,0,6,0,"{}",240.21110016007265
9,O1_O9,1521,55,49,6,4,2,1521,0,"{}",194.86011977253472
10,GLOBAL_Q_FINAL,0,0,0,100,11,89,0,0,"{}",Infinity
10,PARENT,0,0,0,100,80,20,0,0,"{}",Infinity
10,CATA_TEST,111,35,18,17,3,14,111,0,"{}",242.08338201695912
